clust,sic_4,descr,category,name,cluster
0,4331,Plastering,construction,construction,construction_construction
0,4312,Site preparation,construction,construction,construction_construction
0,4211,Construction of roads and motorways,construction,construction,construction_construction
0,4120,Construction of residential and non-residential buildings,construction,construction,construction_construction
0,4399,Other specialised construction activities n.e.c.,construction,construction,construction_construction
0,4332,Joinery installation,construction,construction,construction_construction
0,4299,Construction of other civil engineering projects n.e.c.,construction,construction,construction_construction
1,4339,Other building completion and finishing,construction,infrastructure,construction_infrastructure
1,4313,Test drilling and boring,construction,infrastructure,construction_infrastructure
1,4311,Demolition,construction,infrastructure,construction_infrastructure
1,4291,Construction of water projects,construction,infrastructure,construction_infrastructure
1,4222,Construction of utility projects for electricity and telecommunications,construction,infrastructure,construction_infrastructure
1,4213,Construction of bridges and tunnels,construction,infrastructure,construction_infrastructure
1,4212,Construction of railways and underground railways,construction,infrastructure,construction_infrastructure
2,3030,Manufacture of air and spacecraft and related machinery,manufacture,aerospace,manufacture_aerospace
2,3316,Repair and maintenance of aircraft and spacecraft,manufacture,aerospace,manufacture_aerospace
3,2540,Manufacture of weapons and ammunition,manufacture,armaments,manufacture_armaments
4,2932,Manufacture of other parts and accessories for motor vehicles,manufacture,automotive,manufacture_automotive
4,2931,Manufacture of electrical and electronic equipment for motor vehicles,manufacture,automotive,manufacture_automotive
4,2910,Manufacture of motor vehicles,manufacture,automotive,manufacture_automotive
4,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,manufacture,automotive,manufacture_automotive
5,2320,Manufacture of refractory products,manufacture,casting,manufacture_casting
5,2451,Casting of iron,manufacture,casting,manufacture_casting
5,2452,Casting of steel,manufacture,casting,manufacture_casting
5,2454,Casting of other non-ferrous metals,manufacture,casting,manufacture_casting
6,2013,Manufacture of other inorganic basic chemicals,manufacture,chemical,manufacture_chemical
6,4675,Wholesale of chemical products,manufacture,chemical,manufacture_chemical
6,2030,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",manufacture,chemical,manufacture_chemical
6,2052,Manufacture of glues,manufacture,chemical,manufacture_chemical
6,2059,Manufacture of other chemical products n.e.c.,manufacture,chemical,manufacture_chemical
6,2399,Manufacture of other non-metallic mineral products n.e.c.,manufacture,chemical,manufacture_chemical
6,2014,Manufacture of other organic basic chemicals,manufacture,chemical,manufacture_chemical
7,2752,Manufacture of non-electric domestic appliances,manufacture,electrical,manufacture_electrical
