,year,nuts_id,nuts_year_spec,aps_econ_active_stem_density_data
0,2012,UKH2,2016,7.1
1,2013,UKH2,2016,6.8
2,2014,UKH2,2016,6.7
3,2015,UKH2,2016,5.8
4,2016,UKH2,2016,6.8
5,2017,UKH2,2016,6.1
6,2018,UKH2,2016,5.8
7,2012,UKJ1,2016,8.6
8,2013,UKJ1,2016,8.5
9,2014,UKJ1,2016,9.6
10,2015,UKJ1,2016,9.8
11,2016,UKJ1,2016,10.1
12,2017,UKJ1,2016,8.2
13,2018,UKJ1,2016,9.2
14,2012,UKD6,2016,7.4
15,2013,UKD6,2016,7.2
16,2014,UKD6,2016,7.3
17,2015,UKD6,2016,6.2
18,2016,UKD6,2016,5.9
19,2017,UKD6,2016,6.5
20,2018,UKD6,2016,7.0
21,2012,UKK3,2016,1.5
22,2013,UKK3,2016,2.6
23,2014,UKK3,2016,4.0
24,2015,UKK3,2016,2.6
25,2016,UKK3,2016,3.8
26,2017,UKK3,2016,2.5
27,2018,UKK3,2016,4.3
28,2012,UKD1,2016,3.5
29,2013,UKD1,2016,4.0
30,2014,UKD1,2016,3.6
31,2015,UKD1,2016,3.3
32,2016,UKD1,2016,4.3
33,2017,UKD1,2016,4.3
34,2018,UKD1,2016,4.2
35,2012,UKF1,2016,3.8
36,2013,UKF1,2016,4.8
37,2014,UKF1,2016,4.9
38,2015,UKF1,2016,6.2
39,2016,UKF1,2016,4.8
40,2017,UKF1,2016,4.8
41,2018,UKF1,2016,4.8
42,2012,UKK4,2016,3.6
43,2013,UKK4,2016,3.4
44,2014,UKK4,2016,4.7
45,2015,UKK4,2016,4.9
46,2016,UKK4,2016,3.6
47,2017,UKK4,2016,3.5
48,2018,UKK4,2016,4.1
49,2012,UKK2,2016,5.6
50,2013,UKK2,2016,4.2
51,2014,UKK2,2016,4.3
52,2015,UKK2,2016,4.4
53,2016,UKK2,2016,4.2
54,2017,UKK2,2016,4.2
55,2018,UKK2,2016,5.0
56,2012,UKH1,2016,6.0
57,2013,UKH1,2016,5.8
58,2014,UKH1,2016,5.7
59,2015,UKH1,2016,6.1
60,2016,UKH1,2016,6.6
61,2017,UKH1,2016,5.8
62,2018,UKH1,2016,6.8
63,2012,UKL2,2016,4.5
64,2013,UKL2,2016,4.8
65,2014,UKL2,2016,4.3
66,2015,UKL2,2016,4.0
67,2016,UKL2,2016,5.5
68,2017,UKL2,2016,5.2
69,2018,UKL2,2016,5.7
70,2012,UKE1,2016,3.3
71,2013,UKE1,2016,3.5
72,2014,UKE1,2016,3.1
73,2015,UKE1,2016,3.5
74,2016,UKE1,2016,3.7
75,2017,UKE1,2016,3.5
76,2018,UKE1,2016,3.9
77,2012,UKM7,2016,6.0
78,2013,UKM7,2016,5.7
79,2014,UKM7,2016,5.8
80,2015,UKM7,2016,6.3
81,2016,UKM7,2016,6.9
82,2017,UKM7,2016,7.0
83,2018,UKM7,2016,6.2
84,2012,UKH3,2016,4.4
85,2013,UKH3,2016,5.2
86,2014,UKH3,2016,4.6
87,2015,UKH3,2016,4.8
88,2016,UKH3,2016,4.7
89,2017,UKH3,2016,4.4
90,2018,UKH3,2016,4.5
91,2012,UKK1,2016,6.6
92,2013,UKK1,2016,6.5
93,2014,UKK1,2016,7.6
94,2015,UKK1,2016,6.8
95,2016,UKK1,2016,6.7
96,2017,UKK1,2016,7.2
97,2018,UKK1,2016,6.2
98,2012,UKD3,2016,4.7
99,2013,UKD3,2016,4.6
100,2014,UKD3,2016,4.8
101,2015,UKD3,2016,5.2
102,2016,UKD3,2016,4.9
103,2017,UKD3,2016,4.5
104,2018,UKD3,2016,4.9
105,2012,UKJ3,2016,6.9
106,2013,UKJ3,2016,6.2
107,2014,UKJ3,2016,6.5
108,2015,UKJ3,2016,6.7
109,2016,UKJ3,2016,6.5
110,2017,UKJ3,2016,6.4
111,2018,UKJ3,2016,6.4
112,2012,UKG1,2016,5.1
113,2013,UKG1,2016,5.5
114,2014,UKG1,2016,6.4
115,2015,UKG1,2016,6.2
116,2016,UKG1,2016,6.5
117,2017,UKG1,2016,5.9
118,2018,UKG1,2016,5.6
119,2012,UKM6,2016,3.7
120,2013,UKM6,2016,3.5
121,2014,UKM6,2016,2.6
122,2015,UKM6,2016,3.4
123,2016,UKM6,2016,3.0
124,2017,UKM6,2016,3.7
125,2018,UKM6,2016,2.8
126,2012,UKI4,2016,5.9
127,2013,UKI4,2016,6.4
128,2014,UKI4,2016,6.9
129,2015,UKI4,2016,6.2
130,2016,UKI4,2016,6.1
131,2017,UKI4,2016,6.7
132,2018,UKI4,2016,7.4
133,2012,UKI3,2016,5.1
134,2013,UKI3,2016,5.6
135,2014,UKI3,2016,5.3
136,2015,UKI3,2016,5.5
137,2016,UKI3,2016,6.5
138,2017,UKI3,2016,6.7
139,2018,UKI3,2016,6.9
140,2012,UKJ4,2016,4.3
141,2013,UKJ4,2016,3.5
142,2014,UKJ4,2016,4.5
143,2015,UKJ4,2016,5.0
144,2016,UKJ4,2016,3.9
145,2017,UKJ4,2016,4.2
146,2018,UKJ4,2016,5.1
147,2012,UKD4,2016,4.5
148,2013,UKD4,2016,4.6
149,2014,UKD4,2016,4.3
150,2015,UKD4,2016,3.9
151,2016,UKD4,2016,3.7
152,2017,UKD4,2016,3.9
153,2018,UKD4,2016,4.8
154,2012,UKF2,2016,4.4
155,2013,UKF2,2016,5.1
156,2014,UKF2,2016,5.0
157,2015,UKF2,2016,5.3
158,2016,UKF2,2016,5.0
159,2017,UKF2,2016,5.7
160,2018,UKF2,2016,5.2
161,2012,UKF3,2016,4.7
162,2013,UKF3,2016,2.9
163,2014,UKF3,2016,3.9
164,2015,UKF3,2016,3.5
165,2016,UKF3,2016,3.8
166,2017,UKF3,2016,4.1
167,2018,UKF3,2016,3.3
168,2012,UKD7,2016,3.2
169,2013,UKD7,2016,3.7
170,2014,UKD7,2016,4.2
171,2015,UKD7,2016,5.3
172,2016,UKD7,2016,4.3
173,2017,UKD7,2016,4.2
174,2018,UKD7,2016,4.5
175,2012,UKM5,2016,7.2
176,2013,UKM5,2016,8.1
177,2014,UKM5,2016,8.6
178,2015,UKM5,2016,8.9
179,2016,UKM5,2016,9.4
180,2017,UKM5,2016,9.1
181,2018,UKM5,2016,10.0
182,2012,UKE2,2016,4.6
183,2013,UKE2,2016,5.0
184,2014,UKE2,2016,4.2
185,2015,UKE2,2016,4.2
186,2016,UKE2,2016,4.6
187,2017,UKE2,2016,4.7
188,2018,UKE2,2016,4.0
189,2012,UKC2,2016,3.6
190,2013,UKC2,2016,3.8
191,2014,UKC2,2016,4.1
192,2015,UKC2,2016,3.9
193,2016,UKC2,2016,4.2
194,2017,UKC2,2016,4.6
195,2018,UKC2,2016,4.7
196,2012,UKI5,2016,4.7
197,2013,UKI5,2016,4.6
198,2014,UKI5,2016,4.6
199,2015,UKI5,2016,4.9
200,2016,UKI5,2016,5.2
201,2017,UKI5,2016,5.2
202,2018,UKI5,2016,5.5
203,2012,UKI6,2016,6.6
204,2013,UKI6,2016,6.9
205,2014,UKI6,2016,7.3
206,2015,UKI6,2016,7.6
207,2016,UKI6,2016,8.1
208,2017,UKI6,2016,6.7
209,2018,UKI6,2016,7.1
210,2012,UKI7,2016,7.6
211,2013,UKI7,2016,6.4
212,2014,UKI7,2016,6.6
213,2015,UKI7,2016,7.0
214,2016,UKI7,2016,7.5
215,2017,UKI7,2016,6.7
216,2018,UKI7,2016,7.6
217,2012,UKG2,2016,4.8
218,2013,UKG2,2016,4.5
