geography_name,geography_code,date_code,"T09a:19 (All people - Science, Engineering and Technology Associate Professionals (SOC2010) : All people )","T09a:7 (All people - Science, Research, Engineering and Technology Professionals (SOC2010) : All people )"
Bedfordshire and Hertfordshire,UKH2,2012-12,14600.0,60900.0
Bedfordshire and Hertfordshire,UKH2,2013-12,19300.0,59800.0
Bedfordshire and Hertfordshire,UKH2,2014-12,13800.0,60300.0
Bedfordshire and Hertfordshire,UKH2,2015-12,17300.0,54300.0
Bedfordshire and Hertfordshire,UKH2,2016-12,18100.0,63100.0
Bedfordshire and Hertfordshire,UKH2,2017-12,20300.0,57300.0
Bedfordshire and Hertfordshire,UKH2,2018-12,21400.0,54700.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2012-12,24500.0,98800.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2013-12,25300.0,99700.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2014-12,32500.0,113400.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2015-12,26500.0,119600.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2016-12,30200.0,123200.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2017-12,27600.0,102000.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2018-12,36000.0,112900.0
Cheshire,UKD6,2012-12,12100.0,32100.0
Cheshire,UKD6,2013-12,8900.0,31100.0
Cheshire,UKD6,2014-12,6500.0,32300.0
Cheshire,UKD6,2015-12,8200.0,27500.0
Cheshire,UKD6,2016-12,8400.0,26000.0
Cheshire,UKD6,2017-12,9300.0,28700.0
Cheshire,UKD6,2018-12,9000.0,31600.0
Cornwall and Isles of Scilly,UKK3,2012-12,4400.0,3500.0
Cornwall and Isles of Scilly,UKK3,2013-12,2500.0,6400.0
Cornwall and Isles of Scilly,UKK3,2014-12,3500.0,10200.0
Cornwall and Isles of Scilly,UKK3,2015-12,3100.0,6500.0
Cornwall and Isles of Scilly,UKK3,2016-12,5300.0,10200.0
Cornwall and Isles of Scilly,UKK3,2017-12,4700.0,6800.0
Cornwall and Isles of Scilly,UKK3,2018-12,4100.0,11500.0
Cumbria,UKD1,2012-12,5000.0,8300.0
Cumbria,UKD1,2013-12,4700.0,9400.0
