year,nuts_id,nuts_year_spec,aps_pro_occupations_data
2012,UKH2,2016,20.8
2013,UKH2,2016,22.0
2014,UKH2,2016,22.9
2015,UKH2,2016,21.3
2016,UKH2,2016,21.8
2017,UKH2,2016,21.8
2018,UKH2,2016,21.3
2012,UKJ1,2016,22.4
2013,UKJ1,2016,24.3
2014,UKJ1,2016,25.2
2015,UKJ1,2016,25.3
2016,UKJ1,2016,25.4
2017,UKJ1,2016,24.3
2018,UKJ1,2016,24.6
2012,UKD6,2016,21.4
2013,UKD6,2016,21.3
2014,UKD6,2016,21.1
2015,UKD6,2016,21.1
2016,UKD6,2016,20.1
2017,UKD6,2016,21.5
2018,UKD6,2016,24.4
2012,UKK3,2016,13.4
2013,UKK3,2016,14.5
2014,UKK3,2016,15.8
2015,UKK3,2016,12.5
2016,UKK3,2016,16.0
2017,UKK3,2016,13.5
2018,UKK3,2016,14.6
2012,UKD1,2016,16.7
2013,UKD1,2016,17.2
2014,UKD1,2016,14.4
2015,UKD1,2016,15.5
2016,UKD1,2016,15.3
2017,UKD1,2016,16.5
2018,UKD1,2016,18.4
2012,UKF1,2016,17.0
2013,UKF1,2016,19.1
2014,UKF1,2016,18.2
2015,UKF1,2016,19.7
2016,UKF1,2016,18.7
2017,UKF1,2016,17.1
2018,UKF1,2016,17.6
2012,UKK4,2016,17.6
2013,UKK4,2016,15.8
2014,UKK4,2016,18.7
2015,UKK4,2016,18.1
2016,UKK4,2016,17.2
2017,UKK4,2016,16.6
2018,UKK4,2016,18.5
2012,UKK2,2016,18.3
2013,UKK2,2016,15.7
2014,UKK2,2016,17.2
2015,UKK2,2016,18.2
2016,UKK2,2016,18.3
2017,UKK2,2016,17.6
2018,UKK2,2016,18.9
2012,UKH1,2016,19.7
2013,UKH1,2016,18.9
2014,UKH1,2016,17.9
2015,UKH1,2016,18.7
2016,UKH1,2016,19.9
2017,UKH1,2016,19.4
2018,UKH1,2016,20.3
2012,UKL2,2016,20.0
2013,UKL2,2016,21.1
2014,UKL2,2016,20.3
2015,UKL2,2016,19.6
2016,UKL2,2016,20.9
