geography_name,geography_code,date_code,% of economically active with NVQ4+ - aged 16-64
Bedfordshire and Hertfordshire,UKH2,2012-12,41.7
Bedfordshire and Hertfordshire,UKH2,2013-12,41.4
Bedfordshire and Hertfordshire,UKH2,2014-12,43.5
Bedfordshire and Hertfordshire,UKH2,2015-12,43.5
Bedfordshire and Hertfordshire,UKH2,2016-12,43.8
Bedfordshire and Hertfordshire,UKH2,2017-12,43.6
Bedfordshire and Hertfordshire,UKH2,2018-12,44.8
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2012-12,45.1
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2013-12,47.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2014-12,49.3
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2015-12,50.5
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2016-12,51.1
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2017-12,50.5
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,2018-12,51.9
Cheshire,UKD6,2012-12,38.8
Cheshire,UKD6,2013-12,42.6
Cheshire,UKD6,2014-12,42.0
Cheshire,UKD6,2015-12,44.2
Cheshire,UKD6,2016-12,44.1
Cheshire,UKD6,2017-12,48.9
Cheshire,UKD6,2018-12,47.4
Cornwall and Isles of Scilly,UKK3,2012-12,34.3
Cornwall and Isles of Scilly,UKK3,2013-12,34.7
Cornwall and Isles of Scilly,UKK3,2014-12,35.6
Cornwall and Isles of Scilly,UKK3,2015-12,32.6
Cornwall and Isles of Scilly,UKK3,2016-12,35.9
Cornwall and Isles of Scilly,UKK3,2017-12,36.6
Cornwall and Isles of Scilly,UKK3,2018-12,37.7
Cumbria,UKD1,2012-12,33.9
Cumbria,UKD1,2013-12,34.2
Cumbria,UKD1,2014-12,32.4
Cumbria,UKD1,2015-12,33.3
Cumbria,UKD1,2016-12,34.2
Cumbria,UKD1,2017-12,33.8
Cumbria,UKD1,2018-12,34.5
Derbyshire and Nottinghamshire,UKF1,2012-12,33.2
Derbyshire and Nottinghamshire,UKF1,2013-12,33.5
Derbyshire and Nottinghamshire,UKF1,2014-12,35.3
Derbyshire and Nottinghamshire,UKF1,2015-12,37.9
