year,nuts_id,nuts_year_spec,gbp_gross_median_salary_s_t
2011,UKC1,2018,32961.0
2011,UKC2,2018,35185.0
2011,UKD1,2018,40351.0
2011,UKD6,2018,37419.0
2011,UKD3,2018,36333.0
2011,UKD4,2018,32347.0
2011,UKD7,2018,34885.0
2011,UKE1,2018,35426.0
2011,UKE2,2018,29719.0
2011,UKE3,2018,35069.0
2011,UKE4,2018,33878.0
2011,UKF1,2018,35216.0
2011,UKF2,2018,35077.0
2011,UKF3,2018,34366.0
2011,UKG1,2018,35676.0
2011,UKG2,2018,33209.0
2011,UKG3,2018,35918.0
2011,UKH1,2018,35092.0
2011,UKH2,2018,40000.0
2011,UKH3,2018,41090.0
2011,,2018,45000.0
2011,,2018,39790.0
2011,UKJ1,2018,43753.0
2011,UKJ2,2018,40107.0
2011,UKJ3,2018,38887.0
2011,UKJ4,2018,35564.0
2011,,2018,38557.0
2011,UKK2,2018,35445.0
2011,UKK3,2018,28711.0
2011,UKK4,2018,34453.0
2011,UKL1,2018,31351.0
2011,UKL2,2018,32910.0
2011,UKM5,2018,41813.0
2011,UKM7,2018,34399.0
2011,,2018,36492.0
2011,UKM6,2018,
2011,UKN0,2018,33374.0
2012,UKC1,2018,32985.0
2012,UKC2,2018,35699.0
2012,UKD1,2018,41018.0
2012,UKD3,2018,34999.0
2012,UKD4,2018,34643.0
2012,UKD6,2018,39165.0
2012,UKD7,2018,36387.0
2012,UKE1,2018,35849.0
2012,UKE2,2018,30801.0
2012,UKE3,2018,36078.0
2012,UKE4,2018,34315.0
2012,UKF1,2018,36940.0
2012,UKF2,2018,35844.0
2012,UKF3,2018,33180.0
2012,UKG1,2018,36437.0
2012,UKG2,2018,33616.0
2012,UKG3,2018,36793.0
2012,UKH1,2018,37472.0
2012,UKH2,2018,41965.0
2012,UKH3,2018,41592.0
2012,,2018,46046.0
2012,,2018,40678.0
2012,UKJ1,2018,42461.0
2012,UKJ2,2018,40907.0
2012,UKJ3,2018,40178.0
2012,UKJ4,2018,36460.0
2012,UKK1,2018,38329.0
2012,UKK2,2018,35696.0
2012,UKK3,2018,34805.0
2012,UKK4,2018,
2012,UKL1,2018,32277.0
2012,UKL2,2018,33909.0
2012,UKM7,2018,35679.0
2012,,2018,37417.0
2012,UKM5,2018,41245.0
2012,UKM6,2018,30497.0
2012,UKN0,2018,34411.0
2013,UKC1,2018,35332.0
2013,UKC2,2018,33182.0
