Black Country,E37000001,137
Buckinghamshire Thames Valley,E37000002,198
Cheshire and Warrington,E37000003,336
Coast to Capital,E37000004,796
Cornwall and Isles of Scilly,E37000005,118
Coventry and Warwickshire,E37000006,319
Cumbria,E37000007,66
"Derby, Derbyshire, Nottingham and Nottinghamshire",E37000008,450
Dorset,E37000009,210
Enterprise M3,E37000010,716
Gloucestershire,E37000011,182
Greater Birmingham and Solihull,E37000012,622
Greater Cambridge and Greater Peterborough,E37000013,818
Greater Lincolnshire,E37000014,104
Greater Manchester,E37000015,1081
Heart of the South West,E37000016,294
Hertfordshire,E37000017,412
Humber,E37000018,96
Lancashire,E37000019,268
Leeds City Region,E37000020,795
Leicester and Leicestershire,E37000021,239
Liverpool City Region,E37000022,345
London,E37000023,17606
New Anglia,E37000024,382
North East,E37000025,491
Oxfordshire,E37000027,599
Sheffield City Region,E37000040,380
Solent,E37000029,301
South East,E37000030,863
South East Midlands,E37000041,581
Stoke-on-Trent and Staffordshire,E37000032,182
Swindon and Wiltshire,E37000033,190
Tees Valley,E37000034,119
Thames Valley Berkshire,E37000035,562
The Marches,E37000036,127
West of England,E37000037,683
Worcestershire,E37000038,136
"York, North Yorkshire and East Riding",E37000039,256
