Bedfordshire and Hertfordshire,UKH2,596
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1636
Cheshire,UKD6,336
Cornwall and Isles of Scilly,UKK3,118
Cumbria,UKD1,66
Derbyshire and Nottinghamshire,UKF1,499
Devon,UKK4,218
Dorset and Somerset,UKK2,286
East Anglia,UKH1,1122
East Wales,UKL2,317
East Yorkshire and Northern Lincolnshire,UKE1,138
Eastern Scotland,UKM7,878
Essex,UKH3,343
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1055
Greater Manchester,UKD3,1081
Hampshire and Isle of Wight,UKJ3,610
"Herefordshire, Worcestershire and Warwickshire",UKG1,429
Highlands and Islands,UKM6,49
Inner London - East,UKI4,77
Inner London - West,UKI3,16823
Kent,UKJ4,477
Lancashire,UKD4,268
"Leicestershire, Rutland and Northamptonshire",UKF2,411
Lincolnshire,UKF3,81
Merseyside,UKD7,345
North Eastern Scotland,UKM5,161
North Yorkshire,UKE2,438
Northern Ireland,UKN0,349
Northumberland and Tyne and Wear,UKC2,412
Outer London - East and North East,UKI5,115
Outer London - South,UKI6,344
Outer London - West and North West,UKI7,338
Shropshire and Staffordshire,UKG2,336
South Yorkshire,UKE3,359
Southern Scotland,UKM9,92
"Surrey, East and West Sussex",UKJ2,1181
Tees Valley and Durham,UKC1,198
West Central Scotland,UKM8,545
West Midlands,UKG3,758
West Wales,UKL1,270
West Yorkshire,UKE4,566
