year,nuts_id,nuts_year_spec,gbp_venture_capital_received
2011,UKC1,2016,2836118
2012,UKC1,2016,10000000
2013,UKC1,2016,19031230
2014,UKC1,2016,35292594
2015,UKC1,2016,92000000
2016,UKC1,2016,6700000
2017,UKC1,2016,83250000
2018,UKC1,2016,151000000
2019,UKC1,2016,3700000
2011,UKC2,2016,32220198
2012,UKC2,2016,9025000
2013,UKC2,2016,5210708
2014,UKC2,2016,15833846
2015,UKC2,2016,17584000
2016,UKC2,2016,13883880
2017,UKC2,2016,4364000
2018,UKC2,2016,22415458
2019,UKC2,2016,14400000
2012,UKD1,2016,0
2013,UKD1,2016,574500
2014,UKD1,2016,0
2016,UKD1,2016,0
2017,UKD1,2016,0
2018,UKD1,2016,0
2019,UKD1,2016,0
2011,UKD3,2016,13195500
2012,UKD3,2016,20523000
2013,UKD3,2016,10600000
2014,UKD3,2016,24600000
2015,UKD3,2016,66000000
2016,UKD3,2016,82850000
2017,UKD3,2016,344650000
2018,UKD3,2016,56676627
2019,UKD3,2016,55000000
2011,UKD4,2016,67000
2012,UKD4,2016,1250000
2013,UKD4,2016,0
2014,UKD4,2016,300000
2015,UKD4,2016,1900000
2016,UKD4,2016,8000000
2017,UKD4,2016,12500000
2018,UKD4,2016,4520000
2019,UKD4,2016,2000000
2011,UKD6,2016,0
2012,UKD6,2016,9595000
2013,UKD6,2016,2390000
2014,UKD6,2016,10085478
2015,UKD6,2016,200000
2016,UKD6,2016,32573250
2017,UKD6,2016,43000000
2018,UKD6,2016,50268650
2019,UKD6,2016,94484200
2011,UKD7,2016,8670543
2012,UKD7,2016,9075000
2013,UKD7,2016,6650000
2014,UKD7,2016,5580004
2015,UKD7,2016,4000000
2016,UKD7,2016,3440000
2017,UKD7,2016,10150000
2018,UKD7,2016,9950000
2019,UKD7,2016,17800000
2012,UKE1,2016,0
2013,UKE1,2016,0
2014,UKE1,2016,0
2015,UKE1,2016,0
2016,UKE1,2016,10000000
2017,UKE1,2016,700000
2018,UKE1,2016,0
2019,UKE1,2016,0
2011,UKE2,2016,0
2012,UKE2,2016,7092000
2013,UKE2,2016,20000000
2014,UKE2,2016,4200000
2015,UKE2,2016,6000000
2016,UKE2,2016,6000000
2017,UKE2,2016,10650000
2018,UKE2,2016,4000000
2019,UKE2,2016,12100000
2011,UKE3,2016,28000000
2012,UKE3,2016,11435000
2013,UKE3,2016,26414000
2014,UKE3,2016,6900000
2015,UKE3,2016,2636000
2016,UKE3,2016,25648955
2017,UKE3,2016,15410000
2018,UKE3,2016,15600000
2019,UKE3,2016,1300000
2011,UKE4,2016,2000000
2012,UKE4,2016,12804500
2013,UKE4,2016,7147270
2014,UKE4,2016,29000000
2015,UKE4,2016,10500000
2016,UKE4,2016,21595000
2017,UKE4,2016,31100000
2018,UKE4,2016,9500000
2019,UKE4,2016,21000000
2011,UKF1,2016,0
2012,UKF1,2016,6300000
2013,UKF1,2016,867866
2014,UKF1,2016,9361613
2015,UKF1,2016,28312500
2016,UKF1,2016,17400000
2017,UKF1,2016,3900000
2018,UKF1,2016,17749000
2019,UKF1,2016,1000000
2011,UKF2,2016,1400000
2012,UKF2,2016,5000000
2013,UKF2,2016,2000000
2014,UKF2,2016,2800000
2015,UKF2,2016,29200000
2016,UKF2,2016,18470000
2017,UKF2,2016,14500000
2018,UKF2,2016,15738081
2019,UKF2,2016,0
2011,UKF3,2016,0
2012,UKF3,2016,10000000
2013,UKF3,2016,0
2014,UKF3,2016,1000000
2015,UKF3,2016,0
2016,UKF3,2016,0
2017,UKF3,2016,0
2018,UKF3,2016,5000000
2019,UKF3,2016,0
2011,UKG1,2016,1881000
2012,UKG1,2016,210000
2013,UKG1,2016,9700000
2014,UKG1,2016,33027500
2015,UKG1,2016,2450000
2016,UKG1,2016,4275236
2017,UKG1,2016,4298248
2018,UKG1,2016,45613300
2019,UKG1,2016,3500000
2011,UKG2,2016,765000
2012,UKG2,2016,0
2013,UKG2,2016,1500000
2014,UKG2,2016,100000
2015,UKG2,2016,35491600
2016,UKG2,2016,6339200
2017,UKG2,2016,2800000
2018,UKG2,2016,0
2019,UKG2,2016,39000000
2011,UKG3,2016,12125000
2012,UKG3,2016,30270000
2013,UKG3,2016,5460000
2014,UKG3,2016,9240500
2015,UKG3,2016,89582455
2016,UKG3,2016,15950000
2017,UKG3,2016,23714150
2018,UKG3,2016,127340000
2019,UKG3,2016,14752200
2011,UKH1,2016,35562000
2012,UKH1,2016,28344791
2013,UKH1,2016,73361292
2014,UKH1,2016,52840000
2015,UKH1,2016,25541750
2016,UKH1,2016,207466133
2017,UKH1,2016,102334375
2018,UKH1,2016,259068476
2019,UKH1,2016,113195370
2011,UKH2,2016,2650000
2012,UKH2,2016,13500000
2013,UKH2,2016,2000000
