,year,nuts_id,nuts_year_spec,air_pollution_mean_pm10
0,2007,UKC1,2016,18.11546
1,2007,UKC2,2016,18.41302
2,2007,UKD1,2016,15.61504
3,2007,UKD3,2016,21.48617
4,2007,UKD4,2016,20.02794
5,2007,UKD6,2016,20.37077
6,2007,UKD7,2016,20.61435
7,2007,UKE1,2016,22.45812
8,2007,UKE2,2016,19.24794
9,2007,UKE3,2016,24.77086
10,2007,UKE4,2016,20.96587
11,2007,UKF1,2016,22.86316
12,2007,UKF2,2016,24.15987
13,2007,UKF3,2016,21.48515
14,2007,UKG1,2016,25.17357
15,2007,UKG2,2016,22.44077
16,2007,UKG3,2016,29.43859
17,2007,UKH1,2016,23.05329
18,2007,UKH2,2016,25.05505
19,2007,UKH3,2016,28.2018
20,2007,UKI3,2016,33.27215
21,2007,UKI4,2016,32.92873
22,2007,UKI5,2016,27.11182
23,2007,UKI6,2016,24.5872
24,2007,UKI7,2016,28.1859
25,2007,UKJ1,2016,25.60594
26,2007,UKJ2,2016,23.708920000000006
27,2007,UKJ3,2016,29.15812
28,2007,UKJ4,2016,27.76618
29,2007,UKK1,2016,25.00414
30,2007,UKK2,2016,22.99629
31,2007,UKK3,2016,22.6729
32,2007,UKK4,2016,21.16149
33,2007,UKL1,2016,21.63958
34,2007,UKL2,2016,28.335140000000006
35,2007,UKM5,2016,16.24886
36,2007,UKM6,2016,17.91529
37,2007,UKM7,2016,19.41598
38,2007,UKM8,2016,18.399420000000006
39,2007,UKM9,2016,15.796170000000002
40,2007,UKN0,2016,23.14202
41,2008,UKC1,2016,19.55692
42,2008,UKC2,2016,21.47742
43,2008,UKD1,2016,16.71831
44,2008,UKD3,2016,19.88093
45,2008,UKD4,2016,19.71177
46,2008,UKD6,2016,18.58806
47,2008,UKD7,2016,23.70331
48,2008,UKE1,2016,24.87508
49,2008,UKE2,2016,22.08298
50,2008,UKE3,2016,24.13835
51,2008,UKE4,2016,21.74934
52,2008,UKF1,2016,26.12187
53,2008,UKF2,2016,23.59293
54,2008,UKF3,2016,23.23971
55,2008,UKG1,2016,24.0005
56,2008,UKG2,2016,22.11308
57,2008,UKG3,2016,27.124240000000004
58,2008,UKH1,2016,23.75446
59,2008,UKH2,2016,24.42506
60,2008,UKH3,2016,26.39068
61,2008,UKI3,2016,24.72531
62,2008,UKI4,2016,24.14755
63,2008,UKI5,2016,26.97153
64,2008,UKI6,2016,21.7917
65,2008,UKI7,2016,24.16749
66,2008,UKJ1,2016,22.98168
67,2008,UKJ2,2016,23.12
68,2008,UKJ3,2016,27.70355
69,2008,UKJ4,2016,24.10651
70,2008,UKK1,2016,25.15031
71,2008,UKK2,2016,20.57314
72,2008,UKK3,2016,23.01403
73,2008,UKK4,2016,19.32804
74,2008,UKL1,2016,20.09061
75,2008,UKL2,2016,25.84834
76,2008,UKM5,2016,15.873220000000002
77,2008,UKM6,2016,14.013520000000002
78,2008,UKM7,2016,19.375020000000006
79,2008,UKM8,2016,17.463420000000006
80,2008,UKM9,2016,15.0571
81,2008,UKN0,2016,19.95946
82,2009,UKC1,2016,18.98853
83,2009,UKC2,2016,20.24778
84,2009,UKD1,2016,15.92198
85,2009,UKD3,2016,20.71168
86,2009,UKD4,2016,20.71713
87,2009,UKD6,2016,19.15685
88,2009,UKD7,2016,21.1679
89,2009,UKE1,2016,23.33222
