NUTS_ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UKC1,8.752242,7.593821,7.673493,8.798422,9.062305,7.795897,8.493614,8.41419,7.094528,7.042752,6.731554,6.869108
UKC2,8.773315,7.439103,7.35558,8.729592,8.935765,7.755466,8.623463,8.244143,6.745821,7.091635,6.778034,6.89662
UKD1,8.754683,7.517969,7.484633,8.799889,8.977751,7.706758,8.499179,8.064105,6.821813,6.999836,6.616839,6.675111
UKD3,12.52484,11.34044,11.63043,11.80338,12.76409,11.05872,11.46335,10.92236,9.231187,10.63879,8.348647,8.644548
UKD4,10.22834,8.991939,9.070088,9.697145,10.28918,8.912326,9.410584,9.177771,7.674281,8.108725,7.429798,7.692651
UKD6,12.54549,11.30104,11.64976,11.57697,12.55637,10.92579,11.44124,10.88857,9.505236,10.19383,8.301917,8.331778
UKD7,11.57244,10.00327,9.997766,10.16176,10.97487,9.701924,10.1363,9.724018,8.330508,9.346471,7.628047,8.440501
UKE1,12.36448,13.32383,13.35713,12.91842,13.64133,11.57976,13.015,12.883,9.894579,11.37954,10.04203,11.02243
UKE2,9.711827,8.489533,8.531495,9.319191,9.841523,8.539334,9.084241,8.880519,7.158538,7.57438,7.190454,7.258603
UKE3,12.20819,10.83989,11.26497,11.61289,12.30919,10.63025,11.0403,10.42716,8.756265,10.00661,7.572088,7.862737
UKE4,11.67184,10.44092,10.50008,10.92936,11.62007,10.04132,10.41891,10.07026,8.381319,9.824121,7.811342,8.172328
UKF1,12.21479,10.816,11.28652,11.61182,12.3074,10.6235,11.03696,10.45466,8.813522,10.03318,7.601802,7.884919
UKF2,15.06915,14.62155,14.02681,13.92894,14.94505,12.87465,13.56474,13.15752,11.50664,13.89473,12.51694,12.1097
UKF3,14.03947,14.07811,14.38745,13.48617,14.18603,12.12757,13.60517,13.25097,10.71157,12.12318,10.86612,11.89648
UKG1,13.12166,11.6727,11.68425,10.57475,11.73693,9.995369,11.06146,10.7345,9.150891,11.11345,9.161061,9.513918
UKG2,12.21505,10.57293,10.60387,9.775052,11.0999,9.357679,10.26437,9.797205,8.689284,9.717919,7.85578,8.438706
UKG3,15.54977,14.51407,14.49189,14.16018,14.92873,12.94674,14.06368,13.7096,12.23826,13.88101,11.64692,12.30017
UKH1,14.66703,13.88503,14.05618,12.67678,13.52744,11.5079,12.85608,12.4947,9.835292,12.55789,11.01826,11.88063
UKH2,16.17962,15.20132,14.8473,14.62915,16.4692,14.03737,14.19705,13.4257,11.8433,13.97813,13.9119,13.66974
UKH3,15.41614,15.23455,15.19483,13.73766,14.66374,12.55063,13.60898,13.42561,11.30806,13.60342,12.84955,12.58982
UKI3,20.52464,17.5337,17.53127,17.52894,19.12386,16.21886,16.89865,16.21209,14.44159,16.00182,15.26954,15.74869
UKI4,20.48315,17.80147,17.7257,17.41626,18.94906,16.19396,16.73807,16.05064,14.46894,16.37116,15.62566,16.03506
UKI5,18.1696,17.41596,17.12104,16.1544,18.37475,15.69831,16.13522,15.49505,13.76772,15.35843,15.34282,15.35919
UKI6,17.40585,16.35105,16.23796,14.98622,16.89818,14.46579,14.83364,14.44693,12.75354,14.97943,14.38321,13.85992
UKI7,18.43305,16.19119,15.91484,15.37118,17.94808,14.97021,15.12852,14.36884,12.63613,14.59467,14.49539,14.30416
UKJ1,15.20894,13.72633,14.24364,13.87699,15.05484,12.95467,13.5256,12.79394,11.16991,13.50694,12.33685,12.41516
UKJ2,15.82914,13.98312,14.26801,12.05108,14.28014,12.31272,12.53988,11.64968,10.12156,12.78709,12.35074,11.75964
UKJ3,15.13847,12.99188,13.1713,11.86589,13.47512,11.42694,11.9185,10.94497,9.665793,12.13565,10.99556,10.68794
UKJ4,15.47152,15.21313,15.24979,13.10152,14.40645,12.40006,13.24634,12.92801,10.75047,13.19504,12.81506,11.89176
UKK1,14.48997,12.48196,12.43302,11.72343,12.68459,10.89815,11.8431,11.47037,9.893383,11.90677,10.17005,10.35505
UKK2,13.83642,11.69102,10.89537,10.62015,11.44346,9.912333,10.73642,10.23846,8.603434,10.9328,9.001312,8.570922
UKK3,14.40873,12.63101,11.7082,11.50593,12.58835,10.96659,11.72942,9.521016,9.664559,10.8242,9.320352,8.589727
UKK4,13.64429,11.55256,10.84134,10.34125,11.44542,9.915761,10.58212,9.919666,8.605536,10.93691,9.005767,7.304998
UKL1,11.2494,9.393025,8.835334,8.657713,9.760888,8.731641,9.566454,9.00859,7.463189,7.524258,6.196508,8.374886
UKL2,11.62589,9.898933,9.725862,8.914149,10.41546,8.786736,9.649927,9.062738,7.941241,8.365776,6.933932,8.705236
UKM5,6.77542,5.74643,6.721351,6.685907,6.829653,5.947976,5.883917,6.014342,5.0949,6.78349,5.969261,5.752529
UKM6,6.666549,5.725333,5.533579,6.587678,6.673904,5.82371,5.729254,5.816513,5.000788,5.766941,5.003139,4.555752
UKM7,7.101248,5.982058,6.837452,7.019328,7.12704,6.221933,6.129958,5.997087,5.13203,6.68373,5.581518,5.599988
UKM8,8.419186,7.112237,7.618884,8.515237,8.576376,7.472935,7.360771,6.693229,5.725987,7.045439,6.20757,6.176804
UKM9,8.804925,7.279087,7.179635,8.644796,8.775033,7.58198,8.080005,7.26043,6.180878,7.122945,6.75517,6.504255
UKN0,9.073084,7.78361,6.543854,7.211276,7.578652,6.664319,7.50674,6.778697,5.325978,6.452863,6.186082,6.286059
