geo,time,% of active population- FTE,% of active population- HC,Full time equivalent (FTE),Head Count(HC)
Bedfordshire and Hertfordshire,2012,0.962,1.1158,8936.0,10364.0
Bedfordshire and Hertfordshire,2013,1.2277,1.4507,11516.0,13607.0
Bedfordshire and Hertfordshire,2014,1.1366,1.3714,10868.0,13114.0
Bedfordshire and Hertfordshire,2015,1.1943,1.4885,11388.0,14193.0
Bedfordshire and Hertfordshire,2016,1.2609,1.558,12107.0,14960.0
"Berkshire, Buckinghamshire, and Oxfordshire",2012,1.3625,1.702,16990.0,21222.0
"Berkshire, Buckinghamshire, and Oxfordshire",2013,1.4964,1.9197,18690.0,23977.0
"Berkshire, Buckinghamshire, and Oxfordshire",2014,1.6023,2.095,20295.0,26535.0
"Berkshire, Buckinghamshire, and Oxfordshire",2015,1.6616,2.0861,21159.0,26565.0
"Berkshire, Buckinghamshire, and Oxfordshire",2016,1.6812,2.3263,21467.0,29705.0
Cheshire,2012,0.9673,1.3096,4433.0,6002.0
Cheshire,2013,0.983,1.3016,4480.0,5932.0
Cheshire,2014,1.0714,1.4857,4998.0,6931.0
Cheshire,2015,1.1573,1.5522,5233.0,7019.0
Cheshire,2016,1.0019,1.4558,4525.0,6576.0
Cornwall and Isles of Scilly,2012,0.1456,0.1808,367.0,456.0
Cornwall and Isles of Scilly,2013,0.1333,0.1691,337.0,428.0
Cornwall and Isles of Scilly,2014,0.1481,0.1945,392.0,515.0
Cornwall and Isles of Scilly,2015,0.1888,0.2489,505.0,665.0
Cornwall and Isles of Scilly,2016,0.1816,0.2362,512.0,666.0
Cumbria,2012,0.4345,0.5882,1112.0,1505.0
Cumbria,2013,0.3628,0.4803,918.0,1215.0
Cumbria,2014,0.5762,0.7991,1407.0,1952.0
Cumbria,2015,0.689,0.9241,1770.0,2374.0
Cumbria,2016,0.7025,1.0207,1727.0,2509.0
Derbyshire and Nottinghamshire,2012,0.8376,1.0496,8904.0,11158.0
Derbyshire and Nottinghamshire,2013,1.022,1.3099,10720.0,13739.0
Derbyshire and Nottinghamshire,2014,1.0904,1.3773,11463.0,14480.0
Derbyshire and Nottinghamshire,2015,1.038,1.3333,11355.0,14585.0
Derbyshire and Nottinghamshire,2016,1.0949,1.4876,12176.0,16544.0
Devon,2012,0.1258,0.1562,715.0,888.0
Devon,2013,0.1471,0.1865,811.0,1028.0
Devon,2014,0.2632,0.3457,1473.0,1935.0
Devon,2015,0.2797,0.3689,1642.0,2165.0
Devon,2016,0.2985,0.3883,1735.0,2257.0
Dorset and Somerset,2012,0.3605,0.4479,2242.0,2786.0
Dorset and Somerset,2013,0.3499,0.4438,2277.0,2888.0
