year,nuts_id,nuts_year_spec,total_gtr_projects_stem
2006,UKH2,2016,45
2006,UKJ1,2016,172
2006,UKD6,2016,1
2006,UKK3,2016,0
2006,UKF1,2016,93
2006,UKK4,2016,34
2006,UKK2,2016,0
2006,UKH1,2016,231
2006,UKL2,2016,1
2006,UKE1,2016,10
2006,UKM7,2016,119
2006,UKH3,2016,14
2006,UKK1,2016,125
2006,UKD3,2016,135
2006,UKJ3,2016,92
2006,UKG1,2016,2
2006,UKI4,2016,63
2006,UKI3,2016,244
2006,UKJ4,2016,17
2006,UKD4,2016,29
2006,UKF2,2016,53
2006,UKF3,2016,1
2006,UKD7,2016,55
2006,UKM5,2016,17
2006,UKE2,2016,46
2006,UKC2,2016,42
2006,UKI5,2016,1
2006,UKI6,2016,3
2006,UKI7,2016,17
2006,UKG2,2016,7
2006,UKE3,2016,86
2006,UKJ2,2016,65
2006,UKM8,2016,77
2006,UKG3,2016,119
2006,UKL1,2016,43
2006,UKE4,2016,113
2007,UKH2,2016,71
2007,UKJ1,2016,190
2007,UKD6,2016,1
2007,UKF1,2016,94
2007,UKK4,2016,53
2007,UKK2,2016,0
2007,UKH1,2016,262
2007,UKE1,2016,11
2007,UKM7,2016,154
2007,UKH3,2016,11
2007,UKK1,2016,132
2007,UKD3,2016,141
2007,UKJ3,2016,89
2007,UKG1,2016,1
2007,UKM6,2016,1
2007,UKI4,2016,68
2007,UKI3,2016,256
2007,UKJ4,2016,20
2007,UKD4,2016,34
2007,UKF2,2016,57
2007,UKF3,2016,0
2007,UKD7,2016,65
2007,UKM5,2016,30
2007,UKE2,2016,52
2007,UKC2,2016,51
2007,UKI5,2016,1
2007,UKI6,2016,4
2007,UKI7,2016,14
2007,UKG2,2016,5
2007,UKE3,2016,86
2007,UKJ2,2016,74
2007,UKM8,2016,108
2007,UKG3,2016,111
2007,UKL1,2016,35
2007,UKE4,2016,92
2008,UKH2,2016,106
2008,UKJ1,2016,188
2008,UKD6,2016,1
2008,UKF1,2016,100
2008,UKK4,2016,43
2008,UKK2,2016,5
2008,UKH1,2016,235
2008,UKL2,2016,1
2008,UKE1,2016,9
2008,UKM7,2016,131
2008,UKH3,2016,10
2008,UKK1,2016,121
2008,UKD3,2016,133
2008,UKJ3,2016,77
2008,UKG1,2016,1
2008,UKM6,2016,0
2008,UKI4,2016,62
2008,UKI3,2016,266
2008,UKJ4,2016,13
2008,UKD4,2016,32
2008,UKF2,2016,61
2008,UKF3,2016,0
2008,UKD7,2016,50
2008,UKM5,2016,26
2008,UKE2,2016,36
2008,UKC2,2016,52
2008,UKI5,2016,3
2008,UKI6,2016,0
2008,UKI7,2016,22
2008,UKG2,2016,10
2008,UKE3,2016,85
2008,UKJ2,2016,79
2008,UKM8,2016,100
2008,UKG3,2016,120
2008,UKL1,2016,62
2008,UKE4,2016,93
2009,UKH2,2016,39
2009,UKJ1,2016,193
2009,UKD6,2016,6
2009,UKD1,2016,2
2009,UKF1,2016,93
2009,UKK4,2016,38
2009,UKK2,2016,2
2009,UKH1,2016,248
2009,UKL2,2016,1
2009,UKE1,2016,7
2009,UKM7,2016,132
2009,UKH3,2016,7
2009,UKK1,2016,121
2009,UKD3,2016,109
2009,UKJ3,2016,84
2009,UKG1,2016,2
2009,UKM6,2016,0
2009,UKI4,2016,48
2009,UKI3,2016,289
2009,UKJ4,2016,11
2009,UKD4,2016,38
2009,UKF2,2016,67
2009,UKF3,2016,1
2009,UKD7,2016,57
2009,UKM5,2016,21
2009,UKE2,2016,33
2009,UKC2,2016,44
2009,UKI5,2016,1
2009,UKI6,2016,2
2009,UKI7,2016,15
2009,UKG2,2016,6
2009,UKE3,2016,57
2009,UKJ2,2016,94
2009,UKC1,2016,2
2009,UKM8,2016,86
2009,UKG3,2016,100
2009,UKL1,2016,51
2009,UKE4,2016,86
2010,UKH2,2016,53
2010,UKJ1,2016,207
2010,UKD6,2016,4
2010,UKK3,2016,2
2010,UKF1,2016,64
2010,UKK4,2016,72
2010,UKK2,2016,8
2010,UKH1,2016,237
2010,UKL2,2016,2
2010,UKE1,2016,9
2010,UKM7,2016,145
2010,UKH3,2016,7
2010,UKK1,2016,108
2010,UKD3,2016,92
2010,UKJ3,2016,122
2010,UKG1,2016,3
2010,UKI4,2016,66
2010,UKI3,2016,242
2010,UKJ4,2016,14
2010,UKD4,2016,28
2010,UKF2,2016,70
2010,UKF3,2016,7
2010,UKD7,2016,42
2010,UKM5,2016,28
2010,UKE2,2016,45
2010,UKC2,2016,49
2010,UKI5,2016,1
2010,UKI6,2016,2
2010,UKI7,2016,16
2010,UKG2,2016,4
2010,UKE3,2016,74
2010,UKJ2,2016,84
2010,UKC1,2016,9
2010,UKM8,2016,76
2010,UKG3,2016,103
2010,UKL1,2016,30
2010,UKE4,2016,75
2011,UKH2,2016,32
2011,UKJ1,2016,195
2011,UKD6,2016,1
2011,UKK3,2016,1
2011,UKD1,2016,4
2011,UKF1,2016,73
2011,UKK4,2016,44
2011,UKK2,2016,7
2011,UKH1,2016,221
2011,UKL2,2016,2
2011,UKE1,2016,13
2011,UKM7,2016,116
2011,UKH3,2016,9
2011,UKK1,2016,119
2011,UKD3,2016,87
2011,UKJ3,2016,75
2011,UKG1,2016,7
2011,UKM6,2016,2
2011,UKI4,2016,51
2011,UKI3,2016,234
2011,UKJ4,2016,14
2011,UKD4,2016,20
2011,UKF2,2016,47
2011,UKF3,2016,4
2011,UKD7,2016,39
2011,UKM5,2016,16
2011,UKE2,2016,25
2011,UKC2,2016,34
2011,UKI5,2016,4
2011,UKI6,2016,4
2011,UKI7,2016,20
2011,UKG2,2016,10
2011,UKE3,2016,61
2011,UKM9,2016,1
2011,UKJ2,2016,63
2011,UKC1,2016,2
2011,UKM8,2016,77
2011,UKG3,2016,104
2011,UKL1,2016,34
2011,UKE4,2016,77
2012,UKH2,2016,64
2012,UKJ1,2016,198
2012,UKD6,2016,19
2012,UKK3,2016,3
2012,UKD1,2016,3
2012,UKF1,2016,94
2012,UKK4,2016,78
2012,UKK2,2016,8
2012,UKH1,2016,292
2012,UKL2,2016,8
2012,UKE1,2016,17
2012,UKM7,2016,163
2012,UKH3,2016,19
2012,UKK1,2016,145
2012,UKD3,2016,108
2012,UKJ3,2016,119
2012,UKG1,2016,23
2012,UKM6,2016,2
2012,UKI4,2016,75
2012,UKI3,2016,264
2012,UKJ4,2016,28
2012,UKD4,2016,33
2012,UKF2,2016,63
2012,UKF3,2016,8
2012,UKD7,2016,72
2012,UKM5,2016,27
2012,UKE2,2016,39
2012,UKC2,2016,55
2012,UKI5,2016,5
2012,UKI6,2016,5
2012,UKI7,2016,27
2012,UKG2,2016,15
2012,UKE3,2016,91
2012,UKM9,2016,6
2012,UKJ2,2016,97
2012,UKC1,2016,10
2012,UKM8,2016,113
2012,UKG3,2016,105
2012,UKL1,2016,54
2012,UKE4,2016,82
2013,UKH2,2016,62
2013,UKJ1,2016,284
2013,UKD6,2016,19
2013,UKK3,2016,9
2013,UKD1,2016,4
2013,UKF1,2016,105
2013,UKK4,2016,89
2013,UKK2,2016,21
2013,UKH1,2016,291
2013,UKL2,2016,16
2013,UKE1,2016,11
2013,UKM7,2016,161
2013,UKH3,2016,17
2013,UKK1,2016,180
2013,UKD3,2016,126
2013,UKJ3,2016,111
2013,UKG1,2016,33
2013,UKM6,2016,6
2013,UKI4,2016,104
2013,UKI3,2016,367
2013,UKJ4,2016,32
2013,UKD4,2016,56
2013,UKF2,2016,90
2013,UKF3,2016,22
2013,UKD7,2016,77
2013,UKM5,2016,29
2013,UKE2,2016,49
2013,UKC2,2016,62
2013,UKI5,2016,9
2013,UKI6,2016,7
2013,UKI7,2016,49
