year,nuts_id,nuts_year_spec,gbp_investment_per_active_spinoff
2014,UKH2,2018,2585.139
2015,UKH2,2018,3301.917
2016,UKH2,2018,2750.0
2017,UKH2,2018,2927.602
2014,UKJ1,2018,417995.868
2015,UKJ1,2018,798449.275
2016,UKJ1,2018,1471386.667
2017,UKJ1,2018,1528058.065
2014,UKD6,2018,0.0
2015,UKD6,2018,0.0
2016,UKD6,2018,0.0
2017,UKD6,2018,0.0
2014,UKK3,2018,0.0
2015,UKK3,2018,210.28
2016,UKK3,2018,1612.15
2017,UKK3,2018,78.704
2014,UKD1,2018,142.857
2015,UKD1,2018,1069.767
2016,UKD1,2018,0.0
2017,UKD1,2018,91.954
2014,UKF1,2018,10992.032
2015,UKF1,2018,47586.873
2016,UKF1,2018,14310.49
2017,UKF1,2018,49659.31
2014,UKK4,2018,76.336
2015,UKK4,2018,14333.333
2016,UKK4,2018,24816.456
2017,UKK4,2018,46173.913
2014,UKK2,2018,0.0
2015,UKK2,2018,0.0
2016,UKK2,2018,0.0
2017,UKK2,2018,0.0
2014,UKH1,2018,89132.931
2015,UKH1,2018,125888.889
2016,UKH1,2018,80886.574
2017,UKH1,2018,24581.081
2014,UKL2,2018,15285.403
2015,UKL2,2018,6250.0
2016,UKL2,2018,9629.63
2017,UKL2,2018,13386.57
2014,UKE1,2018,1048.387
2015,UKE1,2018,4811.111
2016,UKE1,2018,0.0
2017,UKE1,2018,0.0
2014,UKM7,2018,485658.582
2015,UKM7,2018,34123.435
2016,UKM7,2018,67451.258
2017,UKM7,2018,82322.293
2014,UKH3,2018,87500.0
2015,UKH3,2018,57812.5
2016,UKH3,2018,144687.5
2017,UKH3,2018,10364.865
2014,UKK1,2018,198960.432
2015,UKK1,2018,171387.387
2016,UKK1,2018,140337.278
2017,UKK1,2018,157064.904
2014,UKD3,2018,119433.761
2015,UKD3,2018,146716.59
2016,UKD3,2018,96621.901
2017,UKD3,2018,65775.794
2014,UKJ3,2018,10052.497
2015,UKJ3,2018,23170.238
2016,UKJ3,2018,20900.655
2017,UKJ3,2018,14675.926
2014,UKG1,2018,0.0
2015,UKG1,2018,0.0
2016,UKG1,2018,0.0
2017,UKG1,2018,0.0
2014,UKM6,2018,0.0
2015,UKM6,2018,0.0
2016,UKM6,2018,0.0
2017,UKM6,2018,0.0
2014,UKI4,2018,106748.148
2015,UKI4,2018,106462.81
2016,UKI4,2018,99603.535
2017,UKI4,2018,58751.152
2014,UKI3,2018,352533.737
2015,UKI3,2018,256077.855
2016,UKI3,2018,187830.925
2017,UKI3,2018,353818.912
2014,UKJ4,2018,40697.674
2015,UKJ4,2018,377.358
2016,UKJ4,2018,1838.983
2017,UKJ4,2018,0.0
2014,UKD4,2018,6747.408
2015,UKD4,2018,7573.321
2016,UKD4,2018,2474.954
2017,UKD4,2018,2414.449
2014,UKF2,2018,6881.288
2015,UKF2,2018,1941887.574
2016,UKF2,2018,10411.638
2017,UKF2,2018,4665.962
2014,UKF3,2018,2500.0
2015,UKF3,2018,728.07
2016,UKF3,2018,161.074
2017,UKF3,2018,623.188
2014,UKD7,2018,1441.718
2015,UKD7,2018,1361.032
2016,UKD7,2018,790.23
2017,UKD7,2018,287.009
2014,UKM5,2018,3473242.424
2015,UKM5,2018,808772.727
2016,UKM5,2018,1155253.521
2017,UKM5,2018,292500.0
2014,UKE2,2018,6481.481
2015,UKE2,2018,1282.051
2016,UKE2,2018,36225.806
2017,UKE2,2018,7432.432
2014,UKN0,2018,1096746.479
2015,UKN0,2018,1298194.03
2016,UKN0,2018,1484070.423
2017,UKN0,2018,1664044.118
2014,UKC2,2018,9249.351
2015,UKC2,2018,15735.661
2016,UKC2,2018,21168.182
2017,UKC2,2018,44491.228
2014,UKI5,2018,4473.684
2015,UKI5,2018,2000.0
2016,UKI5,2018,62500.0
2017,UKI5,2018,71142.857
2014,UKI6,2018,125.654
2015,UKI6,2018,68.182
2016,UKI6,2018,0.0
2017,UKI6,2018,0.0
2014,UKI7,2018,0.0
2015,UKI7,2018,0.0
2016,UKI7,2018,0.0
2017,UKI7,2018,0.0
2014,UKG2,2018,523.529
2015,UKG2,2018,1209.205
2016,UKG2,2018,147.26
2017,UKG2,2018,69.277
2014,UKE3,2018,0.0
2015,UKE3,2018,0.0
2016,UKE3,2018,0.0
2017,UKE3,2018,0.0
2014,UKJ2,2018,9066.225
2015,UKJ2,2018,15139.942
2016,UKJ2,2018,25900.552
2017,UKJ2,2018,106352.071
2014,UKC1,2018,57725.275
2015,UKC1,2018,28681.579
2016,UKC1,2018,66490.625
2017,UKC1,2018,57112.426
2014,UKM8,2018,361590.09
2015,UKM8,2018,872618.852
2016,UKM8,2018,13209.059
2017,UKM8,2018,55548.043
2014,UKG3,2018,74205.357
2015,UKG3,2018,45539.906
2016,UKG3,2018,42521.042
2017,UKG3,2018,79876.947
2014,UKL1,2018,6968.464
2015,UKL1,2018,12065.257
2016,UKL1,2018,18833.194
2017,UKL1,2018,7212.239
2014,UKE4,2018,126369.565
2015,UKE4,2018,168320.755
2016,UKE4,2018,129248.918
2017,UKE4,2018,206205.251
