year,nuts_id,nuts_year_spec,total_active_graduate_startups
2014,UKH2,2018,613
2015,UKH2,2018,604
2016,UKH2,2018,598
2017,UKH2,2018,637
2014,UKJ1,2018,128
2015,UKJ1,2018,133
2016,UKJ1,2018,157
2017,UKJ1,2018,155
2014,UKD6,2018,0
2015,UKD6,2018,0
2016,UKD6,2018,0
2017,UKD6,2018,0
2014,UKK3,2018,209
2015,UKK3,2018,202
2016,UKK3,2018,201
2017,UKK3,2018,197
2014,UKD1,2018,35
2015,UKD1,2018,35
2016,UKD1,2018,55
2017,UKD1,2018,76
2014,UKF1,2018,462
2015,UKF1,2018,460
2016,UKF1,2018,650
2017,UKF1,2018,629
2014,UKK4,2018,71
2015,UKK4,2018,85
2016,UKK4,2018,101
2017,UKK4,2018,126
2014,UKK2,2018,132
2015,UKK2,2018,62
2016,UKK2,2018,1
2017,UKK2,2018,3
2014,UKH1,2018,197
2015,UKH1,2018,188
2016,UKH1,2018,251
2017,UKH1,2018,248
2014,UKL2,2018,409
2015,UKL2,2018,483
2016,UKL2,2018,489
2017,UKL2,2018,489
2014,UKE1,2018,56
2015,UKE1,2018,85
2016,UKE1,2018,75
2017,UKE1,2018,82
2014,UKM7,2018,389
2015,UKM7,2018,406
2016,UKM7,2018,460
2017,UKM7,2018,557
2014,UKH3,2018,17
2015,UKH3,2018,28
2016,UKH3,2018,28
2017,UKH3,2018,70
2014,UKK1,2018,196
2015,UKK1,2018,142
2016,UKK1,2018,247
2017,UKK1,2018,312
2014,UKD3,2018,377
2015,UKD3,2018,340
2016,UKD3,2018,382
2017,UKD3,2018,403
2014,UKJ3,2018,714
2015,UKJ3,2018,769
2016,UKJ3,2018,845
2017,UKJ3,2018,1114
2014,UKG1,2018,0
2015,UKG1,2018,4
2016,UKG1,2018,16
2017,UKG1,2018,17
2014,UKM6,2018,0
2015,UKM6,2018,0
2016,UKM6,2018,0
2017,UKM6,2018,0
2014,UKI4,2018,207
2015,UKI4,2018,307
2016,UKI4,2018,352
2017,UKI4,2018,371
2014,UKI3,2018,968
2015,UKI3,2018,946
2016,UKI3,2018,1163
2017,UKI3,2018,1375
2014,UKJ4,2018,27
2015,UKJ4,2018,30
2016,UKJ4,2018,94
2017,UKJ4,2018,91
2014,UKD4,2018,1029
2015,UKD4,2018,1023
2016,UKD4,2018,1041
2017,UKD4,2018,1027
2014,UKF2,2018,428
2015,UKF2,2018,443
2016,UKF2,2018,417
2017,UKF2,2018,418
2014,UKF3,2018,52
2015,UKF3,2018,114
2016,UKF3,2018,149
2017,UKF3,2018,138
2014,UKD7,2018,292
2015,UKD7,2018,315
2016,UKD7,2018,325
2017,UKD7,2018,310
2014,UKM5,2018,1
2015,UKM5,2018,7
2016,UKM5,2018,26
2017,UKM5,2018,36
2014,UKE2,2018,11
2015,UKE2,2018,22
2016,UKE2,2018,16
2017,UKE2,2018,27
2014,UKN0,2018,4
2015,UKN0,2018,0
2016,UKN0,2018,0
2017,UKN0,2018,0
2014,UKC2,2018,343
2015,UKC2,2018,358
2016,UKC2,2018,393
2017,UKC2,2018,409
2014,UKI5,2018,13
2015,UKI5,2018,16
2016,UKI5,2018,15
2017,UKI5,2018,11
2014,UKI6,2018,950
2015,UKI6,2018,878
2016,UKI6,2018,860
2017,UKI6,2018,770
2014,UKI7,2018,0
2015,UKI7,2018,0
2016,UKI7,2018,0
2017,UKI7,2018,1
2014,UKG2,2018,148
2015,UKG2,2018,218
2016,UKG2,2018,271
2017,UKG2,2018,298
2014,UKE3,2018,138
2015,UKE3,2018,169
2016,UKE3,2018,176
2017,UKE3,2018,270
2014,UKJ2,2018,255
2015,UKJ2,2018,289
2016,UKJ2,2018,305
2017,UKJ2,2018,283
2014,UKC1,2018,263
2015,UKC1,2018,281
2016,UKC1,2018,219
2017,UKC1,2018,225
2014,UKM8,2018,116
2015,UKM8,2018,141
2016,UKM8,2018,175
2017,UKM8,2018,172
2014,UKG3,2018,542
2015,UKG3,2018,512
2016,UKG3,2018,346
2017,UKG3,2018,454
2014,UKL1,2018,824
2015,UKL1,2018,927
2016,UKL1,2018,1054
2017,UKL1,2018,1146
2014,UKE4,2018,362
2015,UKE4,2018,375
2016,UKE4,2018,414
2017,UKE4,2018,367
