nuts_name,nuts_code,staff_start-ups_n,social_enterprises_n,graduate_start-ups_n,spin-offs_with_some_hep_ownership_n,"formal_spin-offs,_not_hep_owned_n",staff_start-ups_inv_thGPB,social_enterprises_inv_thGPB,graduate_start-ups_inv_thGPB,spin-offs_with_some_hep_ownership_inv_thGPB,"formal_spin-offs,_not_hep_owned_inv_thGPB",total_ip_revenues,consultancy_thGBP,contract_research_thGBP,facilities_and_equipment_related_thGBP
Bedfordshire and Hertfordshire,UKH2,10.0,10.0,637.0,6.0,0.0,1.0,3.0,100.0,1337.0,500.0,613.0,7462.0,17415.0,2681.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0.0,24.0,155.0,129.0,2.0,0.0,1106.0,39894.0,432125.0,573.0,59835.0,12574.0,190726.0,12473.0
Cheshire,UKD6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.0,2244.0,2418.0
Cornwall and Isles of Scilly,UKK3,6.0,2.0,197.0,11.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,35.0
Cumbria,UKD1,2.0,9.0,76.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,256.0,277.0,32.0
Derbyshire and Nottinghamshire,UKF1,19.0,45.0,629.0,25.0,7.0,0.0,116.0,1814.0,34073.0,0.0,12387.0,8584.0,45519.0,12665.0
Devon,UKK4,17.0,12.0,126.0,23.0,6.0,20.0,14.0,4712.0,3600.0,150.0,799.0,4166.0,20626.0,2922.0
Dorset and Somerset,UKK2,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,579.0,1142.0,47.0
East Anglia,UKH1,78.0,14.0,248.0,88.0,16.0,620.0,18.0,2745.0,7531.0,0.0,9621.0,27429.0,33385.0,18040.0
East Wales,UKL2,11.0,8.0,489.0,31.0,12.0,550.0,0.0,0.0,6159.0,667.0,2384.0,7565.0,9140.0,1070.0
East Yorkshire and Northern Lincolnshire,UKE1,0.0,0.0,82.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,3446.0,3043.0,601.0
Eastern Scotland,UKM7,27.0,25.0,557.0,115.0,61.0,2285.0,829.0,13901.0,47606.0,2.0,4592.0,53202.0,46233.0,1291.0
Essex,UKH3,1.0,1.0,70.0,2.0,0.0,0.0,0.0,0.0,767.0,0.0,3.0,1686.0,15475.0,4462.0
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,45.0,19.0,312.0,31.0,9.0,2028.0,358.0,3814.0,50593.0,8546.0,1293.0,7620.0,65534.0,3803.0
Greater Manchester,UKD3,22.0,14.0,403.0,52.0,13.0,4030.0,35.0,2873.0,22488.0,3725.0,3943.0,6648.0,79190.0,5876.0
Hampshire and Isle of Wight,UKJ3,43.0,10.0,1114.0,15.0,6.0,0.0,0.0,385.0,15419.0,1631.0,1001.0,37110.0,33479.0,14668.0
"Herefordshire, Worcestershire and Warwickshire",UKG1,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,331.0,205.0
Highlands and Islands,UKM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2883.0,2736.0,270.0
Inner London - East,UKI4,16.0,19.0,371.0,26.0,2.0,2900.0,90.0,15573.0,6935.0,0.0,1745.0,21169.0,15760.0,5295.0
Inner London - West,UKI3,17.0,19.0,1375.0,198.0,9.0,2935.0,4360.0,41162.0,524022.0,0.0,50312.0,77021.0,244565.0,15685.0
Kent,UKJ4,16.0,0.0,91.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,5814.0,3444.0,3279.0
Lancashire,UKD4,12.0,0.0,1027.0,9.0,4.0,16.0,0.0,2368.0,0.0,156.0,198.0,20131.0,11462.0,4632.0
"Leicestershire, Rutland and Northamptonshire",UKF2,10.0,26.0,418.0,17.0,2.0,0.0,500.0,120.0,1587.0,0.0,2022.0,19490.0,25252.0,11249.0
Lincolnshire,UKF3,0.0,0.0,138.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,290.0,5551.0,968.0
Merseyside,UKD7,2.0,1.0,310.0,14.0,4.0,0.0,0.0,45.0,50.0,0.0,903.0,13846.0,18336.0,1401.0
North Eastern Scotland,UKM5,2.0,6.0,36.0,38.0,6.0,0.0,0.0,40.0,5700.0,20000.0,1215.0,867.0,11294.0,5240.0
North Yorkshire,UKE2,1.0,0.0,27.0,9.0,0.0,0.0,0.0,0.0,275.0,0.0,1290.0,5841.0,17032.0,3395.0
Northern Ireland,UKN0,0.0,0.0,0.0,53.0,15.0,0.0,0.0,0.0,52278.0,60877.0,23522.0,6174.0,38584.0,8017.0
Northumberland and Tyne and Wear,UKC2,0.0,16.0,409.0,26.0,5.0,0.0,247.0,19836.0,205.0,0.0,1821.0,6522.0,29913.0,2221.0
Outer London - East and North East,UKI5,0.0,1.0,11.0,2.0,0.0,0.0,800.0,196.0,0.0,0.0,283.0,4176.0,8718.0,942.0
Outer London - South,UKI6,0.0,0.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,598.0,2.0
Outer London - West and North West,UKI7,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,922.0,5811.0,4985.0
Shropshire and Staffordshire,UKG2,24.0,5.0,298.0,4.0,1.0,0.0,10.0,13.0,0.0,0.0,656.0,6571.0,3409.0,3855.0
South Yorkshire,UKE3,4.0,2.0,270.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,12755.0,6139.0,65540.0,4839.0
"Surrey, East and West Sussex",UKJ2,23.0,3.0,283.0,19.0,10.0,375.0,0.0,758.0,30814.0,4000.0,834.0,6584.0,30837.0,19124.0
Tees Valley and Durham,UKC1,72.0,14.0,225.0,23.0,4.0,5.0,93.0,5436.0,13770.0,0.0,844.0,10367.0,8826.0,2316.0
West Central Scotland,UKM8,38.0,4.0,172.0,39.0,28.0,2188.0,0.0,3171.0,7300.0,2950.0,2149.0,20726.0,59376.0,7556.0
West Midlands,UKG3,27.0,58.0,454.0,79.0,24.0,455.0,637.0,646.0,42859.0,6684.0,1164.0,15937.0,90395.0,12983.0
West Wales and The Valleys,UKL1,51.0,6.0,1146.0,65.0,23.0,5.0,0.0,1318.0,5538.0,2450.0,863.0,4798.0,11570.0,994.0
West Yorkshire,UKE4,1.0,8.0,367.0,43.0,0.0,0.0,0.0,3015.0,83385.0,0.0,5031.0,14152.0,60667.0,23145.0
