nuts_name,nuts_code,academic_staff,research_income_(£),research_student_fte,total_number_of_buildings,total_site_area_(hectares),(d3)_animal_science,(i3)_software_engineering,(p3)_media_studies,(b6)_aural_and_oral_sciences,(p5)_journalism,(w6)_cinematics_and_photography,(w1)_fine_art,(p2)_publicity_studies,(c)_law,(n2)_management_studies,(r1)_french_studies,(y0)_combined,(k3)_landscape_and_garden_design,(v7)_heritage_studies,(l7)_human_and_social_geography,(c5)_microbiology,(d7)_agricultural_sciences,(f5)_astronomy,(j9)_others_in_technology,(n1)_business_studies,(q0)_broadly-based_programmes_within_languages,(r6)_scandinavian_studies,"(r9)_others_in_european_languages,_literature_and_related_subjects",(t5)_african_studies,"(d9)_others_in_veterinary_sciences,_agriculture_and_related_subjects",(r2)_german_studies,(w7)_crafts,"(q9)_others_in_linguistics,_classics_and_related_subjects",(c1)_biology,"(k9)_others_in_architecture,_building_and_planning",(l9)_others_in_social_studies,(6)_physical_sciences,(q2)_comparative_literary_studies,(j4)_polymers_and_textiles,(f)_languages,"(a)_architecture,_building_and_planning","(k0)_broadly-based_programmes_within_architecture,_building_and_planning",(t3)_south_asian_studies,"(b1)_anatomy,_physiology_and_pathology",(j1)_minerals_technology,(g9)_others_in_mathematical_sciences,(v3)_history_by_topic,(n0)_broadly-based_programmes_within_business_and_administrative_studies,(k1)_architecture,(r4)_spanish_studies,(1)_medicine_and_dentistry,(c6)_sport_and_exercise_science,(h9)_others_in_engineering,(d)_business_and_administrative_studies,(m9)_others_in_law,(j)_combined,(t6)_modern_middle_eastern_studies,(x9)_others_in_education,(f6)_geology,(w8)_imaginative_writing,(c0)_broadly-based_programmes_within_biological_sciences,(a9)_others_in_medicine_and_dentistry,(f9)_others_in_physical_sciences,(7)_mathematical_sciences,(i)_education,(t4)_other_asian_studies,(r3)_italian_studies,"(b2)_pharmacology,_toxicology_and_pharmacy",(t1)_chinese_studies,(a3)_clinical_medicine,(v4)_archaeology,(c4)_genetics,(5)_agriculture_and_related_subjects,(b5)_ophthalmics,(p0)_broadly-based_programmes_within_mass_communications_and_documentation,(j2)_metallurgy,(d6)_food_and_beverage_studies,(d4)_agriculture,(n9)_others_in_business_and_administrative_studies,(n4)_accounting,(r7)_russian_and_east_european_studies,(v0)_broadly-based_programmes_within_historical_and_philosophical_studies,(l1)_economics,(b)_social_studies,(f2)_materials_science,(g2)_operational_research,(m2)_law_by_topic,(i7)_computer_generated_visual_and_audio_effects,(h7)_production_and_manufacturing_engineering,(b4)_nutrition,(l5)_social_work,(c8)_psychology,(f3)_physics,(2)_subjects_allied_to_medicine,(h4)_aerospace_engineering,(l2)_politics,(n3)_finance,(h2)_civil_engineering,(n5)_marketing,(l6)_anthropology,(h1)_general_engineering,(d5)_forestry_and_arboriculture,(i6)_games,(w4)_drama,(r8)_european_studies,(i2)_information_systems,(i5)_health_informatics,(w9)_others_in_creative_arts_and_design,(c3)_zoology,(l8)_development_studies,(r5)_portuguese_studies,(v6)_theology_and_religious_studies,(q5)_celtic_studies,(8)_computer_science,(n6)_human_resource_management,(h5)_naval_architecture,(d1)_pre-clinical_veterinary_medicine,(q4)_ancient_language_studies,(q1)_linguistics,(v1)_history_by_period,(l0)_broadly-based_programmes_within_social_studies,(h3)_mechanical_engineering,(x1)_training_teachers,(q7)_classical_greek_studies,(g)_historical_and_philosophical_studies,(p4)_publishing,total,"(b3)_complementary_medicines,_therapies_and_well-being",(i9)_others_in_computer_sciences,(q8)_classical_studies,(v2)_history_by_area,(4)_veterinary_science,(v5)_philosophy,(j7)_biotechnology,(e)_mass_communications_and_documentation,(a1)_pre-clinical_medicine,(a2)_pre-clinical_dentistry,(a4)_clinical_dentistry,"(t9)_others_in_eastern,_asiatic,_african,_american_and_australasian_languages,_literature_and_related_subjects",(t8)_australasian_studies,(d2)_clinical_veterinary_medicine_and_dentistry,"(c7)_molecular_biology,_biophysics_and_biochemistry",(l4)_social_policy,(3)_biological_sciences,(b8)_medical_technology,(g3)_statistics,(j6)_maritime_technology,(q6)_latin_studies,(x2)_research_and_study_skills_in_education,(i1)_computer_science,(b7)_nursing,(f4)_forensic_and_archaeological_sciences,(c9)_others_in_biological_sciences,(w5)_dance,(h0)_broadly-based_programmes_within_engineering_and_technology,(b0)_broadly-based_programmes_within_subjects_allied_to_medicine,(p9)_others_in_mass_communications_and_documentation,"(h8)_chemical,_process_and_energy_engineering",(v9)_others_in_historical_and_philosophical_studies,(x0)_broadly-based_programmes_within_education,(h)_creative_arts_and_design,(t2)_japanese_studies,(p1)_information_services,(j3)_ceramics_and_glass,(h6)_electronic_and_electrical_engineering,(w0)_broadly-based_programmes_within_creative_arts_and_design,(j5)_materials_technology_not_otherwise_specified,(f7)_science_of_aquatic_and_terrestrial_environments,(b9)_others_in_subjects_allied_to_medicine,(l3)_sociology,(x3)_academic_studies_in_education,(f1)_chemistry,(w3)_music,(i4)_artificial_intelligence,(f8)_physical_geographical_sciences,(q3)_english_studies,"(k4)_planning_(urban,_rural_and_regional)",(9)_engineering_and_technology,(k2)_building,(f0)_broadly-based_programmes_within_physical_sciences,(m0)_broadly-based_programmes_within_law,"(n8)_hospitality,_leisure,_sport,_tourism_and_transport",(t7)_american_studies,(w2)_design_studies,(g1)_mathematics,(m1)_law_by_area,(c2)_botany,postgrad_research
Bedfordshire and Hertfordshire,UKH2,2140.0,18988000.0,520.0,145.0,131.002,20.0,0.0,275.0,0.0,195.0,840.0,170.0,20.0,1465.0,485.0,0.0,180.0,0.0,0.0,45.0,5.0,0.0,90.0,0.0,2660.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,380.0,0.0,0.0,465.0,60.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1480.0,0.0,5520.0,0.0,180.0,0.0,65.0,0.0,65.0,0.0,0.0,0.0,225.0,1675.0,0.0,0.0,745.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,5.0,60.0,590.0,0.0,0.0,290.0,2145.0,0.0,0.0,310.0,0.0,15.0,115.0,820.0,1080.0,110.0,5310.0,605.0,15.0,570.0,0.0,420.0,0.0,85.0,0.0,55.0,135.0,0.0,55.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1715.0,195.0,0.0,0.0,0.0,130.0,145.0,0.0,590.0,840.0,0.0,205.0,0.0,27685.0,290.0,0.0,0.0,0.0,0.0,60.0,5.0,625.0,0.0,0.0,0.0,10.0,0.0,0.0,45.0,525.0,3225.0,465.0,0.0,0.0,0.0,0.0,1605.0,2780.0,0.0,45.0,125.0,0.0,0.0,135.0,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,220.0,0.0,10.0,55.0,705.0,445.0,770.0,0.0,455.0,0.0,125.0,310.0,10.0,1525.0,25.0,0.0,1075.0,545.0,0.0,1130.0,225.0,85.0,0.0,1115.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,17865.0,839161000.0,7560.0,1060.0,674.1299999999999,230.0,50.0,755.0,160.0,0.0,340.0,500.0,10.0,3030.0,4615.0,705.0,190.0,0.0,0.0,715.0,70.0,0.0,105.0,175.0,1850.0,0.0,0.0,295.0,10.0,0.0,240.0,0.0,0.0,1140.0,70.0,40.0,4470.0,5.0,30.0,5860.0,1530.0,0.0,10.0,875.0,0.0,0.0,350.0,0.0,665.0,245.0,1730.0,535.0,0.0,10675.0,0.0,190.0,100.0,95.0,495.0,105.0,0.0,70.0,0.0,1815.0,3045.0,15.0,150.0,575.0,85.0,1040.0,340.0,45.0,985.0,0.0,0.0,65.0,440.0,310.0,60.0,780.0,80.0,0.0,2170.0,6835.0,200.0,0.0,1145.0,0.0,325.0,185.0,455.0,2420.0,1085.0,5275.0,680.0,1855.0,1095.0,175.0,930.0,385.0,1180.0,0.0,0.0,520.0,5.0,270.0,0.0,110.0,450.0,195.0,35.0,415.0,5.0,2235.0,100.0,0.0,0.0,25.0,255.0,2600.0,0.0,940.0,2040.0,25.0,4925.0,165.0,66280.0,15.0,10.0,680.0,145.0,0.0,1065.0,0.0,940.0,625.0,0.0,0.0,140.0,0.0,0.0,1380.0,285.0,6145.0,0.0,185.0,0.0,25.0,20.0,1830.0,2980.0,70.0,55.0,125.0,0.0,0.0,0.0,20.0,0.0,0.0,2795.0,200.0,5.0,0.0,180.0,0.0,50.0,365.0,495.0,735.0,890.0,1410.0,600.0,55.0,740.0,2540.0,245.0,3830.0,545.0,0.0,850.0,1245.0,0.0,500.0,1630.0,1030.0,55.0,22815.0
Cheshire,UKD6,670.0,2814000.0,210.0,251.0,76.13,435.0,0.0,105.0,0.0,165.0,90.0,95.0,25.0,365.0,220.0,75.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,595.0,0.0,0.0,10.0,0.0,0.0,30.0,0.0,0.0,195.0,0.0,0.0,295.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,120.0,5.0,415.0,0.0,1435.0,0.0,0.0,0.0,25.0,0.0,60.0,0.0,5.0,0.0,140.0,855.0,0.0,0.0,0.0,10.0,0.0,85.0,10.0,575.0,0.0,0.0,0.0,40.0,105.0,0.0,160.0,0.0,0.0,20.0,785.0,0.0,0.0,0.0,0.0,0.0,215.0,190.0,560.0,5.0,1885.0,0.0,95.0,25.0,0.0,145.0,0.0,0.0,0.0,65.0,155.0,0.0,35.0,0.0,5.0,0.0,0.0,0.0,155.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,20.0,610.0,0.0,550.0,0.0,10105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,1180.0,0.0,0.0,0.0,0.0,0.0,150.0,1410.0,0.0,0.0,60.0,0.0,0.0,0.0,80.0,0.0,0.0,705.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,260.0,330.0,220.0,5.0,120.0,0.0,290.0,425.0,0.0,105.0,0.0,0.0,0.0,290.0,0.0,120.0,140.0,365.0,0.0,255.0
Cornwall and Isles of Scilly,UKK3,265.0,896000.0,20.0,72.0,23.251,0.0,0.0,420.0,0.0,100.0,890.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,140.0,195.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,3210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,1140.0,0.0,0.0,0.0,15.0
Cumbria,UKD1,405.0,531000.0,50.0,94.0,37.055,0.0,0.0,65.0,0.0,0.0,155.0,80.0,0.0,70.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,175.0,280.0,0.0,0.0,70.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,185.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,1705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,775.0,0.0,0.0,70.0,0.0,0.0,0.0,545.0,120.0,0.0,1220.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,80.0,0.0,250.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,110.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485.0,0.0,110.0,0.0,5875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,200.0,0.0,0.0,0.0,0.0,10.0,745.0,45.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,220.0,55.0,180.0,0.0,85.0,0.0,230.0,70.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,210.0,0.0,0.0,0.0,70.0
Derbyshire and Nottinghamshire,UKF1,6430.0,185892000.0,3215.0,516.0,536.832,740.0,90.0,740.0,0.0,425.0,750.0,310.0,0.0,3350.0,2320.0,285.0,230.0,0.0,15.0,435.0,265.0,10.0,60.0,130.0,2265.0,0.0,0.0,225.0,0.0,155.0,175.0,135.0,30.0,1020.0,40.0,70.0,3630.0,10.0,0.0,3670.0,2170.0,0.0,0.0,615.0,0.0,5.0,130.0,0.0,1285.0,300.0,1975.0,1030.0,10.0,7615.0,5.0,230.0,0.0,15.0,190.0,160.0,10.0,0.0,15.0,1580.0,3535.0,0.0,35.0,1070.0,370.0,990.0,115.0,135.0,1275.0,5.0,5.0,5.0,170.0,195.0,0.0,935.0,75.0,0.0,1475.0,6365.0,15.0,115.0,335.0,30.0,280.0,320.0,1120.0,2600.0,1070.0,5115.0,15.0,1330.0,460.0,985.0,830.0,750.0,225.0,0.0,120.0,395.0,85.0,225.0,0.0,20.0,280.0,0.0,15.0,145.0,0.0,2160.0,135.0,0.0,50.0,0.0,140.0,1675.0,0.0,1280.0,1640.0,0.0,2630.0,5.0,63520.0,0.0,45.0,160.0,0.0,670.0,505.0,125.0,1435.0,980.0,0.0,0.0,0.0,0.0,620.0,475.0,160.0,6095.0,115.0,30.0,0.0,5.0,15.0,1625.0,2445.0,475.0,225.0,25.0,0.0,0.0,270.0,560.0,50.0,0.0,5665.0,0.0,0.0,0.0,705.0,0.0,25.0,225.0,550.0,1020.0,1870.0,1070.0,220.0,25.0,505.0,1425.0,10.0,4345.0,835.0,10.0,0.0,660.0,335.0,3640.0,1430.0,3005.0,50.0,9240.0
Devon,UKK4,3315.0,106993000.0,1645.0,369.0,140.18,235.0,10.0,60.0,160.0,35.0,345.0,130.0,0.0,1655.0,1945.0,90.0,725.0,0.0,0.0,725.0,0.0,0.0,0.0,30.0,850.0,0.0,0.0,525.0,0.0,0.0,15.0,15.0,505.0,1945.0,0.0,0.0,2855.0,0.0,0.0,3135.0,400.0,0.0,0.0,565.0,150.0,0.0,1190.0,0.0,275.0,75.0,1360.0,1330.0,0.0,5290.0,0.0,725.0,135.0,25.0,705.0,65.0,0.0,15.0,25.0,920.0,2575.0,0.0,10.0,0.0,0.0,855.0,135.0,0.0,280.0,125.0,0.0,0.0,5.0,40.0,0.0,875.0,10.0,0.0,1550.0,4805.0,0.0,0.0,385.0,0.0,95.0,145.0,460.0,1945.0,545.0,3735.0,0.0,1295.0,785.0,570.0,205.0,455.0,200.0,0.0,20.0,520.0,0.0,20.0,0.0,10.0,375.0,0.0,0.0,150.0,0.0,1130.0,15.0,0.0,0.0,0.0,0.0,290.0,0.0,705.0,1720.0,0.0,1980.0,5.0,41130.0,125.0,0.0,290.0,0.0,0.0,210.0,0.0,100.0,255.0,175.0,60.0,0.0,0.0,0.0,30.0,60.0,5645.0,180.0,25.0,315.0,0.0,0.0,1080.0,1730.0,10.0,25.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,1975.0,0.0,0.0,0.0,475.0,0.0,0.0,675.0,705.0,260.0,840.0,185.0,365.0,0.0,705.0,1475.0,0.0,2545.0,125.0,0.0,0.0,605.0,0.0,480.0,900.0,1275.0,0.0,4495.0
Dorset and Somerset,UKK2,1290.0,7807000.0,390.0,42.0,21.16,0.0,0.0,915.0,0.0,270.0,1355.0,200.0,220.0,365.0,420.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,35.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,335.0,0.0,0.0,160.0,125.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,465.0,0.0,4820.0,0.0,0.0,0.0,25.0,0.0,140.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,120.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,345.0,0.0,0.0,0.0,490.0,0.0,0.0,365.0,135.0,0.0,95.0,190.0,770.0,0.0,2135.0,0.0,35.0,575.0,0.0,1050.0,45.0,120.0,0.0,330.0,575.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.0,85.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,450.0,0.0,17610.0,495.0,0.0,0.0,0.0,0.0,300.0,0.0,1405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.0,0.0,0.0,0.0,0.0,0.0,780.0,1165.0,300.0,155.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4155.0,0.0,0.0,0.0,200.0,0.0,0.0,35.0,295.0,145.0,0.0,0.0,135.0,0.0,0.0,160.0,0.0,360.0,0.0,0.0,0.0,1330.0,0.0,1735.0,0.0,0.0,0.0,1000.0
East Anglia,UKH1,7920.0,640478000.0,5550.0,475.0,442.57000000000005,65.0,5.0,480.0,75.0,20.0,550.0,300.0,0.0,1435.0,905.0,25.0,0.0,5.0,5.0,640.0,310.0,0.0,45.0,0.0,585.0,50.0,0.0,125.0,10.0,5.0,10.0,0.0,220.0,680.0,0.0,130.0,2380.0,5.0,0.0,3565.0,455.0,0.0,10.0,395.0,0.0,0.0,315.0,0.0,250.0,15.0,2240.0,235.0,0.0,2675.0,5.0,0.0,0.0,40.0,120.0,165.0,690.0,5.0,165.0,1395.0,1205.0,50.0,15.0,470.0,0.0,1175.0,290.0,145.0,120.0,0.0,0.0,55.0,0.0,45.0,10.0,420.0,5.0,0.0,1575.0,4740.0,55.0,0.0,750.0,0.0,70.0,85.0,435.0,1065.0,305.0,4330.0,0.0,775.0,450.0,60.0,175.0,225.0,1605.0,0.0,100.0,125.0,660.0,230.0,0.0,40.0,15.0,0.0,5.0,245.0,50.0,965.0,50.0,0.0,0.0,55.0,160.0,1425.0,0.0,15.0,710.0,20.0,2740.0,0.0,37945.0,0.0,0.0,300.0,105.0,385.0,345.0,25.0,520.0,1065.0,0.0,0.0,5.0,0.0,385.0,490.0,35.0,3675.0,220.0,45.0,0.0,20.0,10.0,620.0,1885.0,10.0,5.0,15.0,0.0,710.0,5.0,385.0,10.0,0.0,2835.0,20.0,15.0,0.0,55.0,15.0,0.0,405.0,490.0,930.0,440.0,505.0,265.0,15.0,85.0,1455.0,200.0,2260.0,5.0,690.0,0.0,80.0,270.0,1360.0,1355.0,680.0,45.0,16450.0
East Wales,UKL2,6250.0,166636000.0,1800.0,496.0,206.58,165.0,210.0,750.0,125.0,505.0,715.0,415.0,90.0,1775.0,1230.0,180.0,185.0,15.0,0.0,380.0,50.0,0.0,125.0,150.0,3340.0,0.0,0.0,25.0,0.0,0.0,90.0,40.0,60.0,640.0,5.0,10.0,2895.0,0.0,0.0,2310.0,1170.0,0.0,0.0,495.0,0.0,0.0,5.0,995.0,585.0,155.0,2235.0,2850.0,25.0,9120.0,15.0,185.0,0.0,15.0,460.0,85.0,0.0,5.0,15.0,745.0,2215.0,0.0,75.0,560.0,0.0,1175.0,0.0,100.0,330.0,300.0,0.0,0.0,115.0,55.0,15.0,1400.0,0.0,0.0,820.0,4840.0,0.0,60.0,135.0,135.0,60.0,205.0,1760.0,2205.0,315.0,5240.0,550.0,450.0,530.0,805.0,570.0,355.0,525.0,0.0,360.0,790.0,0.0,445.0,0.0,40.0,150.0,0.0,5.0,215.0,95.0,2540.0,130.0,0.0,0.0,0.0,45.0,875.0,0.0,970.0,845.0,0.0,1330.0,0.0,54285.0,470.0,15.0,0.0,20.0,0.0,215.0,45.0,1340.0,555.0,80.0,420.0,0.0,0.0,0.0,255.0,135.0,7385.0,215.0,60.0,0.0,0.0,0.0,1350.0,2205.0,795.0,1125.0,35.0,0.0,0.0,0.0,0.0,0.0,50.0,4975.0,30.0,0.0,60.0,465.0,0.0,0.0,40.0,665.0,930.0,1315.0,890.0,1230.0,5.0,260.0,1545.0,380.0,3660.0,185.0,0.0,0.0,900.0,0.0,1615.0,625.0,1625.0,0.0,5480.0
