nuts_name,nuts_code,academic_staff,research_income_(£),research_student_fte,total_number_of_buildings,total_site_area_(hectares),(f5)_astronomy,(q5)_celtic_studies,(r6)_scandinavian_studies,(a4)_clinical_dentistry,(b6)_aural_and_oral_sciences,(w6)_cinematics_and_photography,(b0)_broadly-based_programmes_within_subjects_allied_to_medicine,"(t9)_others_in_eastern,_asiatic,_african,_american_and_australasian_languages,_literature_and_related_subjects",(w5)_dance,(l9)_others_in_social_studies,(i5)_health_informatics,(n2)_management_studies,(g1)_mathematics,"(r9)_others_in_european_languages,_literature_and_related_subjects",(l0)_broadly-based_programmes_within_social_studies,(2)_subjects_allied_to_medicine,(h9)_others_in_engineering,(r2)_german_studies,(i2)_information_systems,(v6)_theology_and_religious_studies,(w3)_music,(k1)_architecture,(l6)_anthropology,(h3)_mechanical_engineering,(v3)_history_by_topic,(g9)_others_in_mathematical_sciences,(l3)_sociology,(h4)_aerospace_engineering,(r1)_french_studies,(t1)_chinese_studies,(w0)_broadly-based_programmes_within_creative_arts_and_design,(c3)_zoology,(i7)_computer_generated_visual_and_audio_effects,(q1)_linguistics,(v0)_broadly-based_programmes_within_historical_and_philosophical_studies,"(a)_architecture,_building_and_planning",(c1)_biology,(h5)_naval_architecture,(c)_law,(j4)_polymers_and_textiles,(n9)_others_in_business_and_administrative_studies,(r3)_italian_studies,(g2)_operational_research,(b4)_nutrition,(x9)_others_in_education,(n5)_marketing,(1)_medicine_and_dentistry,(g3)_statistics,(3)_biological_sciences,(9)_engineering_and_technology,(a3)_clinical_medicine,"(b3)_complementary_medicines,_therapies_and_well-being",(j)_combined,(i3)_software_engineering,(q3)_english_studies,(h6)_electronic_and_electrical_engineering,(q7)_classical_greek_studies,(p2)_publicity_studies,(n6)_human_resource_management,(f3)_physics,(y0)_combined,(r7)_russian_and_east_european_studies,"(d9)_others_in_veterinary_sciences,_agriculture_and_related_subjects",(l4)_social_policy,(x0)_broadly-based_programmes_within_education,(d3)_animal_science,(t6)_modern_middle_eastern_studies,(i4)_artificial_intelligence,(t5)_african_studies,(v2)_history_by_area,total,(j6)_maritime_technology,(e)_mass_communications_and_documentation,(j2)_metallurgy,(c4)_genetics,(r8)_european_studies,(q8)_classical_studies,(5)_agriculture_and_related_subjects,"(c7)_molecular_biology,_biophysics_and_biochemistry",(n0)_broadly-based_programmes_within_business_and_administrative_studies,(h0)_broadly-based_programmes_within_engineering_and_technology,(t2)_japanese_studies,(m2)_law_by_topic,(d6)_food_and_beverage_studies,(m1)_law_by_area,(b5)_ophthalmics,"(b1)_anatomy,_physiology_and_pathology",(d5)_forestry_and_arboriculture,(n4)_accounting,(p3)_media_studies,(f4)_forensic_and_archaeological_sciences,(f2)_materials_science,(c8)_psychology,(w4)_drama,(x2)_research_and_study_skills_in_education,(r4)_spanish_studies,(p1)_information_services,(f7)_science_of_aquatic_and_terrestrial_environments,(h1)_general_engineering,(l8)_development_studies,(x1)_training_teachers,(f8)_physical_geographical_sciences,(b8)_medical_technology,(m9)_others_in_law,(p5)_journalism,(j7)_biotechnology,(v5)_philosophy,(k2)_building,(7)_mathematical_sciences,(d)_business_and_administrative_studies,(l5)_social_work,(i6)_games,"(n8)_hospitality,_leisure,_sport,_tourism_and_transport",(q6)_latin_studies,(t7)_american_studies,(r5)_portuguese_studies,(b)_social_studies,(x3)_academic_studies_in_education,(l2)_politics,(d7)_agricultural_sciences,(8)_computer_science,(p9)_others_in_mass_communications_and_documentation,(j3)_ceramics_and_glass,"(k4)_planning_(urban,_rural_and_regional)",(v4)_archaeology,(p0)_broadly-based_programmes_within_mass_communications_and_documentation,"(k9)_others_in_architecture,_building_and_planning",(m0)_broadly-based_programmes_within_law,(f1)_chemistry,(n1)_business_studies,(n3)_finance,(q0)_broadly-based_programmes_within_languages,(w7)_crafts,(h2)_civil_engineering,(h7)_production_and_manufacturing_engineering,(i1)_computer_science,(a9)_others_in_medicine_and_dentistry,(4)_veterinary_science,(a1)_pre-clinical_medicine,(q4)_ancient_language_studies,(t4)_other_asian_studies,"(h8)_chemical,_process_and_energy_engineering",(c2)_botany,"(b2)_pharmacology,_toxicology_and_pharmacy",(t8)_australasian_studies,(a2)_pre-clinical_dentistry,(w9)_others_in_creative_arts_and_design,(6)_physical_sciences,(i)_education,(v1)_history_by_period,(c9)_others_in_biological_sciences,(k3)_landscape_and_garden_design,(c5)_microbiology,(t3)_south_asian_studies,"(k0)_broadly-based_programmes_within_architecture,_building_and_planning","(q9)_others_in_linguistics,_classics_and_related_subjects",(f)_languages,(f9)_others_in_physical_sciences,(d4)_agriculture,(w8)_imaginative_writing,(c0)_broadly-based_programmes_within_biological_sciences,(c6)_sport_and_exercise_science,(b7)_nursing,(w1)_fine_art,(p4)_publishing,(j9)_others_in_technology,(b9)_others_in_subjects_allied_to_medicine,(j5)_materials_technology_not_otherwise_specified,(w2)_design_studies,(h)_creative_arts_and_design,(g)_historical_and_philosophical_studies,(v9)_others_in_historical_and_philosophical_studies,(v7)_heritage_studies,(d2)_clinical_veterinary_medicine_and_dentistry,(j1)_minerals_technology,(f0)_broadly-based_programmes_within_physical_sciences,(q2)_comparative_literary_studies,(l7)_human_and_social_geography,(f6)_geology,(i9)_others_in_computer_sciences,(d1)_pre-clinical_veterinary_medicine,(l1)_economics,postgrad_research
Bedfordshire and Hertfordshire,UKH2,3200.0,66830000.0,1270.0,407.0,385.078,95.0,0.0,0.0,0.0,0.0,940.0,0.0,10.0,85.0,15.0,20.0,750.0,215.0,10.0,0.0,5025.0,0.0,0.0,85.0,0.0,375.0,130.0,0.0,725.0,0.0,0.0,405.0,1215.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,180.0,350.0,0.0,1515.0,0.0,85.0,0.0,5.0,150.0,25.0,500.0,0.0,0.0,2845.0,2970.0,0.0,5.0,145.0,0.0,230.0,210.0,0.0,10.0,195.0,90.0,145.0,0.0,0.0,875.0,0.0,30.0,0.0,0.0,0.0,0.0,29885.0,0.0,490.0,0.0,0.0,0.0,0.0,150.0,70.0,115.0,0.0,0.0,330.0,65.0,115.0,125.0,140.0,0.0,515.0,230.0,115.0,0.0,1125.0,140.0,0.0,0.0,0.0,105.0,300.0,0.0,775.0,135.0,450.0,0.0,110.0,10.0,95.0,40.0,220.0,6720.0,545.0,90.0,500.0,0.0,0.0,0.0,2255.0,775.0,75.0,0.0,1855.0,135.0,0.0,15.0,0.0,0.0,0.0,1065.0,0.0,3490.0,575.0,0.0,0.0,175.0,300.0,1665.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,675.0,0.0,0.0,30.0,545.0,1575.0,120.0,40.0,0.0,10.0,0.0,0.0,0.0,375.0,5.0,50.0,60.0,0.0,1250.0,2525.0,125.0,0.0,0.0,955.0,10.0,1055.0,2815.0,215.0,0.0,0.0,0.0,0.0,0.0,5.0,45.0,0.0,0.0,0.0,295.0,2690.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,15410.0,811415000.0,5525.0,665.0,801.3190000000001,70.0,0.0,0.0,0.0,170.0,250.0,0.0,115.0,80.0,65.0,0.0,3875.0,1545.0,140.0,0.0,5640.0,0.0,225.0,90.0,390.0,370.0,790.0,480.0,565.0,345.0,0.0,465.0,0.0,475.0,90.0,0.0,370.0,15.0,285.0,0.0,2125.0,1025.0,0.0,2880.0,30.0,50.0,130.0,0.0,190.0,80.0,1115.0,1765.0,180.0,5485.0,2010.0,910.0,70.0,125.0,50.0,2165.0,80.0,30.0,0.0,45.0,895.0,125.0,75.0,0.0,370.0,0.0,160.0,100.0,5.0,10.0,165.0,58620.0,0.0,965.0,55.0,30.0,5.0,555.0,755.0,1080.0,0.0,0.0,190.0,1115.0,335.0,910.0,0.0,880.0,0.0,825.0,660.0,50.0,205.0,1785.0,220.0,0.0,245.0,70.0,370.0,1125.0,175.0,2020.0,575.0,0.0,0.0,70.0,0.0,1075.0,680.0,1730.0,9865.0,345.0,0.0,1480.0,30.0,0.0,30.0,5665.0,915.0,1425.0,0.0,1765.0,0.0,0.0,575.0,325.0,0.0,75.0,860.0,1385.0,1365.0,1100.0,0.0,0.0,15.0,40.0,1595.0,60.0,0.0,795.0,35.0,20.0,5.0,65.0,580.0,0.0,0.0,85.0,3755.0,3020.0,1845.0,35.0,0.0,60.0,25.0,5.0,0.0,4990.0,0.0,250.0,40.0,0.0,1035.0,3135.0,450.0,165.0,100.0,615.0,0.0,430.0,1930.0,4155.0,5.0,0.0,0.0,0.0,0.0,0.0,580.0,190.0,10.0,0.0,1740.0,17250.0
Cheshire,UKD6,620.0,3889000.0,215.0,213.0,73.61,0.0,0.0,0.0,0.0,0.0,95.0,5.0,0.0,65.0,0.0,0.0,170.0,135.0,20.0,0.0,2070.0,0.0,20.0,55.0,125.0,180.0,0.0,0.0,60.0,5.0,0.0,365.0,0.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,440.0,0.0,0.0,0.0,0.0,220.0,30.0,140.0,0.0,0.0,1435.0,225.0,0.0,0.0,0.0,20.0,360.0,30.0,0.0,20.0,0.0,15.0,0.0,0.0,0.0,175.0,0.0,510.0,0.0,0.0,0.0,0.0,10915.0,0.0,295.0,0.0,25.0,0.0,0.0,645.0,15.0,0.0,5.0,0.0,0.0,45.0,5.0,0.0,0.0,0.0,220.0,115.0,0.0,0.0,730.0,135.0,0.0,100.0,5.0,0.0,0.0,0.0,615.0,220.0,0.0,0.0,155.0,5.0,0.0,0.0,135.0,1415.0,195.0,60.0,285.0,0.0,10.0,0.0,950.0,265.0,130.0,0.0,265.0,0.0,0.0,0.0,95.0,0.0,0.0,440.0,10.0,550.0,50.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,240.0,915.0,275.0,0.0,0.0,5.0,0.0,0.0,0.0,580.0,0.0,90.0,45.0,0.0,415.0,1495.0,75.0,0.0,0.0,350.0,0.0,215.0,805.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,45.0,275.0
Cornwall and Isles of Scilly,UKK3,295.0,1303000.0,20.0,85.0,22.256,0.0,0.0,0.0,0.0,0.0,1070.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5690.0,0.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,435.0,0.0,360.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,170.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,1395.0,3995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Cumbria,UKD1,465.0,806000.0,45.0,98.0,33.918,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,25.0,120.0,0.0,75.0,0.0,0.0,0.0,1345.0,0.0,0.0,0.0,125.0,85.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5220.0,0.0,75.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,110.0,45.0,0.0,75.0,40.0,0.0,115.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,185.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,310.0,0.0,15.0,0.0,0.0,0.0,485.0,215.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,1350.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,120.0,10.0,0.0,205.0,720.0,50.0,0.0,0.0,300.0,0.0,170.0,605.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Derbyshire and Nottinghamshire,UKF1,6845.0,184596000.0,3230.0,519.0,538.105,55.0,0.0,0.0,0.0,0.0,885.0,0.0,0.0,50.0,45.0,0.0,3020.0,1470.0,350.0,0.0,5950.0,15.0,110.0,210.0,160.0,285.0,1305.0,910.0,1315.0,85.0,40.0,1230.0,135.0,205.0,215.0,0.0,305.0,50.0,150.0,0.0,2335.0,1130.0,0.0,3450.0,0.0,5.0,25.0,125.0,340.0,10.0,1180.0,2035.0,30.0,7025.0,4985.0,1065.0,0.0,230.0,110.0,1245.0,780.0,0.0,0.0,250.0,1020.0,230.0,45.0,170.0,235.0,0.0,795.0,0.0,55.0,0.0,0.0,70050.0,0.0,1660.0,5.0,125.0,85.0,145.0,1385.0,550.0,0.0,0.0,0.0,410.0,180.0,3040.0,0.0,725.0,0.0,1205.0,875.0,435.0,15.0,2915.0,445.0,15.0,260.0,15.0,215.0,395.0,5.0,1565.0,505.0,150.0,5.0,525.0,150.0,555.0,1015.0,1665.0,9540.0,1260.0,285.0,595.0,0.0,345.0,5.0,7335.0,1935.0,1505.0,10.0,2620.0,215.0,0.0,5.0,100.0,0.0,0.0,0.0,1200.0,2625.0,670.0,0.0,110.0,940.0,290.0,1880.0,0.0,765.0,970.0,0.0,0.0,665.0,40.0,1155.0,0.0,0.0,0.0,3635.0,3520.0,1510.0,255.0,0.0,295.0,0.0,0.0,45.0,3295.0,10.0,235.0,165.0,15.0,1400.0,2760.0,340.0,35.0,265.0,815.0,25.0,3850.0,6130.0,2485.0,60.0,15.0,710.0,0.0,15.0,65.0,420.0,175.0,35.0,55.0,1730.0,9325.0
Devon,UKK4,3645.0,121483000.0,1680.0,368.0,140.24,0.0,0.0,0.0,0.0,155.0,425.0,0.0,0.0,40.0,0.0,0.0,1995.0,1050.0,710.0,0.0,4240.0,0.0,15.0,0.0,180.0,530.0,290.0,595.0,835.0,1060.0,0.0,365.0,0.0,85.0,0.0,0.0,340.0,0.0,0.0,0.0,465.0,2070.0,0.0,1660.0,0.0,0.0,5.0,0.0,135.0,0.0,365.0,1460.0,15.0,5610.0,2530.0,745.0,140.0,580.0,0.0,1360.0,495.0,0.0,0.0,30.0,620.0,580.0,10.0,0.0,15.0,0.0,180.0,175.0,0.0,0.0,0.0,41740.0,210.0,185.0,0.0,0.0,0.0,265.0,195.0,25.0,0.0,0.0,0.0,445.0,0.0,1215.0,190.0,570.0,0.0,830.0,105.0,15.0,0.0,2030.0,610.0,0.0,75.0,0.0,730.0,205.0,0.0,1635.0,770.0,180.0,0.0,55.0,5.0,210.0,175.0,1065.0,5065.0,295.0,115.0,540.0,0.0,0.0,0.0,4955.0,665.0,1600.0,0.0,1180.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,175.0,745.0,560.0,0.0,0.0,575.0,75.0,1065.0,20.0,0.0,410.0,0.0,0.0,0.0,0.0,5.0,0.0,285.0,0.0,2900.0,2300.0,265.0,0.0,0.0,0.0,0.0,0.0,575.0,3275.0,0.0,10.0,55.0,0.0,1135.0,1875.0,95.0,25.0,0.0,990.0,0.0,445.0,2210.0,1870.0,5.0,0.0,0.0,135.0,0.0,0.0,580.0,580.0,0.0,0.0,1510.0,4785.0
Dorset and Somerset,UKK2,1350.0,8314000.0,375.0,40.0,22.310000000000002,0.0,0.0,0.0,0.0,0.0,1535.0,0.0,0.0,45.0,0.0,0.0,445.0,0.0,0.0,0.0,2030.0,0.0,0.0,40.0,0.0,25.0,110.0,100.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,110.0,150.0,0.0,295.0,0.0,0.0,0.0,0.0,125.0,0.0,970.0,0.0,0.0,1835.0,400.0,0.0,165.0,0.0,0.0,170.0,115.0,0.0,140.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18455.0,0.0,1585.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,290.0,0.0,5.0,0.0,85.0,0.0,385.0,1200.0,345.0,0.0,955.0,590.0,10.0,0.0,0.0,45.0,160.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,280.0,0.0,0.0,4785.0,165.0,330.0,1245.0,0.0,0.0,0.0,640.0,0.0,40.0,0.0,1435.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,1115.0,590.0,0.0,0.0,0.0,0.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,390.0,10.0,95.0,165.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,15.0,150.0,0.0,565.0,1325.0,235.0,5.0,125.0,325.0,0.0,1725.0,4300.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,10.0,840.0
East Anglia,UKH1,8540.0,709098000.0,5395.0,484.0,331.64000000000004,50.0,50.0,0.0,0.0,80.0,590.0,700.0,15.0,0.0,160.0,0.0,1345.0,1365.0,155.0,0.0,4605.0,0.0,10.0,265.0,255.0,240.0,275.0,245.0,10.0,325.0,0.0,840.0,0.0,15.0,0.0,10.0,35.0,40.0,180.0,0.0,485.0,785.0,0.0,1580.0,0.0,5.0,10.0,0.0,60.0,30.0,215.0,2330.0,40.0,4240.0,2370.0,1275.0,0.0,0.0,40.0,1560.0,40.0,25.0,0.0,50.0,360.0,0.0,5.0,20.0,40.0,0.0,80.0,0.0,15.0,10.0,115.0,41065.0,0.0,605.0,45.0,165.0,675.0,315.0,170.0,530.0,0.0,0.0,5.0,900.0,0.0,675.0,0.0,410.0,0.0,470.0,575.0,5.0,50.0,1380.0,125.0,15.0,5.0,0.0,390.0,1720.0,0.0,635.0,95.0,240.0,5.0,20.0,40.0,380.0,5.0,1405.0,3325.0,345.0,130.0,55.0,25.0,245.0,5.0,5035.0,600.0,960.0,0.0,1250.0,10.0,0.0,200.0,315.0,0.0,0.0,0.0,485.0,710.0,470.0,45.0,0.0,55.0,60.0,750.0,0.0,360.0,1055.0,50.0,45.0,400.0,45.0,455.0,0.0,0.0,40.0,2385.0,1275.0,1680.0,5.0,5.0,295.0,10.0,0.0,210.0,3670.0,135.0,65.0,200.0,680.0,325.0,2010.0,280.0,0.0,0.0,650.0,0.0,1410.0,2900.0,3080.0,5.0,0.0,360.0,0.0,680.0,0.0,730.0,130.0,0.0,0.0,1725.0,16255.0
East Wales,UKL2,4465.0,143736000.0,1655.0,375.0,153.69,120.0,115.0,0.0,355.0,105.0,70.0,0.0,0.0,15.0,10.0,5.0,305.0,495.0,40.0,0.0,4270.0,0.0,80.0,65.0,155.0,285.0,660.0,160.0,645.0,5.0,15.0,960.0,45.0,145.0,10.0,0.0,45.0,0.0,65.0,0.0,1135.0,115.0,0.0,1215.0,0.0,0.0,55.0,60.0,190.0,20.0,265.0,2180.0,40.0,5495.0,2120.0,1135.0,105.0,5.0,135.0,1170.0,255.0,0.0,20.0,5.0,320.0,5.0,0.0,0.0,30.0,35.0,75.0,0.0,5.0,0.0,15.0,37095.0,0.0,945.0,0.0,50.0,0.0,0.0,165.0,260.0,20.0,0.0,30.0,35.0,80.0,1180.0,315.0,680.0,0.0,925.0,405.0,270.0,0.0,1640.0,45.0,0.0,135.0,0.0,15.0,460.0,0.0,550.0,185.0,345.0,0.0,530.0,15.0,230.0,60.0,610.0,5185.0,675.0,105.0,590.0,0.0,0.0,10.0,3810.0,980.0,620.0,0.0,1415.0,0.0,50.0,420.0,0.0,0.0,0.0,0.0,810.0,2545.0,535.0,0.0,40.0,535.0,115.0,1100.0,20.0,0.0,595.0,0.0,0.0,0.0,0.0,585.0,0.0,75.0,10.0,2095.0,1590.0,820.0,1410.0,0.0,30.0,0.0,0.0,110.0,1965.0,0.0,10.0,65.0,0.0,1950.0,1195.0,295.0,0.0,0.0,750.0,0.0,830.0,1655.0,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,380.0,0.0,0.0,915.0,4760.0
