year,nuts_id,nuts_year_spec,area_university_site
2015,UKH2,2016,385.4
2015,UKJ1,2016,341.8
2015,UKD6,2016,76.13
2015,UKK3,2016,23.25
2015,UKD1,2016,37.06
2015,UKF1,2016,536.83
2015,UKK4,2016,140.18
2015,UKK2,2016,21.16
2015,UKH1,2016,442.57
2015,UKL2,2016,157.58
2015,UKE1,2016,116.0
2015,UKM7,2016,702.69
2015,UKH3,2016,354.34
2015,UKK1,2016,558.51
2015,UKD3,2016,262.9
2015,UKJ3,2016,152.62
2015,UKG1,2016,86.21
2015,UKM6,2016,98.01
2015,UKI4,2016,78.56
2015,UKI3,2016,550.75
2015,UKJ4,2016,147.95
2015,UKD4,2016,265.05
2015,UKF2,2016,269.45
2015,UKF3,2016,455.46
2015,UKD7,2016,287.4
2015,UKM5,2016,145.72
2015,UKE2,2016,229.48
2015,UKN0,2016,272.4
2015,UKC2,2016,710.57
2015,UKI5,2016,49.0
2015,UKI6,2016,50.92
2015,UKI7,2016,108.97
2015,UKG2,2016,411.4
2015,UKE3,2016,143.67
2015,UKJ2,2016,380.5
2015,UKC1,2016,240.51
2015,UKM8,2016,368.28
2015,UKG3,2016,468.03
2015,UKL1,2016,648.46
2015,UKE4,2016,261.14
2016,UKH2,2016,385.13
2016,UKJ1,2016,722.01
2016,UKD6,2016,73.61
2016,UKK3,2016,22.26
2016,UKD1,2016,37.1
2016,UKF1,2016,537.83
2016,UKK4,2016,140.18
2016,UKK2,2016,22.86
2016,UKH1,2016,317.57
2016,UKL2,2016,157.72
2016,UKE1,2016,90.34
2016,UKM7,2016,718.4
2016,UKH3,2016,354.36
2016,UKK1,2016,523.57
2016,UKD3,2016,263.71
2016,UKJ3,2016,144.0
2016,UKG1,2016,86.21
2016,UKM6,2016,143.0
2016,UKI4,2016,78.4
2016,UKI3,2016,4065.91
2016,UKJ4,2016,152.7
2016,UKD4,2016,265.13
2016,UKF2,2016,277.99
2016,UKF3,2016,264.92
2016,UKD7,2016,287.83
2016,UKM5,2016,138.27
2016,UKE2,2016,229.48
2016,UKN0,2016,261.63
2016,UKC2,2016,705.07
2016,UKI5,2016,49.0
2016,UKI6,2016,50.92
2016,UKI7,2016,108.95
2016,UKG2,2016,405.4
2016,UKE3,2016,166.59
2016,UKJ2,2016,344.24
2016,UKC1,2016,240.51
2016,UKM8,2016,367.62
2016,UKG3,2016,734.23
2016,UKL1,2016,631.25
2016,UKE4,2016,273.27
2017,UKH2,2016,385.08
2017,UKJ1,2016,801.32
2017,UKD6,2016,73.61
2017,UKK3,2016,22.26
2017,UKD1,2016,33.92
2017,UKF1,2016,538.1
2017,UKK4,2016,140.24
2017,UKK2,2016,22.31
2017,UKH1,2016,331.64
2017,UKL2,2016,153.69
2017,UKE1,2016,90.34
2017,UKM7,2016,718.4
2017,UKH3,2016,134.36
2017,UKK1,2016,492.51
2017,UKD3,2016,262.15
2017,UKJ3,2016,143.03
2017,UKG1,2016,86.4
2017,UKM6,2016,144.02
2017,UKI4,2016,78.2
2017,UKI3,2016,526.63
2017,UKJ4,2016,152.0
2017,UKD4,2016,270.14
2017,UKF2,2016,278.58
2017,UKF3,2016,264.92
2017,UKD7,2016,290.72
2017,UKM5,2016,138.27
2017,UKE2,2016,229.48
2017,UKN0,2016,261.73
2017,UKC2,2016,706.92
2017,UKI5,2016,49.0
2017,UKI6,2016,50.92
2017,UKI7,2016,228.43
2017,UKG2,2016,405.4
2017,UKE3,2016,174.82
2017,UKJ2,2016,346.85
2017,UKC1,2016,298.51
2017,UKM8,2016,367.62
2017,UKG3,2016,726.68
2017,UKL1,2016,645.37
2017,UKE4,2016,238.43
