year,nuts_id,nuts_year_spec,fte_research_students
2015/16,UKH2,2018,1305.0
2016/17,UKH2,2018,1280.0
2017/18,UKH2,2018,1270.0
2015/16,UKJ1,2018,6210.0
2016/17,UKJ1,2018,6150.0
2017/18,UKJ1,2018,5525.0
2015/16,UKD6,2018,210.0
2016/17,UKD6,2018,230.0
2017/18,UKD6,2018,215.0
2015/16,UKK3,2018,20.0
2016/17,UKK3,2018,15.0
2017/18,UKK3,2018,20.0
2015/16,UKD1,2018,50.0
2016/17,UKD1,2018,45.0
2017/18,UKD1,2018,45.0
2015/16,UKF1,2018,3215.0
2016/17,UKF1,2018,3200.0
2017/18,UKF1,2018,3230.0
2015/16,UKK4,2018,1645.0
2016/17,UKK4,2018,1625.0
2017/18,UKK4,2018,1680.0
2015/16,UKK2,2018,390.0
2016/17,UKK2,2018,420.0
2017/18,UKK2,2018,375.0
2015/16,UKH1,2018,5550.0
2016/17,UKH1,2018,5470.0
2017/18,UKH1,2018,5395.0
2015/16,UKL2,2018,1605.0
2016/17,UKL2,2018,1635.0
2017/18,UKL2,2018,1655.0
2015/16,UKE1,2018,690.0
2016/17,UKE1,2018,640.0
2017/18,UKE1,2018,520.0
2015/16,UKM7,2018,5515.0
2016/17,UKM7,2018,5455.0
2017/18,UKM7,2018,5455.0
2015/16,UKH3,2018,985.0
2016/17,UKH3,2018,880.0
2017/18,UKH3,2018,905.0
2015/16,UKK1,2018,3115.0
2016/17,UKK1,2018,3225.0
2017/18,UKK1,2018,3325.0
2015/16,UKD3,2018,4205.0
2016/17,UKD3,2018,4300.0
2017/18,UKD3,2018,4385.0
2015/16,UKJ3,2018,2890.0
2016/17,UKJ3,2018,2795.0
2017/18,UKJ3,2018,2610.0
2015/16,UKG1,2018,75.0
2016/17,UKG1,2018,80.0
2017/18,UKG1,2018,75.0
2015/16,UKM6,2018,50.0
2016/17,UKM6,2018,70.0
2017/18,UKM6,2018,105.0
2015/16,UKI4,2018,2270.0
2016/17,UKI4,2018,2250.0
2017/18,UKI4,2018,2175.0
2015/16,UKI3,2018,12965.0
2016/17,UKI3,2018,12860.0
2017/18,UKI3,2018,12820.0
2015/16,UKJ4,2018,1325.0
2016/17,UKJ4,2018,1365.0
2017/18,UKJ4,2018,1350.0
2015/16,UKD4,2018,1730.0
2016/17,UKD4,2018,1680.0
2017/18,UKD4,2018,1730.0
2015/16,UKF2,2018,2560.0
2016/17,UKF2,2018,2370.0
2017/18,UKF2,2018,2230.0
2015/16,UKF3,2018,355.0
2016/17,UKF3,2018,330.0
2017/18,UKF3,2018,350.0
2015/16,UKD7,2018,1980.0
2016/17,UKD7,2018,2090.0
2017/18,UKD7,2018,2100.0
2015/16,UKM5,2018,1030.0
2016/17,UKM5,2018,1015.0
2017/18,UKM5,2018,1005.0
2015/16,UKE2,2018,1245.0
2016/17,UKE2,2018,1240.0
2017/18,UKE2,2018,1240.0
2015/16,UKN0,2018,1765.0
2016/17,UKN0,2018,1770.0
2017/18,UKN0,2018,1820.0
2015/16,UKC2,2018,2335.0
2016/17,UKC2,2018,2390.0
2017/18,UKC2,2018,2390.0
2015/16,UKI5,2018,350.0
2016/17,UKI5,2018,330.0
2017/18,UKI5,2018,295.0
2015/16,UKI6,2018,320.0
2016/17,UKI6,2018,335.0
2017/18,UKI6,2018,300.0
2015/16,UKI7,2018,1005.0
2016/17,UKI7,2018,870.0
2017/18,UKI7,2018,800.0
2015/16,UKG2,2018,510.0
2016/17,UKG2,2018,510.0
2017/18,UKG2,2018,465.0
2015/16,UKE3,2018,2600.0
2016/17,UKE3,2018,2515.0
2017/18,UKE3,2018,2445.0
2015/16,UKJ2,2018,2725.0
2016/17,UKJ2,2018,2580.0
2017/18,UKJ2,2018,2435.0
2015/16,UKC1,2018,1355.0
2016/17,UKC1,2018,1335.0
2017/18,UKC1,2018,1360.0
2015/16,UKM8,2018,4025.0
2016/17,UKM8,2018,4120.0
2017/18,UKM8,2018,4220.0
2015/16,UKG3,2018,4775.0
2016/17,UKG3,2018,4765.0
2017/18,UKG3,2018,4880.0
2015/16,UKL1,2018,1625.0
2016/17,UKL1,2018,1705.0
2017/18,UKL1,2018,1705.0
2015/16,UKE4,2018,3565.0
2016/17,UKE4,2018,3515.0
2017/18,UKE4,2018,3545.0
