,NUTS218CD,NUTS218NM,year,total_sales
0,UKC1,Tees Valley and Durham,2010,1363529017.4740002
1,UKC1,Tees Valley and Durham,2011,1348964327.89722
2,UKC1,Tees Valley and Durham,2012,1287329171.42562
3,UKC1,Tees Valley and Durham,2013,1486504411.24478
4,UKC1,Tees Valley and Durham,2014,1826038702.58524
5,UKC1,Tees Valley and Durham,2015,1899916449.12376
6,UKC1,Tees Valley and Durham,2016,1949894804.8537598
7,UKC1,Tees Valley and Durham,2017,2095281537.1656802
8,UKC1,Tees Valley and Durham,2018,2089356022.33093
10,UKC2,Northumberland and Tyne and Wear,2010,1795702215.0947998
11,UKC2,Northumberland and Tyne and Wear,2011,1814135348.6128001
12,UKC2,Northumberland and Tyne and Wear,2012,1778423556.4622
13,UKC2,Northumberland and Tyne and Wear,2013,2097625155.3946002
14,UKC2,Northumberland and Tyne and Wear,2014,2681172495.7654
15,UKC2,Northumberland and Tyne and Wear,2015,2752895659.5850997
16,UKC2,Northumberland and Tyne and Wear,2016,2902781147.6596
17,UKC2,Northumberland and Tyne and Wear,2017,3096718143.0716996
18,UKC2,Northumberland and Tyne and Wear,2018,3089875341.8502703
20,UKD1,Cumbria,2010,913033678.80384
21,UKD1,Cumbria,2011,873839964.40468
22,UKD1,Cumbria,2012,844732969.19543
23,UKD1,Cumbria,2013,1003232897.75965
24,UKD1,Cumbria,2014,1200702114.1348
25,UKD1,Cumbria,2015,1307217043.0424
26,UKD1,Cumbria,2016,1307687697.878
27,UKD1,Cumbria,2017,1434253739.4933
28,UKD1,Cumbria,2018,1443408525.12193
30,UKD3,Greater Manchester,2010,3365208693.0921
31,UKD3,Greater Manchester,2011,3250451638.6973
32,UKD3,Greater Manchester,2012,3212822023.836
33,UKD3,Greater Manchester,2013,3934232755.3952007
34,UKD3,Greater Manchester,2014,5253682419.340301
35,UKD3,Greater Manchester,2015,5814743730.009601
36,UKD3,Greater Manchester,2016,6506595707.0748005
37,UKD3,Greater Manchester,2017,6932620405.551799
38,UKD3,Greater Manchester,2018,7136323301.60141
40,UKD4,Lancashire,2010,2075465897.83559
41,UKD4,Lancashire,2011,1986297899.06948
42,UKD4,Lancashire,2012,1900604180.6789303
