,nuts_name,nuts_code,variable,period,population_estimate,inflow,outflow,net
0,Bedfordshire and Hertfordshire,UKH2,internal_migration,2008,1697185,83310,81014,0.0013528283599018374
1,Bedfordshire and Hertfordshire,UKH2,internal_migration,2009,1716219,88586,86057,0.001473588160951487
2,Bedfordshire and Hertfordshire,UKH2,internal_migration,2010,1736949,88764,84266,0.0025895981977594046
3,Bedfordshire and Hertfordshire,UKH2,internal_migration,2011,1753749,96082,92048,0.002300215139110557
4,Bedfordshire and Hertfordshire,UKH2,internal_migration,2012,1773368,96338,90222,0.003448804760207695
5,Bedfordshire and Hertfordshire,UKH2,internal_migration,2013,1796213,101369,97087,0.0023839043587815033
6,Bedfordshire and Hertfordshire,UKH2,internal_migration,2014,1817710,101181,98195,0.0016427262874715988
7,Bedfordshire and Hertfordshire,UKH2,internal_migration,2015,1837845,100392,99022,0.0007454382714537951
8,Bedfordshire and Hertfordshire,UKH2,internal_migration,2016,1845534,107906,114542,-0.0035957072587121126
9,Bedfordshire and Hertfordshire,UKH2,internal_migration,2017,1853703,109121,113766,-0.0025057951570451147
10,Bedfordshire and Hertfordshire,UKH2,international_migration,2008,1697185,16391,10335,0.00356826156252854
11,Bedfordshire and Hertfordshire,UKH2,international_migration,2009,1716219,16341,8135,0.004781441063174338
12,Bedfordshire and Hertfordshire,UKH2,international_migration,2010,1736949,15660,8504,0.0041198676529938414
13,Bedfordshire and Hertfordshire,UKH2,international_migration,2011,1753749,12205,9903,0.0013126165716986866
14,Bedfordshire and Hertfordshire,UKH2,international_migration,2012,1773368,12062,7818,0.0023931862986137113
15,Bedfordshire and Hertfordshire,UKH2,international_migration,2013,1796213,14402,6339,0.004488888567224489
16,Bedfordshire and Hertfordshire,UKH2,international_migration,2014,1817710,16180,6346,0.005410103921967751
17,Bedfordshire and Hertfordshire,UKH2,international_migration,2015,1837845,17204,8445,0.004765907897564811
18,Bedfordshire and Hertfordshire,UKH2,international_migration,2016,1845534,14650,8947,0.003090162522066784
19,Bedfordshire and Hertfordshire,UKH2,international_migration,2017,1853703,15907,10614,0.0028553657193196537
20,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,internal_migration,2008,2230698,124817,124781,1.6138446351769714e-05
21,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,internal_migration,2009,2254528,128667,129137,-0.00020846935589178756
22,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,internal_migration,2010,2275173,125787,126645,-0.00037711417988873814
23,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,internal_migration,2011,2294573,132087,131234,0.00037174672586141297
24,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,internal_migration,2012,2314117,132636,130041,0.0011213780461402773
