year,lep_id,lep_year_spec,aps_econ_active_stem_associate_profs_data
2010,E37000001,2021,6100.0
2011,E37000001,2021,7500.0
2012,E37000001,2021,7000.0
2013,E37000001,2021,6700.0
2014,E37000001,2021,8100.0
2015,E37000001,2021,6800.0
2016,E37000001,2021,7100.0
2017,E37000001,2021,11400.0
2018,E37000001,2021,9900.0
2019,E37000001,2021,11000.0
2010,E37000003,2021,8100.0
2011,E37000003,2021,9100.0
2012,E37000003,2021,12100.0
2013,E37000003,2021,8900.0
2014,E37000003,2021,6500.0
2015,E37000003,2021,8200.0
2016,E37000003,2021,8400.0
2017,E37000003,2021,9300.0
2018,E37000003,2021,9000.0
2019,E37000003,2021,8100.0
2010,E37000005,2021,3400.0
2011,E37000005,2021,3700.0
2012,E37000005,2021,4400.0
2013,E37000005,2021,2500.0
2014,E37000005,2021,3500.0
2015,E37000005,2021,3100.0
2016,E37000005,2021,5300.0
2017,E37000005,2021,4700.0
2018,E37000005,2021,4100.0
2019,E37000005,2021,3100.0
2010,E37000006,2021,6700.0
2011,E37000006,2021,6600.0
2012,E37000006,2021,9100.0
2013,E37000006,2021,6000.0
2014,E37000006,2021,6400.0
2015,E37000006,2021,7200.0
2016,E37000006,2021,9700.0
2017,E37000006,2021,9600.0
2018,E37000006,2021,10000.0
2019,E37000006,2021,12200.0
2010,E37000007,2021,5500.0
2011,E37000007,2021,5100.0
2012,E37000007,2021,5000.0
2013,E37000007,2021,4700.0
2014,E37000007,2021,6700.0
2015,E37000007,2021,5600.0
2016,E37000007,2021,5600.0
2017,E37000007,2021,5300.0
2018,E37000007,2021,5000.0
2019,E37000007,2021,3600.0
2010,E37000009,2021,3800.0
2011,E37000009,2021,3800.0
2012,E37000009,2021,6100.0
2013,E37000009,2021,8200.0
2014,E37000009,2021,6200.0
2015,E37000009,2021,6800.0
2016,E37000009,2021,4500.0
2017,E37000009,2021,9900.0
2018,E37000009,2021,6700.0
2019,E37000009,2021,5100.0
2010,E37000011,2021,7000.0
2011,E37000011,2021,4300.0
2012,E37000011,2021,5500.0
2013,E37000011,2021,7500.0
2014,E37000011,2021,5700.0
2015,E37000011,2021,3200.0
2016,E37000011,2021,5500.0
2017,E37000011,2021,6900.0
2018,E37000011,2021,7100.0
2019,E37000011,2021,6900.0
2010,E37000012,2021,14200.0
2011,E37000012,2021,14800.0
2012,E37000012,2021,17000.0
2013,E37000012,2021,10100.0
2014,E37000012,2021,16000.0
2015,E37000012,2021,9800.0
2016,E37000012,2021,15600.0
2017,E37000012,2021,17900.0
2018,E37000012,2021,15800.0
2019,E37000012,2021,20500.0
2010,E37000014,2021,9800.0
2011,E37000014,2021,8800.0
2012,E37000014,2021,7800.0
2013,E37000014,2021,9700.0
2014,E37000014,2021,7800.0
2015,E37000014,2021,5000.0
2016,E37000014,2021,7000.0
2017,E37000014,2021,7000.0
2018,E37000014,2021,11000.0
2019,E37000014,2021,8400.0
2010,E37000015,2021,19200.0
2011,E37000015,2021,18300.0
2012,E37000015,2021,19800.0
2013,E37000015,2021,19500.0
2014,E37000015,2021,18000.0
2015,E37000015,2021,17900.0
2016,E37000015,2021,21200.0
2017,E37000015,2021,24200.0
2018,E37000015,2021,25600.0
2019,E37000015,2021,23200.0
2010,E37000016,2021,12800.0
2011,E37000016,2021,12300.0
2012,E37000016,2021,15200.0
2013,E37000016,2021,12700.0
2014,E37000016,2021,12800.0
2015,E37000016,2021,19200.0
2016,E37000016,2021,16400.0
2017,E37000016,2021,15400.0
2018,E37000016,2021,14600.0
2019,E37000016,2021,13700.0
2010,E37000019,2021,10700.0
2011,E37000019,2021,10700.0
2012,E37000019,2021,8000.0
2013,E37000019,2021,9800.0
2014,E37000019,2021,7200.0
2015,E37000019,2021,9400.0
2016,E37000019,2021,7500.0
2017,E37000019,2021,12100.0
2018,E37000019,2021,14500.0
2019,E37000019,2021,10100.0
2010,E37000021,2021,9200.0
2011,E37000021,2021,8300.0
2012,E37000021,2021,6700.0
2013,E37000021,2021,7700.0
2014,E37000021,2021,8500.0
2015,E37000021,2021,12200.0
2016,E37000021,2021,13300.0
2017,E37000021,2021,13700.0
2018,E37000021,2021,12300.0
2019,E37000021,2021,15000.0
2010,E37000022,2021,11300.0
2011,E37000022,2021,13500.0
2012,E37000022,2021,12400.0
2013,E37000022,2021,12600.0
2014,E37000022,2021,12600.0
2015,E37000022,2021,11400.0
2016,E37000022,2021,12200.0
2017,E37000022,2021,13700.0
2018,E37000022,2021,13800.0
2019,E37000022,2021,11600.0
2010,E37000025,2021,12800.0
2011,E37000025,2021,15400.0
2012,E37000025,2021,16100.0
2013,E37000025,2021,14400.0
2014,E37000025,2021,16200.0
2015,E37000025,2021,17700.0
2016,E37000025,2021,15200.0
2017,E37000025,2021,15700.0
2018,E37000025,2021,16800.0
2019,E37000025,2021,19700.0
2010,E37000032,2021,7100.0
2011,E37000032,2021,7300.0
2012,E37000032,2021,7800.0
2013,E37000032,2021,6400.0
2014,E37000032,2021,11100.0
2015,E37000032,2021,7100.0
2016,E37000032,2021,6300.0
2017,E37000032,2021,10200.0
2018,E37000032,2021,11300.0
2019,E37000032,2021,11900.0
2010,E37000033,2021,7600.0
2011,E37000033,2021,7700.0
2012,E37000033,2021,6000.0
2013,E37000033,2021,8000.0
2014,E37000033,2021,8300.0
2015,E37000033,2021,8900.0
2016,E37000033,2021,7500.0
2017,E37000033,2021,6000.0
2018,E37000033,2021,6300.0
2019,E37000033,2021,5700.0
2010,E37000034,2021,4600.0
2011,E37000034,2021,5400.0
2012,E37000034,2021,5800.0
2013,E37000034,2021,5800.0
2014,E37000034,2021,7300.0
2015,E37000034,2021,6200.0
2016,E37000034,2021,6900.0
2017,E37000034,2021,6900.0
2018,E37000034,2021,5800.0
2019,E37000034,2021,6300.0
2010,E37000035,2021,11000.0
2011,E37000035,2021,10000.0
2012,E37000035,2021,10500.0
2013,E37000035,2021,9200.0
2014,E37000035,2021,11400.0
2015,E37000035,2021,11500.0
2016,E37000035,2021,11100.0
2017,E37000035,2021,11500.0
2018,E37000035,2021,13000.0
2019,E37000035,2021,13200.0
2010,E37000036,2021,3500.0
2011,E37000036,2021,5300.0
2012,E37000036,2021,5100.0
2013,E37000036,2021,6200.0
2014,E37000036,2021,5700.0
2015,E37000036,2021,5600.0
2016,E37000036,2021,6400.0
2017,E37000036,2021,5700.0
2018,E37000036,2021,6200.0
2019,E37000036,2021,6100.0
2010,E37000037,2021,10300.0
2011,E37000037,2021,11100.0
2012,E37000037,2021,11100.0
2013,E37000037,2021,11500.0
2014,E37000037,2021,9100.0
2015,E37000037,2021,9800.0
2016,E37000037,2021,12000.0
2017,E37000037,2021,9500.0
2018,E37000037,2021,13200.0
2019,E37000037,2021,9300.0
2010,E37000038,2021,3000.0
2011,E37000038,2021,1800.0
2012,E37000038,2021,7100.0
2013,E37000038,2021,5300.0
2014,E37000038,2021,4800.0
2015,E37000038,2021,5100.0
2016,E37000038,2021,6100.0
2017,E37000038,2021,2700.0
2018,E37000038,2021,3000.0
2019,E37000038,2021,5600.0
2010,E37000043,2021,4900.0
2011,E37000043,2021,2800.0
2012,E37000043,2021,4900.0
2013,E37000043,2021,5700.0
2014,E37000043,2021,4600.0
2015,E37000043,2021,4900.0
2016,E37000043,2021,5700.0
2017,E37000043,2021,5200.0
2018,E37000043,2021,4600.0
2019,E37000043,2021,4900.0
2010,E37000044,2021,11000.0
2011,E37000044,2021,13700.0
2012,E37000044,2021,14800.0
2013,E37000044,2021,14100.0
2014,E37000044,2021,11500.0
