year,nuts_id,nuts_year_spec,aps_econ_active_stem_associate_profs_data
2012,UKM50,2010,8500
2017,UKM50,2013,6900
2018,UKM50,2016,6300
2016,UKM50,2013,7400
2015,UKM50,2013,8000
2013,UKM50,2010,9200
2014,UKM50,2010,10300
2014,UKM21,2010,3600
2015,UKM21,2013,2500
2016,UKM21,2013,2700
2017,UKM21,2013,2500
2018,UKM71,2016,2500
2013,UKM21,2010,2300
2012,UKM21,2010,2700
2015,UKI52,2013,2900
2016,UKI52,2013,3800
2017,UKI52,2013,3700
2018,UKI52,2016,5100
2015,UKI71,2013,2100
2016,UKI71,2013,3700
2017,UKI71,2013,2100
2015,UKE31,2013,7000
2012,UKE31,2010,4000
2013,UKE31,2010,4900
2014,UKE31,2010,6100
2017,UKE31,2013,6100
2016,UKE31,2013,5300
2018,UKE31,2016,5500
2015,UKK12,2013,7000
2018,UKK12,2016,7400
2014,UKK12,2010,5400
2013,UKK12,2010,4500
2012,UKK12,2010,7200
2016,UKK12,2013,4600
2017,UKK12,2013,4300
2017,UKH24,2013,1700
2015,UKH24,2013,1200
2018,UKH24,2016,2400
2014,UKH24,2010,1100
2013,UKH24,2010,1800
2012,UKH24,2010,1300
2018,UKJ11,2016,13000
2014,UKJ11,2010,11400
2013,UKJ11,2010,9200
2016,UKJ11,2013,11100
2017,UKJ11,2013,11500
2012,UKJ11,2010,10500
2015,UKJ11,2013,11500
2018,UKI51,2016,4800
2016,UKI51,2013,3500
2015,UKI51,2013,3100
2017,UKI51,2013,3200
2012,UKG31,2010,7600
2013,UKG31,2010,4300
2018,UKG31,2016,9300
2017,UKG31,2013,9400
2014,UKG31,2010,8000
2016,UKG31,2013,8800
2015,UKG31,2013,5000
2012,UKD41,2010,900
2016,UKD41,2013,1000
2015,UKD41,2013,900
2017,UKD41,2013,1300
2018,UKD41,2016,1300
2013,UKD41,2010,1200
2013,UKD42,2010,800
2012,UKD42,2010,1100
2016,UKD42,2013,1200
2017,UKD42,2013,1000
2015,UKD42,2013,1000
2018,UKD42,2016,900
2015,UKK21,2013,3100
2017,UKK21,2013,5200
2018,UKK21,2016,2600
2012,UKK21,2010,2500
2014,UKK21,2010,2800
2016,UKK21,2013,2700
2013,UKK21,2010,3500
2017,UKE41,2013,3200
2016,UKE41,2013,2800
2015,UKE41,2013,3400
2018,UKE41,2016,4200
2013,UKE41,2010,3800
2012,UKE41,2010,4100
2014,UKE41,2010,2700
2015,UKH17,2013,3400
2016,UKH17,2013,2700
2017,UKH17,2013,1300
2018,UKI72,2016,3800
2015,UKI72,2013,1400
2018,UKL17,2016,2300
