year,nuts_id,nuts_year_spec,aps_econ_active_stem_density_data
2012,UKC1,2010,3.6
2013,UKC1,2013,3.9
2014,UKC1,2013,4.0
2015,UKC1,2013,4.2
2016,UKC1,2016,4.8
2017,UKC1,2016,4.1
2018,UKC1,2016,3.7
2019,UKC1,2016,3.6
2012,UKC2,2010,3.6
2013,UKC2,2013,3.8
2014,UKC2,2013,4.1
2015,UKC2,2013,3.9
2016,UKC2,2016,4.2
2017,UKC2,2016,4.6
2018,UKC2,2016,4.7
2019,UKC2,2016,6.4
2012,UKD1,2010,3.5
2013,UKD1,2013,4.0
2014,UKD1,2013,3.6
2015,UKD1,2013,3.3
2016,UKD1,2016,4.3
2017,UKD1,2016,4.3
2018,UKD1,2016,4.2
2019,UKD1,2016,3.9
2012,UKD3,2010,4.7
2013,UKD3,2013,4.6
2014,UKD3,2013,4.8
2015,UKD3,2013,5.2
2016,UKD3,2016,4.9
2017,UKD3,2016,4.5
2018,UKD3,2016,4.9
2019,UKD3,2016,5.8
2012,UKD4,2010,4.5
2013,UKD4,2013,4.6
2014,UKD4,2013,4.3
2015,UKD4,2013,3.9
2016,UKD4,2016,3.7
2017,UKD4,2016,3.9
2018,UKD4,2016,4.8
2019,UKD4,2016,3.9
2012,UKD6,2010,7.4
2013,UKD6,2013,7.2
2014,UKD6,2013,7.3
2015,UKD6,2013,6.2
2016,UKD6,2016,5.9
2017,UKD6,2016,6.5
2018,UKD6,2016,7.0
2019,UKD6,2016,7.5
2012,UKD7,2010,3.2
2013,UKD7,2013,3.7
2014,UKD7,2013,4.2
2015,UKD7,2013,5.3
2016,UKD7,2016,4.3
2017,UKD7,2016,4.2
2018,UKD7,2016,4.5
2019,UKD7,2016,4.6
2012,UKE1,2010,3.3
2013,UKE1,2013,3.5
2014,UKE1,2013,3.1
2015,UKE1,2013,3.5
2016,UKE1,2016,3.7
2017,UKE1,2016,3.5
2018,UKE1,2016,3.9
2019,UKE1,2016,3.9
2012,UKE2,2010,4.6
2013,UKE2,2013,5.0
2014,UKE2,2013,4.2
2015,UKE2,2013,4.2
2016,UKE2,2016,4.6
2017,UKE2,2016,4.7
2018,UKE2,2016,4.0
2019,UKE2,2016,4.4
2012,UKE3,2010,4.4
2013,UKE3,2013,4.4
2014,UKE3,2013,3.7
2015,UKE3,2013,3.5
2016,UKE3,2016,3.8
2017,UKE3,2016,5.1
2018,UKE3,2016,5.5
2019,UKE3,2016,4.6
2012,UKE4,2010,4.1
2013,UKE4,2013,4.4
2014,UKE4,2013,4.1
2015,UKE4,2013,4.1
2016,UKE4,2016,4.8
2017,UKE4,2016,4.1
2018,UKE4,2016,4.7
2019,UKE4,2016,5.3
2012,UKF1,2010,3.8
2013,UKF1,2013,4.8
2014,UKF1,2013,4.9
2015,UKF1,2013,6.2
2016,UKF1,2016,4.8
2017,UKF1,2016,4.8
2018,UKF1,2016,4.8
2019,UKF1,2016,5.0
2012,UKF2,2010,4.4
2013,UKF2,2013,5.1
2014,UKF2,2013,5.0
2015,UKF2,2013,5.3
2016,UKF2,2016,5.0
2017,UKF2,2016,5.7
2018,UKF2,2016,5.2
2019,UKF2,2016,4.9
2012,UKF3,2010,4.7
2013,UKF3,2013,2.9
2014,UKF3,2013,3.9
2015,UKF3,2013,3.5
2016,UKF3,2016,3.8
2017,UKF3,2016,4.1
2018,UKF3,2016,3.3
2019,UKF3,2016,4.2
2012,UKG1,2010,5.1
2013,UKG1,2013,5.5
2014,UKG1,2013,6.4
2015,UKG1,2013,6.2
2016,UKG1,2016,6.5
2017,UKG1,2016,5.9
2018,UKG1,2016,5.6
2019,UKG1,2016,6.1
2012,UKG2,2010,4.8
2013,UKG2,2013,4.5
2014,UKG2,2013,4.0
2015,UKG2,2013,4.0
2016,UKG2,2016,3.9
2017,UKG2,2016,4.2
2018,UKG2,2016,5.0
2019,UKG2,2016,5.2
2012,UKG3,2010,3.4
2013,UKG3,2013,3.2
2014,UKG3,2013,4.0
2015,UKG3,2013,4.4
2016,UKG3,2016,4.5
2017,UKG3,2016,4.6
2018,UKG3,2016,5.3
2019,UKG3,2016,4.6
2012,UKH1,2010,6.0
2013,UKH1,2013,5.8
2014,UKH1,2013,5.7
2015,UKH1,2013,6.1
2016,UKH1,2016,6.6
2017,UKH1,2016,5.8
2018,UKH1,2016,6.8
2019,UKH1,2016,6.8
2012,UKH2,2010,7.1
2013,UKH2,2013,6.8
2014,UKH2,2013,6.7
2015,UKH2,2013,5.8
2016,UKH2,2016,6.8
2017,UKH2,2016,6.1
2018,UKH2,2016,5.8
2019,UKH2,2016,6.4
2012,UKH3,2010,4.4
2013,UKH3,2013,5.2
2014,UKH3,2013,4.6
2015,UKH3,2013,4.8
2016,UKH3,2016,4.7
2017,UKH3,2016,4.4
2018,UKH3,2016,4.5
2019,UKH3,2016,5.8
2012,UKI1,2010,5.6
2012,UKI2,2010,6.4
2013,UKI3,2013,5.6
2014,UKI3,2013,5.3
2015,UKI3,2013,5.5
2016,UKI3,2016,6.5
2017,UKI3,2016,6.7
2018,UKI3,2016,6.9
2019,UKI3,2016,7.8
2013,UKI4,2013,6.4
2014,UKI4,2013,6.9
2015,UKI4,2013,6.2
2016,UKI4,2016,6.1
2017,UKI4,2016,6.7
2018,UKI4,2016,7.4
2019,UKI4,2016,7.4
2013,UKI5,2013,4.6
2014,UKI5,2013,4.6
2015,UKI5,2013,4.9
2016,UKI5,2016,5.2
2017,UKI5,2016,5.2
2018,UKI5,2016,5.5
2019,UKI5,2016,5.2
2013,UKI6,2013,6.9
2014,UKI6,2013,7.3
2015,UKI6,2013,7.6
2016,UKI6,2016,8.1
2017,UKI6,2016,6.7
2018,UKI6,2016,7.1
2019,UKI6,2016,6.8
2013,UKI7,2013,6.4
2014,UKI7,2013,6.6
2015,UKI7,2013,7.0
2016,UKI7,2016,7.5
2017,UKI7,2016,6.7
2018,UKI7,2016,7.6
2019,UKI7,2016,9.4
2012,UKJ1,2010,8.6
2013,UKJ1,2013,8.5
2014,UKJ1,2013,9.6
2015,UKJ1,2013,9.8
2016,UKJ1,2016,10.1
2017,UKJ1,2016,8.2
2018,UKJ1,2016,9.2
2019,UKJ1,2016,10.0
2012,UKJ2,2010,6.5
2013,UKJ2,2013,6.2
2014,UKJ2,2013,5.8
2015,UKJ2,2013,6.4
2016,UKJ2,2016,7.2
2017,UKJ2,2016,7.4
2018,UKJ2,2016,7.3
2019,UKJ2,2016,6.6
2012,UKJ3,2010,6.9
2013,UKJ3,2013,6.2
2014,UKJ3,2013,6.5
2015,UKJ3,2013,6.7
2016,UKJ3,2016,6.5
2017,UKJ3,2016,6.4
2018,UKJ3,2016,6.4
2019,UKJ3,2016,7.1
2012,UKJ4,2010,4.3
2013,UKJ4,2013,3.5
2014,UKJ4,2013,4.5
2015,UKJ4,2013,5.0
2016,UKJ4,2016,3.9
2017,UKJ4,2016,4.2
2018,UKJ4,2016,5.1
2019,UKJ4,2016,4.1
2012,UKK1,2010,6.6
2013,UKK1,2013,6.5
2014,UKK1,2013,7.6
2015,UKK1,2013,6.8
2016,UKK1,2016,6.7
2017,UKK1,2016,7.2
2018,UKK1,2016,6.2
2019,UKK1,2016,6.8
2012,UKK2,2010,5.6
2013,UKK2,2013,4.2
2014,UKK2,2013,4.3
2015,UKK2,2013,4.4
2016,UKK2,2016,4.2
2017,UKK2,2016,4.2
2018,UKK2,2016,5.0
2019,UKK2,2016,5.6
2012,UKK3,2010,1.5
2013,UKK3,2013,2.6
2014,UKK3,2013,4.0
2015,UKK3,2013,2.6
2016,UKK3,2016,3.8
2017,UKK3,2016,2.5
2018,UKK3,2016,4.3
2019,UKK3,2016,3.0
2012,UKK4,2010,3.6
2013,UKK4,2013,3.4
2014,UKK4,2013,4.7
2015,UKK4,2013,4.9
2016,UKK4,2016,3.6
2017,UKK4,2016,3.5
2018,UKK4,2016,4.1
2019,UKK4,2016,4.3
2012,UKL1,2010,3.0
2013,UKL1,2013,3.0
2014,UKL1,2013,3.1
2015,UKL1,2013,3.1
2016,UKL1,2016,3.2
2017,UKL1,2016,3.6
2018,UKL1,2016,3.2
2019,UKL1,2016,3.8
2012,UKL2,2010,4.5
2013,UKL2,2013,4.8
2014,UKL2,2013,4.3
2015,UKL2,2013,4.0
2016,UKL2,2016,5.5
2017,UKL2,2016,5.2
2018,UKL2,2016,5.7
2019,UKL2,2016,5.9
2012,UKM2,2010,5.8
2013,UKM2,2013,5.6
2014,UKM2,2013,5.7
2015,UKM2,2013,6.2
2012,UKM3,2010,3.9
2013,UKM3,2013,4.2
2014,UKM3,2013,4.3
2015,UKM3,2013,4.4
2012,UKM5,2010,7.2
2013,UKM5,2013,8.1
2014,UKM5,2013,8.6
2015,UKM5,2013,8.9
2016,UKM5,2016,9.4
2017,UKM5,2016,9.1
2018,UKM5,2016,10.0
2019,UKM5,2016,9.9
2012,UKM6,2010,3.7
2013,UKM6,2013,3.5
2014,UKM6,2013,2.6
2015,UKM6,2013,3.4
2016,UKM6,2016,3.0
2017,UKM6,2016,3.7
2018,UKM6,2016,2.8
2019,UKM6,2016,2.8
2016,UKM7,2016,6.9
2017,UKM7,2016,7.0
2018,UKM7,2016,6.2
2019,UKM7,2016,5.1
2016,UKM8,2016,5.4
2017,UKM8,2016,5.8
2018,UKM8,2016,5.9
2019,UKM8,2016,5.9
2016,UKM9,2016,4.4
2017,UKM9,2016,4.7
2018,UKM9,2016,3.8
2019,UKM9,2016,4.3
