year,nuts_id,nuts_year_spec,aps_econ_active_stem_profs_data
2010,UKC1,2010,16700.0
2011,UKC1,2010,18400.0
2012,UKC1,2010,17900.0
2013,UKC1,2013,19500.0
2014,UKC1,2013,20500.0
2015,UKC1,2013,21900.0
2016,UKC1,2016,25500.0
2017,UKC1,2016,21500.0
2018,UKC1,2016,20100.0
2019,UKC1,2016,18900.0
2010,UKC2,2010,24000.0
2011,UKC2,2010,24500.0
2012,UKC2,2010,22700.0
2013,UKC2,2013,23300.0
2014,UKC2,2013,26700.0
2015,UKC2,2013,25500.0
2016,UKC2,2016,27900.0
2017,UKC2,2016,30600.0
2018,UKC2,2016,31000.0
2019,UKC2,2016,42400.0
2010,UKD1,2010,10500.0
2011,UKD1,2010,8500.0
2012,UKD1,2010,8300.0
2013,UKD1,2013,9400.0
2014,UKD1,2013,8300.0
2015,UKD1,2013,8300.0
2016,UKD1,2016,10100.0
2017,UKD1,2016,10400.0
2018,UKD1,2016,10100.0
2019,UKD1,2016,9400.0
2010,UKD3,2010,52300.0
2011,UKD3,2010,50300.0
2012,UKD3,2010,56400.0
2013,UKD3,2013,56100.0
2014,UKD3,2013,59400.0
2015,UKD3,2013,65100.0
2016,UKD3,2016,62800.0
2017,UKD3,2016,59200.0
2018,UKD3,2016,65400.0
2019,UKD3,2016,77200.0
2010,UKD4,2010,28900.0
2011,UKD4,2010,27500.0
2012,UKD4,2010,29700.0
2013,UKD4,2013,30000.0
2014,UKD4,2013,27600.0
2015,UKD4,2013,26400.0
2016,UKD4,2016,26000.0
2017,UKD4,2016,27800.0
2018,UKD4,2016,33200.0
2019,UKD4,2016,27300.0
2010,UKD6,2010,28200.0
2011,UKD6,2010,22900.0
2012,UKD6,2010,32100.0
2013,UKD6,2013,31100.0
2014,UKD6,2013,32300.0
2015,UKD6,2013,27500.0
2016,UKD6,2016,26000.0
2017,UKD6,2016,28700.0
2018,UKD6,2016,31600.0
2019,UKD6,2016,34500.0
2010,UKD7,2010,23800.0
2011,UKD7,2010,27400.0
2012,UKD7,2010,20800.0
2013,UKD7,2013,24300.0
2014,UKD7,2013,27000.0
2015,UKD7,2013,35700.0
2016,UKD7,2016,29600.0
2017,UKD7,2016,29200.0
2018,UKD7,2016,32000.0
2019,UKD7,2016,33400.0
2010,UKE1,2010,18000.0
2011,UKE1,2010,13600.0
2012,UKE1,2010,13200.0
2013,UKE1,2013,14500.0
2014,UKE1,2013,12800.0
2015,UKE1,2013,14700.0
2016,UKE1,2016,15800.0
2017,UKE1,2016,14800.0
2018,UKE1,2016,16700.0
2019,UKE1,2016,16700.0
2010,UKE2,2010,13100.0
2011,UKE2,2010,13400.0
2012,UKE2,2010,18100.0
2013,UKE2,2013,19600.0
2014,UKE2,2013,15800.0
2015,UKE2,2013,17500.0
2016,UKE2,2016,19200.0
2017,UKE2,2016,18800.0
2018,UKE2,2016,16200.0
2019,UKE2,2016,17900.0
2010,UKE3,2010,19800.0
2011,UKE3,2010,21800.0
2012,UKE3,2010,25800.0
2013,UKE3,2013,26400.0
2014,UKE3,2013,23300.0
2015,UKE3,2013,22200.0
2016,UKE3,2016,23900.0
2017,UKE3,2016,32800.0
2018,UKE3,2016,36200.0
2019,UKE3,2016,30500.0
2010,UKE4,2010,46700.0
2011,UKE4,2010,39100.0
2012,UKE4,2010,41100.0
2013,UKE4,2013,44600.0
2014,UKE4,2013,41700.0
2015,UKE4,2013,44000.0
2016,UKE4,2016,51600.0
2017,UKE4,2016,45300.0
2018,UKE4,2016,50200.0
2019,UKE4,2016,56900.0
2010,UKF1,2010,40000.0
2011,UKF1,2010,48100.0
2012,UKF1,2010,37200.0
2013,UKF1,2013,47000.0
2014,UKF1,2013,48700.0
2015,UKF1,2013,64400.0
2016,UKF1,2016,50600.0
2017,UKF1,2016,50100.0
2018,UKF1,2016,50400.0
2019,UKF1,2016,54100.0
2010,UKF2,2010,31700.0
2011,UKF2,2010,33100.0
2012,UKF2,2010,36300.0
2013,UKF2,2013,42100.0
2014,UKF2,2013,42900.0
2015,UKF2,2013,45100.0
2016,UKF2,2016,44000.0
2017,UKF2,2016,50600.0
2018,UKF2,2016,46600.0
2019,UKF2,2016,45400.0
2010,UKF3,2010,8800.0
2011,UKF3,2010,8300.0
2012,UKF3,2010,15200.0
2013,UKF3,2013,9500.0
2014,UKF3,2013,13500.0
2015,UKF3,2013,12200.0
2016,UKF3,2016,12600.0
2017,UKF3,2016,14500.0
2018,UKF3,2016,11800.0
2019,UKF3,2016,14900.0
2010,UKG1,2010,31400.0
2011,UKG1,2010,28700.0
2012,UKG1,2010,32300.0
2013,UKG1,2013,35200.0
2014,UKG1,2013,41600.0
2015,UKG1,2013,40300.0
2016,UKG1,2016,42000.0
2017,UKG1,2016,39100.0
2018,UKG1,2016,37700.0
2019,UKG1,2016,41600.0
2010,UKG2,2010,28200.0
2011,UKG2,2010,30500.0
2012,UKG2,2010,35200.0
2013,UKG2,2013,34100.0
2014,UKG2,2013,29400.0
2015,UKG2,2013,31100.0
2016,UKG2,2016,31100.0
2017,UKG2,2016,33500.0
2018,UKG2,2016,39900.0
2019,UKG2,2016,41100.0
2010,UKG3,2010,47200.0
2011,UKG3,2010,47100.0
2012,UKG3,2010,38300.0
2013,UKG3,2013,36000.0
2014,UKG3,2013,46800.0
2015,UKG3,2013,51600.0
2016,UKG3,2016,54200.0
2017,UKG3,2016,57800.0
2018,UKG3,2016,67800.0
2019,UKG3,2016,60600.0
2010,UKH1,2010,64100.0
2011,UKH1,2010,66800.0
2012,UKH1,2010,68800.0
2013,UKH1,2013,67100.0
2014,UKH1,2013,67700.0
2015,UKH1,2013,72600.0
2016,UKH1,2016,80300.0
2017,UKH1,2016,70000.0
2018,UKH1,2016,82300.0
2019,UKH1,2016,84200.0
2010,UKH2,2010,62200.0
2011,UKH2,2010,53200.0
2012,UKH2,2010,60900.0
2013,UKH2,2013,59800.0
2014,UKH2,2013,60300.0
2015,UKH2,2013,54300.0
2016,UKH2,2016,63100.0
2017,UKH2,2016,57300.0
2018,UKH2,2016,54700.0
2019,UKH2,2016,60800.0
2010,UKH3,2010,34700.0
2011,UKH3,2010,36000.0
2012,UKH3,2010,36600.0
2013,UKH3,2013,43900.0
2014,UKH3,2013,38400.0
2015,UKH3,2013,42500.0
2016,UKH3,2016,41000.0
2017,UKH3,2016,39400.0
2018,UKH3,2016,40900.0
2019,UKH3,2016,52600.0
2010,UKI1,2010,94300.0
2011,UKI1,2010,90600.0
2012,UKI1,2010,90400.0
2010,UKI2,2010,143400.0
2011,UKI2,2010,132800.0
2012,UKI2,2010,150100.0
2013,UKI3,2013,31600.0
2014,UKI3,2013,31800.0
2015,UKI3,2013,33900.0
2016,UKI3,2016,40400.0
2017,UKI3,2016,41100.0
2018,UKI3,2016,43700.0
2019,UKI3,2016,50300.0
2013,UKI4,2013,70000.0
2014,UKI4,2013,80800.0
2015,UKI4,2013,76600.0
2016,UKI4,2016,77500.0
2017,UKI4,2016,86900.0
2018,UKI4,2016,98200.0
2019,UKI4,2016,99800.0
2013,UKI5,2013,37700.0
2014,UKI5,2013,38900.0
2015,UKI5,2013,43700.0
2016,UKI5,2016,48100.0
2017,UKI5,2016,47600.0
2018,UKI5,2016,52000.0
2019,UKI5,2016,49500.0
2013,UKI6,2013,43700.0
2014,UKI6,2013,46300.0
2015,UKI6,2013,49800.0
2016,UKI6,2016,53400.0
2017,UKI6,2016,44600.0
2018,UKI6,2016,48000.0
2019,UKI6,2016,47000.0
2013,UKI7,2013,61800.0
2014,UKI7,2013,65200.0
2015,UKI7,2013,70600.0
2016,UKI7,2016,76600.0
2017,UKI7,2016,69700.0
2018,UKI7,2016,80300.0
2019,UKI7,2016,97400.0
2010,UKJ1,2010,101900.0
2011,UKJ1,2010,104100.0
2012,UKJ1,2010,98800.0
2013,UKJ1,2013,99700.0
2014,UKJ1,2013,113400.0
2015,UKJ1,2013,119600.0
2016,UKJ1,2016,123200.0
2017,UKJ1,2016,102000.0
2018,UKJ1,2016,112900.0
2019,UKJ1,2016,125100.0
2010,UKJ2,2010,86500.0
2011,UKJ2,2010,78200.0
2012,UKJ2,2010,87500.0
2013,UKJ2,2013,84900.0
2014,UKJ2,2013,79800.0
2015,UKJ2,2013,87700.0
2016,UKJ2,2016,103100.0
2017,UKJ2,2016,105200.0
2018,UKJ2,2016,103700.0
2019,UKJ2,2016,98300.0
2010,UKJ3,2010,51100.0
2011,UKJ3,2010,57500.0
2012,UKJ3,2010,63900.0
2013,UKJ3,2013,58500.0
2014,UKJ3,2013,62300.0
2015,UKJ3,2013,66200.0
2016,UKJ3,2016,63700.0
2017,UKJ3,2016,64100.0
2018,UKJ3,2016,63500.0
2019,UKJ3,2016,69900.0
2010,UKJ4,2010,36100.0
2011,UKJ4,2010,36600.0
2012,UKJ4,2010,34500.0
2013,UKJ4,2013,28600.0
2014,UKJ4,2013,37800.0
2015,UKJ4,2013,41500.0
2016,UKJ4,2016,33800.0
2017,UKJ4,2016,37700.0
2018,UKJ4,2016,44800.0
2019,UKJ4,2016,37000.0
2010,UKK1,2010,72400.0
2011,UKK1,2010,76700.0
2012,UKK1,2010,75700.0
2013,UKK1,2013,75500.0
2014,UKK1,2013,92000.0
2015,UKK1,2013,84300.0
2016,UKK1,2016,85000.0
2017,UKK1,2016,91600.0
2018,UKK1,2016,80200.0
2019,UKK1,2016,87900.0
2010,UKK2,2010,25900.0
2011,UKK2,2010,28700.0
2012,UKK2,2010,33300.0
2013,UKK2,2013,25800.0
2014,UKK2,2013,26300.0
2015,UKK2,2013,27600.0
2016,UKK2,2016,25700.0
2017,UKK2,2016,26700.0
2018,UKK2,2016,31900.0
2019,UKK2,2016,36100.0
2010,UKK3,2010,8100.0
2011,UKK3,2010,5200.0
2012,UKK3,2010,3500.0
2013,UKK3,2013,6400.0
2014,UKK3,2013,10200.0
2015,UKK3,2013,6500.0
2016,UKK3,2016,10200.0
2017,UKK3,2016,6800.0
2018,UKK3,2016,11500.0
2019,UKK3,2016,7800.0
2010,UKK4,2010,16100.0
2011,UKK4,2010,17600.0
2012,UKK4,2010,19300.0
2013,UKK4,2013,18200.0
2014,UKK4,2013,25300.0
2015,UKK4,2013,27700.0
2016,UKK4,2016,19700.0
2017,UKK4,2016,20900.0
2018,UKK4,2016,23400.0
2019,UKK4,2016,24700.0
2010,UKL1,2010,26500.0
2011,UKL1,2010,26500.0
2012,UKL1,2010,25000.0
2013,UKL1,2013,25400.0
2014,UKL1,2013,26600.0
2015,UKL1,2013,27000.0
2016,UKL1,2016,28100.0
2017,UKL1,2016,31500.0
2018,UKL1,2016,28600.0
2019,UKL1,2016,33900.0
2010,UKL2,2010,24200.0
2011,UKL2,2010,23700.0
2012,UKL2,2010,23300.0
2013,UKL2,2013,25700.0
2014,UKL2,2013,22700.0
2015,UKL2,2013,21800.0
2016,UKL2,2016,29600.0
2017,UKL2,2016,29200.0
