year,lep_id,lep_year_spec,aps_pro_occupations_data
2013,E37000001,2017,13.7
2014,E37000001,2017,13.6
2015,E37000001,2017,12.9
2016,E37000001,2017,13.8
2017,E37000001,2017,13.9
2018,E37000001,2017,15.4
2013,E37000002,2017,22.7
2014,E37000002,2017,24.2
2015,E37000002,2017,23.9
2016,E37000002,2017,21.1
2017,E37000002,2017,22.5
2018,E37000002,2017,23.7
2013,E37000003,2017,21.3
2014,E37000003,2017,21.1
2015,E37000003,2017,21.1
2016,E37000003,2017,20.1
2017,E37000003,2017,21.5
2018,E37000003,2017,24.4
2013,E37000004,2017,21.1
2014,E37000004,2017,19.6
2015,E37000004,2017,20.3
2016,E37000004,2017,22.2
2017,E37000004,2017,23.3
2018,E37000004,2017,24.2
2013,E37000005,2017,14.5
2014,E37000005,2017,15.8
2015,E37000005,2017,12.5
2016,E37000005,2017,16.0
2017,E37000005,2017,13.5
2018,E37000005,2017,14.6
2013,E37000006,2017,21.3
2014,E37000006,2017,21.3
2015,E37000006,2017,20.6
2016,E37000006,2017,18.5
2017,E37000006,2017,20.0
2018,E37000006,2017,21.1
2013,E37000007,2017,17.2
2014,E37000007,2017,14.4
2015,E37000007,2017,15.5
2016,E37000007,2017,15.3
2017,E37000007,2017,16.5
2018,E37000007,2017,18.4
2013,E37000008,2017,19.1
2014,E37000008,2017,18.2
2015,E37000008,2017,19.7
2016,E37000008,2017,18.7
2017,E37000008,2017,17.1
2018,E37000008,2017,17.6
2013,E37000009,2017,18.1
2014,E37000009,2017,19.2
2015,E37000009,2017,18.8
2016,E37000009,2017,18.4
2017,E37000009,2017,17.1
2018,E37000009,2017,19.3
2013,E37000010,2017,23.4
2014,E37000010,2017,22.8
2015,E37000010,2017,24.8
2016,E37000010,2017,25.1
2017,E37000010,2017,24.4
2018,E37000010,2017,23.2
2013,E37000011,2017,18.8
2014,E37000011,2017,21.7
2015,E37000011,2017,19.6
2016,E37000011,2017,19.0
2017,E37000011,2017,18.4
2018,E37000011,2017,17.8
2013,E37000012,2017,17.9
2014,E37000012,2017,19.0
2015,E37000012,2017,20.1
2016,E37000012,2017,20.2
2017,E37000012,2017,19.0
2018,E37000012,2017,20.3
2013,E37000042,2017,21.4
2014,E37000042,2017,18.6
2015,E37000042,2017,20.0
2016,E37000042,2017,21.0
2017,E37000042,2017,20.7
2018,E37000042,2017,21.5
2013,E37000014,2017,13.3
2014,E37000014,2017,13.9
2015,E37000014,2017,13.6
2016,E37000014,2017,13.2
2017,E37000014,2017,15.1
2018,E37000014,2017,13.9
2013,E37000015,2017,19.0
2014,E37000015,2017,19.1
2015,E37000015,2017,19.6
2016,E37000015,2017,19.8
2017,E37000015,2017,18.7
2018,E37000015,2017,20.2
2013,E37000016,2017,14.6
2014,E37000016,2017,17.4
2015,E37000016,2017,17.9
2016,E37000016,2017,17.5
2017,E37000016,2017,17.2
2018,E37000016,2017,18.4
2013,E37000017,2017,23.6
2014,E37000017,2017,24.0
2015,E37000017,2017,21.9
2016,E37000017,2017,23.0
2017,E37000017,2017,23.4
2018,E37000017,2017,22.2
2013,E37000018,2017,15.0
2014,E37000018,2017,14.3
2015,E37000018,2017,15.3
2016,E37000018,2017,16.7
2017,E37000018,2017,15.8
2018,E37000018,2017,14.6
2013,E37000019,2017,16.5
2014,E37000019,2017,17.4
2015,E37000019,2017,17.1
2016,E37000019,2017,18.8
2017,E37000019,2017,17.1
2018,E37000019,2017,17.9
2013,E37000020,2017,19.1
2014,E37000020,2017,18.0
2015,E37000020,2017,18.3
2016,E37000020,2017,18.9
2017,E37000020,2017,19.1
2018,E37000020,2017,18.4
2013,E37000021,2017,18.1
2014,E37000021,2017,17.8
2015,E37000021,2017,19.7
2016,E37000021,2017,17.0
2017,E37000021,2017,16.5
2018,E37000021,2017,16.6
2013,E37000022,2017,17.3
2014,E37000022,2017,18.9
2015,E37000022,2017,19.4
2016,E37000022,2017,19.6
2017,E37000022,2017,19.0
2018,E37000022,2017,19.2
2013,E37000023,2017,24.9
2014,E37000023,2017,23.7
2015,E37000023,2017,24.0
2016,E37000023,2017,25.2
2017,E37000023,2017,25.6
2018,E37000023,2017,26.2
2013,E37000024,2017,15.8
2014,E37000024,2017,15.6
2015,E37000024,2017,16.2
2016,E37000024,2017,18.0
2017,E37000024,2017,17.6
2018,E37000024,2017,17.5
2013,E37000025,2017,16.5
2014,E37000025,2017,17.1
2015,E37000025,2017,16.7
2016,E37000025,2017,18.1
2017,E37000025,2017,18.9
2018,E37000025,2017,18.9
2013,E37000027,2017,27.5
2014,E37000027,2017,29.4
2015,E37000027,2017,30.2
2016,E37000027,2017,29.4
2017,E37000027,2017,28.0
2018,E37000027,2017,26.2
2013,E37000040,2017,18.3
2014,E37000040,2017,17.6
2015,E37000040,2017,17.6
2016,E37000040,2017,18.1
2017,E37000040,2017,17.9
2018,E37000040,2017,19.3
2013,E37000029,2017,19.6
2014,E37000029,2017,21.0
2015,E37000029,2017,17.2
2016,E37000029,2017,19.8
2017,E37000029,2017,19.2
2018,E37000029,2017,19.4
2013,E37000030,2017,18.2
2014,E37000030,2017,18.6
2015,E37000030,2017,18.0
2016,E37000030,2017,18.7
2017,E37000030,2017,18.5
2018,E37000030,2017,18.8
2013,E37000041,2017,19.9
2014,E37000041,2017,20.6
2015,E37000041,2017,19.1
2016,E37000041,2017,18.6
