year,nuts_id,nuts_year_spec,ashe_mean_salary
2019,UKC11,2016,32393
2019,UKC12,2016,30366
2019,UKC13,2016,32967
2019,UKC14,2016,32315
2019,UKC21,2016,32887
2019,UKC22,2016,33899
2019,UKC23,2016,29056
2019,UKD11,2016,35928
2019,UKD12,2016,32460
2019,UKD33,2016,31206
2019,UKD34,2016,36788
2019,UKD35,2016,34720
2019,UKD36,2016,30924
2019,UKD37,2016,30851
2019,UKD41,2016,28504
2019,UKD42,2016,27326
2019,UKD44,2016,33362
2019,UKD45,2016,34121
2019,UKD46,2016,31996
2019,UKD47,2016,34471
2019,UKD61,2016,36452
2019,UKD62,2016,42109
2019,UKD63,2016,36641
2019,UKD71,2016,31347
2019,UKD72,2016,32755
2019,UKD73,2016,32487
2019,UKD74,2016,34948
2019,UKE11,2016,27693
2019,UKE12,2016,36778
2019,UKE13,2016,31746
2019,UKE21,2016,38999
2019,UKE22,2016,36709
2019,UKE31,2016,31421
2019,UKE32,2016,32238
2019,UKE41,2016,31726
2019,UKE42,2016,33293
2019,UKE44,2016,32717
2019,UKE45,2016,30879
2019,UKF11,2016,34810
2019,UKF12,2016,31249
2019,UKF13,2016,35685
2019,UKF14,2016,29279
2019,UKF15,2016,31322
2019,UKF16,2016,41404
2019,UKF21,2016,27913
2019,UKF22,2016,35478
2019,UKF24,2016,37034
2019,UKF25,2016,32207
2019,UKF30,2016,31386
2019,UKG11,2016,32028
2019,UKG12,2016,35545
2019,UKG13,2016,29296
2019,UKG21,2016,32057
2019,UKG22,2016,35522
2019,UKG23,2016,29374
2019,UKG24,2016,34085
2019,UKG31,2016,32672
2019,UKG32,2016,44510
2019,UKG33,2016,32797
2019,UKG36,2016,33922
2019,UKG37,2016,27774
2019,UKG38,2016,29103
2019,UKG39,2016,29320
2019,UKH11,2016,32452
2019,UKH12,2016,40441
2019,UKH14,2016,35871
2019,UKH15,2016,32622
2019,UKH16,2016,29840
2019,UKH17,2016,32820
2019,UKH21,2016,33372
2019,UKH23,2016,44779
2019,UKH24,2016,38042
2019,UKH25,2016,39971
2019,UKH31,2016,40376
2019,UKH32,2016,36611
2019,UKH34,2016,40560
2019,UKH35,2016,41508
2019,UKH36,2016,46005
2019,UKH37,2016,41129
2019,UKI31,2016,26161
2019,UKI32,2016,80301
2019,UKI33,2016,85283
2019,UKI34,2016,62371
2019,UKI41,2016,41436
2019,UKI42,2016,58151
2019,UKI43,2016,56084
2019,UKI44,2016,47474
2019,UKI45,2016,46035
2019,UKI51,2016,46685
2019,UKI52,2016,38493
2019,UKI53,2016,43394
2019,UKI54,2016,40906
2019,UKI61,2016,53776
2019,UKI62,2016,41520
2019,UKI63,2016,49250
2019,UKI71,2016,48057
2019,UKI72,2016,39906
2019,UKI73,2016,44843
2019,UKI74,2016,38474
2019,UKI75,2016,51312
2019,UKJ11,2016,38183
2019,UKJ12,2016,37760
2019,UKJ13,2016,39691
2019,UKJ14,2016,41065
2019,UKJ21,2016,38860
2019,UKJ22,2016,35852
2019,UKJ25,2016,53314
2019,UKJ26,2016,40030
2019,UKJ27,2016,37310
2019,UKJ28,2016,39254
2019,UKJ31,2016,31113
2019,UKJ32,2016,31084
2019,UKJ34,2016,30024
2019,UKJ35,2016,38597
2019,UKJ36,2016,43732
2019,UKJ37,2016,42544
2019,UKJ41,2016,36080
2019,UKJ43,2016,37535
2019,UKJ44,2016,36210
2019,UKJ45,2016,37160
2019,UKJ46,2016,51334
2019,UKK11,2016,35975
2019,UKK12,2016,36806
2019,UKK13,2016,37616
2019,UKK14,2016,35473
2019,UKK15,2016,38492
2019,UKK21,2016,35987
2019,UKK22,2016,34417
2019,UKK23,2016,33506
2019,UKK30,2016,28809
2019,UKK41,2016,29360
2019,UKK42,2016,29446
2019,UKK43,2016,30362
2019,UKL11,2016,30684
2019,UKL12,2016,28812
2019,UKL13,2016,29149
2019,UKL14,2016,30799
2019,UKL15,2016,29898
2019,UKL16,2016,29673
2019,UKL17,2016,31225
2019,UKL18,2016,31813
2019,UKL21,2016,34586
2019,UKL22,2016,35544
2019,UKL23,2016,32157
2019,UKL24,2016,29267
2019,UKM50,2016,39261
2019,UKM61,2016,33267
2019,UKM62,2016,32949
2019,UKM63,2016,32452
2019,UKM64,2016,30695
2019,UKM65,2016,34591
2019,UKM66,2016,33927
2019,UKM71,2016,30657
2019,UKM72,2016,32194
2019,UKM73,2016,34262
2019,UKM75,2016,41142
2019,UKM76,2016,31762
2019,UKM77,2016,20454
2019,UKM78,2016,34566
2019,UKM81,2016,34167
2019,UKM82,2016,34106
2019,UKM83,2016,37723
2019,UKM91,2016,32009
2019,UKM92,2016,30437
2019,UKM93,2016,32801
2019,UKM94,2016,34868
2019,UKM95,2016,35876
