year,lep_id,lep_year_spec,broadband_download_speed_data
2014,E37000001,2014,25.181
2015,E37000001,2014,31.0
2016,E37000001,2014,41.339
2017,E37000001,2017,51.527
2018,E37000001,2017,55.119
2019,E37000001,2017,70.078
2014,E37000002,2014,18.419
2015,E37000002,2014,21.527
2016,E37000002,2014,33.804
2017,E37000002,2017,39.18
2018,E37000002,2017,47.747
2019,E37000002,2017,56.084
2014,E37000003,2014,17.641
2015,E37000003,2014,21.265
2016,E37000003,2014,30.928
2017,E37000003,2017,36.648
2018,E37000003,2017,40.499
2019,E37000003,2017,50.474
2014,E37000004,2014,22.122
2015,E37000004,2014,26.526
2016,E37000004,2014,36.375
2017,E37000004,2017,43.398
2018,E37000004,2017,46.953
2019,E37000004,2017,59.853
2014,E37000005,2014,14.96
2015,E37000005,2014,15.903
2016,E37000005,2014,20.213
2017,E37000005,2017,23.015
2018,E37000005,2017,25.811
2019,E37000005,2017,31.712
2014,E37000006,2014,20.421
2015,E37000006,2014,25.056
2016,E37000006,2014,35.611
2017,E37000006,2017,43.146
2018,E37000006,2017,47.306
2019,E37000006,2017,60.791
2014,E37000007,2014,10.038
2015,E37000007,2014,12.283
2016,E37000007,2014,20.575
2017,E37000007,2017,27.682
2018,E37000007,2017,34.422
2019,E37000007,2017,46.111
2014,E37000008,2014,21.026
2015,E37000008,2014,26.236
2016,E37000008,2014,37.296
2017,E37000008,2017,45.794
2018,E37000008,2017,49.323
2019,E37000008,2017,61.913
2014,E37000009,2014,17.989
2015,E37000009,2014,21.331
2016,E37000009,2014,31.31
2017,E37000009,2017,39.276
2018,E37000009,2017,41.905
2019,E37000009,2017,53.238
2014,E37000010,2014,21.562
2015,E37000010,2014,26.067
2016,E37000010,2014,38.065
2017,E37000010,2017,44.306
2018,E37000010,2017,48.572
2019,E37000010,2017,63.406
2014,E37000011,2014,17.165
2015,E37000011,2014,20.781
2016,E37000011,2014,32.674
2017,E37000011,2017,44.9
2018,E37000011,2017,55.291
2019,E37000011,2017,57.559
2014,E37000012,2014,23.315
2015,E37000012,2014,29.139
2016,E37000012,2014,40.159
2017,E37000012,2017,48.925
2018,E37000012,2017,52.999
2019,E37000012,2017,67.125
2014,E37000013,2014,17.753
2015,E37000013,2014,22.097
2016,E37000013,2014,33.978
2014,E37000014,2014,17.557
2015,E37000014,2014,21.946
2016,E37000014,2014,33.924
2017,E37000014,2017,41.131
2018,E37000014,2017,45.067
2019,E37000014,2017,56.304
2014,E37000015,2014,23.721
2015,E37000015,2014,28.25
2016,E37000015,2014,38.726
2017,E37000015,2017,47.966
2018,E37000015,2017,51.899
2019,E37000015,2017,65.223
2014,E37000016,2014,13.571
2015,E37000016,2014,16.313
2016,E37000016,2014,25.975
2017,E37000016,2017,31.654
2018,E37000016,2017,36.306
2019,E37000016,2017,46.821
2014,E37000017,2014,25.078
2015,E37000017,2014,31.065
2016,E37000017,2014,44.589
2017,E37000017,2017,54.566
2018,E37000017,2017,59.017
2019,E37000017,2017,73.886
2014,E37000018,2014,16.422
2015,E37000018,2014,20.138
2016,E37000018,2014,32.701
2017,E37000018,2017,44.847
2018,E37000018,2017,57.931
2019,E37000018,2017,83.74
2014,E37000019,2014,18.017
2015,E37000019,2014,22.187
2016,E37000019,2014,36.834
2017,E37000019,2017,42.152
2018,E37000019,2017,46.94
2019,E37000019,2017,58.535
2014,E37000020,2014,19.209
2015,E37000020,2014,22.934
2016,E37000020,2014,33.757
2017,E37000020,2017,44.896
2018,E37000020,2017,45.317
2019,E37000020,2017,57.665
2014,E37000021,2014,22.077
2015,E37000021,2014,27.903
2016,E37000021,2014,40.118
2017,E37000021,2017,49.023
2018,E37000021,2017,52.256
2019,E37000021,2017,66.449
2014,E37000022,2014,23.534
2015,E37000022,2014,30.426
2016,E37000022,2014,41.114
2017,E37000022,2017,50.778
2018,E37000022,2017,54.324
2019,E37000022,2017,68.092
2014,E37000023,2014,24.067
2015,E37000023,2014,28.699
2016,E37000023,2014,37.589
2017,E37000023,2017,46.857
2018,E37000023,2017,51.55
2019,E37000023,2017,66.467
2014,E37000024,2014,13.904
2015,E37000024,2014,16.937
2016,E37000024,2014,25.619
2017,E37000024,2017,31.272
2018,E37000024,2017,35.738
2019,E37000024,2017,45.741
2014,E37000025,2014,17.354
2015,E37000025,2014,21.04
2016,E37000025,2014,30.61
2017,E37000025,2017,38.254
2018,E37000025,2017,41.824
2019,E37000025,2017,51.885
2014,E37000026,2014,19.903
2015,E37000026,2014,25.226
2016,E37000026,2014,41.269
2014,E37000027,2014,17.654
2015,E37000027,2014,21.446
2016,E37000027,2014,47.162
2017,E37000027,2017,45.441
2018,E37000027,2017,52.583
2019,E37000027,2017,61.595
2014,E37000029,2014,24.173
2015,E37000029,2014,29.147
2016,E37000029,2014,41.027
2017,E37000029,2017,49.007
2018,E37000029,2017,52.396
2019,E37000029,2017,65.654
2014,E37000030,2014,18.202
2015,E37000030,2014,21.478
2016,E37000030,2014,31.309
2017,E37000030,2017,37.169
2018,E37000030,2017,41.479
2019,E37000030,2017,53.323
2014,E37000031,2014,20.393
2015,E37000031,2014,24.91
2016,E37000031,2014,39.385
2014,E37000032,2014,18.558
2015,E37000032,2014,23.026
2016,E37000032,2014,34.097
2017,E37000032,2017,42.154
2018,E37000032,2017,45.879
2019,E37000032,2017,58.122
2014,E37000033,2014,16.958
2015,E37000033,2014,21.02
2016,E37000033,2014,34.153
2017,E37000033,2017,40.266
2018,E37000033,2017,44.901
2019,E37000033,2017,57.873
2014,E37000034,2014,27.284
2015,E37000034,2014,34.226
2016,E37000034,2014,50.155
2017,E37000034,2017,63.053
2018,E37000034,2017,66.052
2019,E37000034,2017,80.588
2014,E37000035,2014,21.943
2015,E37000035,2014,26.516
2016,E37000035,2014,38.417
2017,E37000035,2017,46.692
