year,nuts_id,nuts_year_spec,speed
2019,UKD1,2016,37.1
2019,UKD3,2016,100.7
2019,UKD6,2016,62.95
2019,UKD7,2016,81.7
2019,UKE1,2016,154.7
2019,UKE3,2016,72.23
2019,UKE4,2016,38.9
2019,UKF1,2016,77.2
2019,UKF2,2016,63.63
2019,UKG1,2016,48.2
2019,UKG2,2016,85.32
2019,UKH1,2016,47.4
2019,UKH2,2016,54.05
2019,UKH3,2016,48.35
2019,UKI4,2016,52.1
2019,UKI5,2016,75.9
2019,UKI6,2016,72.2
2019,UKI7,2016,26.8
2019,UKJ1,2016,45.9
2019,UKJ2,2016,50.6
2019,UKK1,2016,62.03
2019,UKK2,2016,20.5
2019,UKK4,2016,95.3
2019,UKL1,2016,13.7
2019,UKL2,2016,100.4
2019,UKM7,2016,75.7
2019,UKM8,2016,89.85
2019,UKM9,2016,28.4
2019,UKN0,2016,65.2
