year,lep_id,lep_year_spec,companies_founded
2006,E37000001,-2014,2.0
2006,E37000002,-2014,11.0
2006,E37000003,-2014,8.0
2006,E37000004,-2014,19.0
2006,E37000005,-2014,2.0
2006,E37000006,-2014,7.0
2006,E37000007,-2014,2.0
2006,E37000008,-2014,6.0
2006,E37000009,-2014,1.0
2006,E37000010,-2014,14.0
2006,E37000011,-2014,1.0
2006,E37000012,-2014,13.0
2006,E37000013,-2014,27.0
2006,E37000014,-2014,2.0
2006,E37000015,-2014,17.0
2006,E37000016,-2014,5.0
2006,E37000017,-2014,5.0
2006,E37000018,-2014,1.0
2006,E37000019,-2014,6.0
2006,E37000020,-2014,10.0
2006,E37000021,-2014,6.0
2006,E37000022,-2014,10.0
2006,E37000023,-2014,143.0
2006,E37000024,-2014,7.0
2006,E37000025,-2014,10.0
2006,E37000026,-2014,4.0
2006,E37000027,-2014,11.0
2006,E37000029,-2014,4.0
2006,E37000030,-2014,12.0
2006,E37000031,-2014,18.0
2006,E37000032,-2014,4.0
2006,E37000033,-2014,3.0
2006,E37000035,-2014,15.0
2006,E37000036,-2014,3.0
2006,E37000037,-2014,13.0
2006,E37000038,-2014,8.0
2006,E37000039,-2014,3.0
2006,E37000040,-2014,15.0
2007,E37000001,-2014,2.0
2007,E37000002,-2014,3.0
2007,E37000003,-2014,10.0
2007,E37000004,-2014,15.0
2007,E37000005,-2014,2.0
2007,E37000006,-2014,7.0
2007,E37000008,-2014,17.0
2007,E37000009,-2014,2.0
2007,E37000010,-2014,16.0
2007,E37000011,-2014,4.0
2007,E37000012,-2014,16.0
2007,E37000013,-2014,18.0
2007,E37000015,-2014,31.0
2007,E37000016,-2014,3.0
2007,E37000017,-2014,7.0
2007,E37000018,-2014,2.0
2007,E37000019,-2014,11.0
2007,E37000020,-2014,21.0
2007,E37000021,-2014,5.0
2007,E37000022,-2014,3.0
2007,E37000023,-2014,178.0
2007,E37000024,-2014,10.0
2007,E37000025,-2014,13.0
2007,E37000026,-2014,4.0
2007,E37000027,-2014,10.0
2007,E37000029,-2014,11.0
2007,E37000030,-2014,12.0
2007,E37000031,-2014,15.0
2007,E37000032,-2014,4.0
2007,E37000033,-2014,7.0
2007,E37000034,-2014,3.0
2007,E37000035,-2014,13.0
2007,E37000036,-2014,4.0
2007,E37000037,-2014,14.0
2007,E37000038,-2014,3.0
2007,E37000039,-2014,3.0
2007,E37000040,-2014,13.0
2008,E37000001,-2014,5.0
2008,E37000002,-2014,6.0
2008,E37000003,-2014,6.0
2008,E37000004,-2014,13.0
2008,E37000005,-2014,3.0
2008,E37000006,-2014,7.0
2008,E37000007,-2014,1.0
2008,E37000008,-2014,10.0
2008,E37000009,-2014,2.0
2008,E37000010,-2014,21.0
2008,E37000011,-2014,5.0
2008,E37000012,-2014,22.0
2008,E37000013,-2014,20.0
2008,E37000015,-2014,30.0
2008,E37000016,-2014,1.0
2008,E37000017,-2014,10.0
2008,E37000018,-2014,2.0
2008,E37000019,-2014,4.0
2008,E37000020,-2014,23.0
2008,E37000021,-2014,10.0
2008,E37000022,-2014,5.0
2008,E37000023,-2014,220.0
2008,E37000024,-2014,10.0
2008,E37000025,-2014,10.0
2008,E37000026,-2014,7.0
2008,E37000027,-2014,18.0
2008,E37000029,-2014,4.0
2008,E37000030,-2014,15.0
2008,E37000031,-2014,17.0
2008,E37000032,-2014,3.0
2008,E37000033,-2014,3.0
2008,E37000034,-2014,5.0
2008,E37000035,-2014,30.0
2008,E37000037,-2014,14.0
2008,E37000038,-2014,8.0
2008,E37000039,-2014,8.0
2008,E37000040,-2014,12.0
2009,E37000001,-2014,4.0
2009,E37000002,-2014,8.0
2009,E37000003,-2014,15.0
2009,E37000004,-2014,24.0
2009,E37000005,-2014,6.0
2009,E37000006,-2014,8.0
2009,E37000007,-2014,2.0
2009,E37000008,-2014,11.0
2009,E37000009,-2014,9.0
2009,E37000010,-2014,36.0
2009,E37000011,-2014,5.0
2009,E37000012,-2014,9.0
2009,E37000013,-2014,21.0
2009,E37000014,-2014,1.0
2009,E37000015,-2014,28.0
2009,E37000016,-2014,8.0
2009,E37000017,-2014,9.0
2009,E37000018,-2014,2.0
2009,E37000019,-2014,8.0
2009,E37000020,-2014,18.0
2009,E37000021,-2014,8.0
2009,E37000022,-2014,4.0
2009,E37000023,-2014,325.0
2009,E37000024,-2014,2.0
2009,E37000025,-2014,11.0
2009,E37000026,-2014,6.0
2009,E37000027,-2014,10.0
2009,E37000029,-2014,3.0
2009,E37000030,-2014,22.0
2009,E37000031,-2014,14.0
2009,E37000032,-2014,3.0
2009,E37000033,-2014,4.0
2009,E37000034,-2014,3.0
2009,E37000035,-2014,24.0
2009,E37000036,-2014,5.0
2009,E37000037,-2014,15.0
2009,E37000038,-2014,3.0
2009,E37000039,-2014,5.0
2009,E37000040,-2014,14.0
2010,E37000001,-2014,3.0
2010,E37000002,-2014,3.0
2010,E37000003,-2014,6.0
2010,E37000004,-2014,24.0
2010,E37000006,-2014,12.0
2010,E37000007,-2014,1.0
2010,E37000008,-2014,7.0
2010,E37000009,-2014,5.0
2010,E37000010,-2014,22.0
2010,E37000011,-2014,5.0
2010,E37000012,-2014,15.0
2010,E37000013,-2014,28.0
2010,E37000014,-2014,2.0
2010,E37000015,-2014,32.0
2010,E37000016,-2014,10.0
2010,E37000017,-2014,10.0
2010,E37000018,-2014,2.0
2010,E37000019,-2014,7.0
2010,E37000020,-2014,17.0
2010,E37000021,-2014,5.0
2010,E37000022,-2014,13.0
2010,E37000023,-2014,308.0
2010,E37000024,-2014,4.0
2010,E37000025,-2014,24.0
2010,E37000026,-2014,4.0
2010,E37000027,-2014,14.0
2010,E37000029,-2014,8.0
2010,E37000030,-2014,18.0
2010,E37000031,-2014,16.0
2010,E37000032,-2014,2.0
2010,E37000033,-2014,4.0
2010,E37000034,-2014,6.0
2010,E37000035,-2014,18.0
2010,E37000036,-2014,4.0
2010,E37000037,-2014,11.0
2010,E37000038,-2014,1.0
2010,E37000039,-2014,7.0
2010,E37000040,-2014,11.0
2011,E37000001,-2014,1.0
2011,E37000002,-2014,3.0
2011,E37000003,-2014,9.0
2011,E37000004,-2014,24.0
2011,E37000005,-2014,3.0
2011,E37000006,-2014,6.0
2011,E37000008,-2014,14.0
2011,E37000009,-2014,3.0
2011,E37000010,-2014,17.0
2011,E37000011,-2014,4.0
2011,E37000012,-2014,13.0
2011,E37000013,-2014,18.0
2011,E37000014,-2014,4.0
2011,E37000015,-2014,23.0
2011,E37000016,-2014,6.0
2011,E37000017,-2014,3.0
2011,E37000018,-2014,1.0
2011,E37000019,-2014,8.0
2011,E37000020,-2014,16.0
2011,E37000021,-2014,8.0
2011,E37000022,-2014,18.0
2011,E37000023,-2014,411.0
2011,E37000024,-2014,10.0
2011,E37000025,-2014,22.0
2011,E37000027,-2014,17.0
2011,E37000029,-2014,9.0
2011,E37000030,-2014,18.0
2011,E37000031,-2014,4.0
2011,E37000032,-2014,2.0
2011,E37000033,-2014,1.0
2011,E37000034,-2014,2.0
2011,E37000035,-2014,14.0
2011,E37000036,-2014,2.0
2011,E37000037,-2014,21.0
2011,E37000038,-2014,5.0
2011,E37000039,-2014,4.0
2011,E37000040,-2014,12.0
2012,E37000001,-2014,1.0
2012,E37000002,-2014,7.0
2012,E37000003,-2014,10.0
2012,E37000004,-2014,15.0
2012,E37000005,-2014,2.0
2012,E37000006,-2014,9.0
2012,E37000007,-2014,1.0
2012,E37000008,-2014,8.0
2012,E37000009,-2014,3.0
2012,E37000010,-2014,25.0
2012,E37000011,-2014,1.0
2012,E37000012,-2014,21.0
2012,E37000013,-2014,33.0
2012,E37000014,-2014,3.0
2012,E37000015,-2014,38.0
2012,E37000016,-2014,8.0
2012,E37000017,-2014,9.0
2012,E37000018,-2014,3.0
2012,E37000019,-2014,11.0
2012,E37000020,-2014,25.0
2012,E37000021,-2014,9.0
2012,E37000022,-2014,10.0
2012,E37000023,-2014,536.0
2012,E37000024,-2014,12.0
2012,E37000025,-2014,16.0
2012,E37000026,-2014,4.0
2012,E37000027,-2014,25.0
2012,E37000029,-2014,5.0
2012,E37000030,-2014,19.0
2012,E37000031,-2014,19.0
2012,E37000032,-2014,3.0
2012,E37000033,-2014,4.0
2012,E37000034,-2014,3.0
2012,E37000035,-2014,24.0
2012,E37000036,-2014,5.0
2012,E37000037,-2014,17.0
2012,E37000038,-2014,3.0
2012,E37000039,-2014,13.0
2012,E37000040,-2014,17.0
2013,E37000001,-2014,2.0
2013,E37000002,-2014,4.0
2013,E37000003,-2014,12.0
2013,E37000004,-2014,19.0
2013,E37000005,-2014,3.0
2013,E37000006,-2014,7.0
2013,E37000008,-2014,8.0
2013,E37000009,-2014,6.0
2013,E37000010,-2014,14.0
2013,E37000011,-2014,12.0
2013,E37000012,-2014,17.0
2013,E37000013,-2014,19.0
2013,E37000015,-2014,47.0
2013,E37000016,-2014,6.0
2013,E37000017,-2014,8.0
2013,E37000018,-2014,1.0
2013,E37000019,-2014,8.0
2013,E37000020,-2014,22.0
2013,E37000021,-2014,4.0
2013,E37000022,-2014,9.0
2013,E37000023,-2014,578.0
2013,E37000024,-2014,9.0
2013,E37000025,-2014,7.0
2013,E37000026,-2014,4.0
2013,E37000027,-2014,17.0
2013,E37000029,-2014,5.0
2013,E37000030,-2014,14.0
2013,E37000031,-2014,17.0
2013,E37000032,-2014,6.0
2013,E37000033,-2014,3.0
2013,E37000034,-2014,5.0
2013,E37000035,-2014,11.0
2013,E37000036,-2014,5.0
2013,E37000037,-2014,28.0
2013,E37000039,-2014,5.0
2013,E37000040,-2014,8.0
2014,E37000001,2014,2.0
2014,E37000002,2014,4.0
2014,E37000003,2014,8.0
2014,E37000004,2014,19.0
2014,E37000005,2014,2.0
2014,E37000006,2014,7.0
2014,E37000007,2014,2.0
2014,E37000008,2014,14.0
2014,E37000009,2014,8.0
2014,E37000010,2014,17.0
2014,E37000011,2014,8.0
2014,E37000012,2014,18.0
2014,E37000013,2014,28.0
2014,E37000014,2014,1.0
2014,E37000015,2014,33.0
2014,E37000016,2014,7.0
2014,E37000017,2014,4.0
2014,E37000018,2014,4.0
2014,E37000019,2014,7.0
2014,E37000020,2014,20.0
2014,E37000021,2014,9.0
2014,E37000022,2014,5.0
2014,E37000023,2014,663.0
