year,nuts_id,nuts_year_spec,epo_patent_applications
2016,UKC11,2010,5.0
2016,UKC12,2010,2.0
2016,UKC13,2010,4.0
2016,UKC14,2010,19.0
2016,UKC21,2010,13.0
2016,UKC22,2010,56.0
2016,UKC23,2010,9.0
2016,UKD11,2010,
2016,UKD12,2010,15.0
2016,UKD41,2010,51.0
2016,UKD42,2010,10.0
2016,UKD61,2010,22.0
2016,UKD62,2010,61.0
2016,UKD63,2010,37.0
2016,UKD71,2010,33.0
2016,UKD72,2010,52.0
2016,UKD73,2010,7.0
2016,UKD74,2010,23.0
2016,UKE11,2010,48.0
2016,UKE12,2010,29.0
2016,UKE13,2010,4.0
2016,UKE21,2010,13.0
2016,UKE22,2010,58.0
2016,UKE31,2010,41.0
2016,UKE32,2010,44.0
2016,UKE41,2010,33.0
2016,UKE42,2010,89.0
2016,UKE44,2010,56.0
2016,UKE45,2010,28.0
2016,UKF11,2010,15.0
2016,UKF12,2010,47.0
2016,UKF13,2010,29.0
2016,UKF14,2010,42.0
2016,UKF15,2010,18.0
2016,UKF16,2010,57.0
2016,UKF21,2010,12.0
2016,UKF22,2010,90.0
2016,UKF24,2010,17.0
2016,UKF25,2010,38.0
2016,UKF30,2010,30.0
2016,UKG11,2010,26.0
2016,UKG12,2010,94.0
2016,UKG13,2010,112.0
2016,UKG21,2010,13.0
2016,UKG22,2010,31.0
2016,UKG23,2010,11.0
2016,UKG24,2010,65.0
2016,UKG31,2010,122.0
2016,UKG32,2010,23.0
2016,UKG33,2010,65.0
2016,UKG36,2010,19.0
2016,UKG37,2010,17.0
2016,UKG38,2010,23.0
2016,UKG39,2010,13.0
2016,UKH11,2010,23.0
2016,UKH12,2010,146.0
2016,UKH14,2010,56.0
2016,UKH21,2010,19.0
2016,UKH23,2010,246.0
2016,UKH24,2010,10.0
2016,UKH25,2010,20.0
2016,UKH31,2010,15.0
2016,UKH32,2010,21.0
2016,UKJ11,2010,233.0
2016,UKJ12,2010,51.0
2016,UKJ13,2010,109.0
2016,UKJ14,2010,133.0
2016,UKJ21,2010,45.0
2016,UKJ22,2010,38.0
2016,UKJ31,2010,14.0
2016,UKJ32,2010,13.0
2016,UKJ34,2010,9.0
2016,UKJ41,2010,18.0
2016,UKK11,2010,101.0
2016,UKK12,2010,58.0
2016,UKK13,2010,88.0
2016,UKK14,2010,12.0
2016,UKK15,2010,48.0
2016,UKK21,2010,41.0
2016,UKK22,2010,30.0
2016,UKK23,2010,47.0
2016,UKK30,2010,52.0
2016,UKK41,2010,10.0
2016,UKK42,2010,7.0
2016,UKK43,2010,66.0
2016,UKL11,2010,
2016,UKL12,2010,3.0
2016,UKL13,2010,3.0
2016,UKL14,2010,5.0
2016,UKL15,2010,6.0
2016,UKL16,2010,15.0
2016,UKL17,2010,3.0
2016,UKL18,2010,8.0
2016,UKL21,2010,20.0
2016,UKL22,2010,40.0
2016,UKL23,2010,37.0
2016,UKL24,2010,7.0
2016,UKM21,2010,11.0
2016,UKM22,2010,21.0
2016,UKM23,2010,14.0
2016,UKM24,2010,1.0
2016,UKM25,2010,87.0
2016,UKM26,2010,2.0
2016,UKM27,2010,11.0
2016,UKM28,2010,7.0
2016,UKM31,2010,11.0
2016,UKM32,2010,7.0
2016,UKM33,2010,3.0
2016,UKM34,2010,73.0
2016,UKM35,2010,21.0
2016,UKM36,2010,9.0
2016,UKM37,2010,1.0
2016,UKM38,2010,12.0
2016,UKM50,2010,37.0
