year,nuts_id,nuts_year_spec,total_ukri_funding
2006,UKC1,2006,150000.0
2006,UKC2,2006,299818.16
2006,UKD1,2006,289353.0
2006,UKD2,2006,438752.62
2006,UKD3,2006,346369.88
2006,UKD4,2006,210635.37
2006,UKD5,2006,368549.69
2006,UKE1,2006,161666.53
2006,UKE2,2006,250819.67
2006,UKE3,2006,335123.98
2006,UKE4,2006,802512.89
2006,UKF1,2006,390869.57
2006,UKF2,2006,371938.58
2006,UKF3,2006,163137.71
2006,UKG1,2006,846561.15
2006,UKG2,2006,283894.93
2006,UKG3,2006,322286.35
2006,UKH1,2006,426050.18
2006,UKH2,2006,413811.12
2006,UKH3,2006,287439.41
2006,UKI1,2006,405747.34
2006,UKI2,2006,216357.24
2006,UKJ1,2006,467205.7
2006,UKJ2,2006,388182.25
2006,UKJ3,2006,357341.04
2006,UKJ4,2006,225484.51
2006,UKK1,2006,389374.6
2006,UKK2,2006,241469.44
2006,UKK3,2006,11090.25
2006,UKK4,2006,229849.1
2006,UKL1,2006,168996.81
2006,UKL2,2006,390008.04
2006,UKM2,2006,335420.54
2006,UKM3,2006,370412.55
2006,UKM5,2006,235259.13
2006,UKM6,2006,153048.0
2006,UKN0,2006,239206.4
2007,UKC1,2006,535848.31
2007,UKC2,2006,231250.39
2007,UKD1,2006,166519.0
2007,UKD2,2006,398861.35
2007,UKD3,2006,359809.92
2007,UKD4,2006,164048.88
2007,UKD5,2006,273242.22
2007,UKE1,2006,196626.78
2007,UKE2,2006,212721.94
2007,UKE3,2006,322979.39
2007,UKE4,2006,330828.77
2007,UKF1,2006,317304.26
2007,UKF2,2006,410570.85
2007,UKF3,2006,84389.81
2007,UKG1,2006,524468.82
2007,UKG2,2006,312924.59
2007,UKG3,2006,345497.79
2007,UKH1,2006,384142.78
2007,UKH2,2006,483233.47
2007,UKH3,2006,449215.53
2007,UKI1,2006,391881.17
2007,UKI2,2006,214872.62
2007,UKJ1,2006,416448.32
2007,UKJ2,2006,233160.05
2007,UKJ3,2006,284998.6
2007,UKJ4,2006,266415.21
2007,UKK1,2006,452399.53
2007,UKK2,2006,487349.6
2007,UKK4,2006,485749.14
2007,UKL1,2006,326664.87
2007,UKL2,2006,16120.0
2007,UKM2,2006,387575.42
2007,UKM3,2006,494477.32
2007,UKM5,2006,335016.63
2007,UKM6,2006,19796.0
2007,UKN0,2006,263615.41
2008,UKC1,2006,543566.4
2008,UKC2,2006,376252.28
2008,UKD2,2006,422921.5
2008,UKD3,2006,371461.17
2008,UKD4,2006,212053.06
2008,UKD5,2006,388758.42
2008,UKE1,2006,126158.51
2008,UKE2,2006,316887.37
2008,UKE3,2006,372199.09
2008,UKE4,2006,359476.73
2008,UKF1,2006,348684.15
2008,UKF2,2006,385972.4
2008,UKF3,2006,746714.0
2008,UKG1,2006,1037333.49
2008,UKG2,2006,188787.52
2008,UKG3,2006,544809.09
2008,UKH1,2006,444293.1
2008,UKH2,2006,312701.17
2008,UKH3,2006,1065427.86
2008,UKI1,2006,434877.35
2008,UKI2,2006,424192.8
2008,UKJ1,2006,601364.09
2008,UKJ2,2006,290389.09
2008,UKJ3,2006,388229.24
2008,UKJ4,2006,132143.71
2008,UKK1,2006,452816.62
2008,UKK2,2006,709431.82
2008,UKK4,2006,224309.47
2008,UKL1,2006,250761.53
2008,UKL2,2006,366111.53
2008,UKM2,2006,399923.33
2008,UKM3,2006,509830.82
2008,UKM5,2006,277584.91
2008,UKM6,2006,53471.07
2008,UKN0,2006,305869.06
2009,UKC1,2006,263988.23
2009,UKC2,2006,479212.05
2009,UKD1,2006,64596.61
2009,UKD2,2006,705574.59
2009,UKD3,2006,500044.57
2009,UKD4,2006,310588.0
2009,UKD5,2006,595484.48
2009,UKE1,2006,123125.83
2009,UKE2,2006,280161.12
2009,UKE3,2006,479723.8
2009,UKE4,2006,368576.47
2009,UKF1,2006,484271.36
2009,UKF2,2006,299064.89
2009,UKF3,2006,64372.04
2009,UKG1,2006,193706.78
2009,UKG2,2006,186304.39
2009,UKG3,2006,436920.27
2009,UKH1,2006,487303.63
2009,UKH2,2006,551490.47
2009,UKH3,2006,337669.51
2009,UKI1,2006,570353.28
2009,UKI2,2006,152408.55
2009,UKJ1,2006,442493.16
2009,UKJ2,2006,399883.95
2009,UKJ3,2006,665448.08
2009,UKJ4,2006,175063.88
2009,UKK1,2006,538097.55
2009,UKK2,2006,205173.33
2009,UKK3,2006,18103.64
2009,UKK4,2006,265984.78
2009,UKL1,2006,192253.78
2009,UKL2,2006,145490.73
2009,UKM2,2006,447875.39
2009,UKM3,2006,582274.89
2009,UKM5,2006,501128.93
2009,UKM6,2006,80002.67
2009,UKN0,2006,455169.38
2010,UKC1,2010,381686.28
2010,UKC2,2010,202431.28
2010,UKD1,2010,114590.91
2010,UKD3,2010,371232.01
2010,UKD4,2010,239549.96
2010,UKD6,2010,155775.44
2010,UKD7,2010,220609.9
2010,UKE1,2010,121297.55
2010,UKE2,2010,184949.54
2010,UKE3,2010,395057.54
2010,UKE4,2010,292625.47
2010,UKF1,2010,241564.18
2010,UKF2,2010,351254.36
2010,UKF3,2010,202308.84
2010,UKG1,2010,1051486.43
2010,UKG2,2010,178610.9
2010,UKG3,2010,335763.54
2010,UKH1,2010,387791.65
2010,UKH2,2010,280812.1
2010,UKH3,2010,987451.61
2010,UKI1,2010,379264.75
2010,UKI2,2010,186188.19
2010,UKJ1,2010,813890.96
2010,UKJ2,2010,376141.53
2010,UKJ3,2010,401805.25
2010,UKJ4,2010,133286.03
2010,UKK1,2010,350308.01
2010,UKK2,2010,1428542.31
2010,UKK3,2010,110118.55
2010,UKK4,2010,194280.93
2010,UKL1,2010,204861.72
2010,UKL2,2010,101282.42
2010,UKM2,2010,320786.49
2010,UKM3,2010,482570.67
2010,UKM5,2010,187380.09
2010,UKM6,2010,96274.07
2010,UKN0,2010,278615.11
2011,UKC1,2010,152821.02
2011,UKC2,2010,337756.47
2011,UKD1,2010,198391.3
2011,UKD3,2010,336566.15
2011,UKD4,2010,240861.09
2011,UKD6,2010,118434.8
2011,UKD7,2010,315673.5
2011,UKE1,2010,220658.51
2011,UKE2,2010,267010.54
2011,UKE3,2010,502097.96
2011,UKE4,2010,348649.95
2011,UKF1,2010,360356.81
2011,UKF2,2010,302281.64
2011,UKF3,2010,211819.11
2011,UKG1,2010,161973.94
2011,UKG2,2010,200516.57
2011,UKG3,2010,1034548.06
