year,lep_id,lep_year_spec,cash_as_proportion_public_funding
2015,E37000001,2014,0.0
2015,E37000002,2014,0.31
2015,E37000004,2014,0.23
2015,E37000005,2014,0.54
2015,E37000006,2014,0.01
2015,E37000007,2014,0.03
2015,E37000008,2014,0.07
2015,E37000009,2014,0.06
2015,E37000010,2014,0.05
2015,E37000011,2014,0.0
2015,E37000012,2014,0.18
2015,E37000013,2014,0.07
2015,E37000014,2014,0.05
2015,E37000015,2014,inf
2015,E37000016,2014,0.11
2015,E37000017,2014,0.33
2015,E37000018,2014,0.02
2015,E37000019,2014,0.07
2015,E37000020,2014,0.21
2015,E37000021,2014,0.13
2015,E37000022,2014,0.09
2015,E37000023,2014,inf
2015,E37000024,2014,0.0
2015,E37000025,2014,0.19
2015,E37000026,2014,2.12
2015,E37000027,2014,0.13
2015,E37000029,2014,0.01
2015,E37000030,2014,0.18
2015,E37000031,2014,0.61
2015,E37000032,2014,0.38
2015,E37000034,2014,inf
2015,E37000035,2014,0.13
2015,E37000036,2014,0.17
2015,E37000037,2014,0.64
2015,E37000038,2014,0.03
2015,E37000039,2014,0.03
2015,E37000040,2014,0.08
2016,E37000001,2014,0.14
2016,E37000002,2014,inf
2016,E37000003,2014,6.92
2016,E37000004,2014,0.08
2016,E37000005,2014,0.93
2016,E37000006,2014,0.03
2016,E37000008,2014,0.1
2016,E37000009,2014,0.23
2016,E37000010,2014,0.04
2016,E37000011,2014,0.0
2016,E37000012,2014,0.09
2016,E37000013,2014,0.07
2016,E37000014,2014,0.05
2016,E37000015,2014,inf
2016,E37000016,2014,0.07
2016,E37000017,2014,0.39
2016,E37000018,2014,0.04
2016,E37000019,2014,0.06
2016,E37000020,2014,0.46
2016,E37000021,2014,0.13
2016,E37000022,2014,0.11
2016,E37000023,2014,inf
2016,E37000024,2014,0.01
2016,E37000025,2014,0.15
2016,E37000026,2014,0.38
2016,E37000027,2014,0.22
2016,E37000029,2014,0.05
2016,E37000030,2014,1.75
2016,E37000031,2014,0.21
2016,E37000032,2014,0.23
2016,E37000034,2014,inf
2016,E37000035,2014,0.17
2016,E37000036,2014,0.5
2016,E37000037,2014,0.09
2016,E37000038,2014,0.02
2016,E37000039,2014,0.02
2016,E37000040,2014,0.09
2017,E37000001,2017,0.02
2017,E37000002,2017,inf
2017,E37000003,2017,0.0
2017,E37000004,2017,0.08
2017,E37000005,2017,1.88
2017,E37000006,2017,0.03
2017,E37000008,2017,0.21
2017,E37000009,2017,0.09
2017,E37000010,2017,0.05
2017,E37000011,2017,0.0
2017,E37000012,2017,0.14
2017,E37000014,2017,0.04
2017,E37000015,2017,0.22
2017,E37000016,2017,0.04
2017,E37000017,2017,0.35
2017,E37000018,2017,0.05
2017,E37000019,2017,0.1
2017,E37000020,2017,0.55
2017,E37000021,2017,0.18
2017,E37000022,2017,0.21
2017,E37000023,2017,inf
2017,E37000024,2017,0.01
2017,E37000025,2017,0.16
2017,E37000027,2017,0.16
2017,E37000029,2017,0.03
2017,E37000030,2017,0.21
2017,E37000032,2017,0.28
2017,E37000034,2017,inf
2017,E37000035,2017,0.13
2017,E37000036,2017,inf
2017,E37000037,2017,0.09
2017,E37000038,2017,0.01
2017,E37000039,2017,0.05
2017,E37000040,2017,0.15
2017,E37000041,2017,0.6
2017,E37000042,2017,0.14
2018,E37000001,2017,0.09
2018,E37000002,2017,inf
2018,E37000003,2017,0.0
2018,E37000004,2017,0.11
2018,E37000005,2017,1.18
2018,E37000006,2017,0.04
2018,E37000007,2017,0.0
2018,E37000008,2017,0.25
2018,E37000009,2017,0.05
2018,E37000010,2017,0.01
2018,E37000011,2017,0.0
2018,E37000012,2017,0.13
2018,E37000014,2017,0.09
2018,E37000015,2017,0.12
2018,E37000016,2017,0.06
2018,E37000017,2017,0.58
2018,E37000018,2017,0.13
2018,E37000019,2017,0.09
2018,E37000020,2017,0.75
2018,E37000021,2017,0.28
2018,E37000022,2017,0.46
2018,E37000023,2017,inf
2018,E37000024,2017,0.01
2018,E37000025,2017,0.15
2018,E37000027,2017,0.17
2018,E37000029,2017,0.03
2018,E37000030,2017,0.18
2018,E37000032,2017,0.13
2018,E37000034,2017,inf
2018,E37000035,2017,0.1
2018,E37000036,2017,inf
2018,E37000037,2017,0.04
2018,E37000038,2017,0.0
2018,E37000039,2017,0.05
2018,E37000040,2017,0.11
2018,E37000041,2017,0.59
2018,E37000042,2017,0.28
