year,lep_id,lep_year_spec,consultancy_facilities_non_sme
2014,E37000001,2014,223000
2014,E37000002,2014,74000
2014,E37000003,2014,2448000
2014,E37000004,2014,1546000
2014,E37000005,2014,1000
2014,E37000006,2014,6965000
2014,E37000007,2014,59000
2014,E37000008,2014,6029000
2014,E37000009,2014,289000
2014,E37000010,2014,5308000
2014,E37000011,2014,113000
2014,E37000012,2014,1247000
2014,E37000013,2014,10198000
2014,E37000014,2014,335000
2014,E37000015,2014,4197000
2014,E37000016,2014,1189000
2014,E37000017,2014,226000
2014,E37000018,2014,1134000
2014,E37000019,2014,694000
2014,E37000020,2014,8000000
2014,E37000021,2014,9457000
2014,E37000022,2014,1002000
2014,E37000023,2014,38154000
2014,E37000024,2014,1043000
2014,E37000025,2014,4184000
2014,E37000026,2014,49000
2014,E37000027,2014,3851000
2014,E37000029,2014,8093000
2014,E37000030,2014,9642000
2014,E37000031,2014,3399000
2014,E37000032,2014,1423000
2014,E37000034,2014,82000
2014,E37000035,2014,2173000
2014,E37000036,2014,33000
2014,E37000037,2014,2733000
2014,E37000038,2014,22000
2014,E37000039,2014,3435000
2014,E37000040,2014,2881000
2015,E37000001,2014,1501000
2015,E37000002,2014,140000
2015,E37000003,2014,1995000
2015,E37000004,2014,2686000
2015,E37000005,2014,0
2015,E37000006,2014,6101000
2015,E37000007,2014,8000
2015,E37000008,2014,5882000
2015,E37000009,2014,191000
2015,E37000010,2014,4909000
2015,E37000011,2014,133000
2015,E37000012,2014,1867000
2015,E37000013,2014,10440000
2015,E37000014,2014,1117000
2015,E37000015,2014,4513000
2015,E37000016,2014,1196000
2015,E37000017,2014,262000
2015,E37000018,2014,1204000
2015,E37000019,2014,1040000
2015,E37000020,2014,10193000
2015,E37000021,2014,8156000
2015,E37000022,2014,661000
2015,E37000023,2014,35288000
2015,E37000024,2014,2000000
2015,E37000025,2014,3057000
2015,E37000026,2014,293000
2015,E37000027,2014,4222000
2015,E37000029,2014,9491000
2015,E37000030,2014,9639000
2015,E37000031,2014,3090000
2015,E37000032,2014,1320000
2015,E37000034,2014,56000
2015,E37000035,2014,2007000
2015,E37000036,2014,253000
2015,E37000037,2014,2820000
2015,E37000038,2014,9000
2015,E37000039,2014,4481000
2015,E37000040,2014,3882000
2016,E37000001,2014,463000
2016,E37000002,2014,18000
2016,E37000003,2014,1644000
2016,E37000004,2014,4044000
2016,E37000005,2014,1000
2016,E37000006,2014,6210000
2016,E37000007,2014,190000
2016,E37000008,2014,5574000
2016,E37000009,2014,71000
2016,E37000010,2014,5070000
2016,E37000011,2014,85000
2016,E37000012,2014,1951000
2016,E37000013,2014,9080000
2016,E37000014,2014,563000
2016,E37000015,2014,4804000
2016,E37000016,2014,1463000
2016,E37000017,2014,239000
2016,E37000018,2014,1184000
2016,E37000019,2014,997000
2016,E37000020,2014,7106000
2016,E37000021,2014,7081000
2016,E37000022,2014,893000
2016,E37000023,2014,40488000
2016,E37000024,2014,797000
2016,E37000025,2014,4022000
2016,E37000026,2014,102000
2016,E37000027,2014,4351000
2016,E37000029,2014,8478000
2016,E37000030,2014,8640000
2016,E37000031,2014,3530000
2016,E37000032,2014,1226000
2016,E37000034,2014,144000
2016,E37000035,2014,1831000
2016,E37000036,2014,202000
2016,E37000037,2014,2411000
2016,E37000038,2014,102000
2016,E37000039,2014,3628000
2016,E37000040,2014,3188000
2017,E37000001,2017,214000
2017,E37000002,2017,0
2017,E37000003,2017,1749000
2017,E37000004,2017,4278000
2017,E37000005,2017,6000
2017,E37000006,2017,6266000
2017,E37000007,2017,94000
2017,E37000008,2017,7599000
2017,E37000009,2017,114000
2017,E37000010,2017,4663000
2017,E37000011,2017,16000
2017,E37000012,2017,1931000
2017,E37000014,2017,686000
2017,E37000015,2017,3623000
2017,E37000016,2017,1267000
2017,E37000017,2017,255000
2017,E37000018,2017,842000
2017,E37000019,2017,541000
2017,E37000020,2017,6865000
2017,E37000021,2017,6968000
2017,E37000022,2017,966000
2017,E37000023,2017,44501000
2017,E37000024,2017,4704000
2017,E37000025,2017,4394000
2017,E37000027,2017,4252000
2017,E37000029,2017,8057000
2017,E37000030,2017,1879000
2017,E37000032,2017,1426000
2017,E37000034,2017,142000
2017,E37000035,2017,1497000
2017,E37000036,2017,74000
2017,E37000037,2017,2347000
2017,E37000038,2017,156000
2017,E37000039,2017,4002000
2017,E37000040,2017,2942000
2017,E37000041,2017,3947000
2017,E37000042,2017,10574000
2018,E37000001,2017,266000
2018,E37000002,2017,0
2018,E37000003,2017,1718000
2018,E37000004,2017,4624000
2018,E37000005,2017,5000
2018,E37000006,2017,12818000
2018,E37000007,2017,55000
2018,E37000008,2017,5827000
2018,E37000009,2017,67000
2018,E37000010,2017,5184000
2018,E37000011,2017,8000
2018,E37000012,2017,2002000
2018,E37000014,2017,612000
2018,E37000015,2017,3899000
2018,E37000016,2017,820000
2018,E37000017,2017,231000
2018,E37000018,2017,1069000
2018,E37000019,2017,1134000
2018,E37000020,2017,7077000
2018,E37000021,2017,7086000
2018,E37000022,2017,1642000
2018,E37000023,2017,40969000
2018,E37000024,2017,3090000
2018,E37000025,2017,5256000
2018,E37000027,2017,4181000
2018,E37000029,2017,7830000
2018,E37000030,2017,1526000
2018,E37000032,2017,1767000
2018,E37000034,2017,146000
2018,E37000035,2017,1544000
2018,E37000036,2017,85000
2018,E37000037,2017,3071000
2018,E37000038,2017,137000
2018,E37000039,2017,4142000
2018,E37000040,2017,3263000
2018,E37000041,2017,3854000
2018,E37000042,2017,11290000
