year,lep_id,lep_year_spec,consultancy_facilities_public_third
2014,E37000001,2014,9090000
2014,E37000002,2014,1312000
2014,E37000003,2014,426000
2014,E37000004,2014,5784000
2014,E37000005,2014,7000
2014,E37000006,2014,4607000
2014,E37000007,2014,91000
2014,E37000008,2014,4258000
2014,E37000009,2014,405000
2014,E37000010,2014,2295000
2014,E37000011,2014,263000
2014,E37000012,2014,6377000
2014,E37000013,2014,15959000
2014,E37000014,2014,500000
2014,E37000015,2014,7730000
2014,E37000016,2014,3172000
2014,E37000017,2014,3298000
2014,E37000018,2014,4280000
2014,E37000019,2014,12735000
2014,E37000020,2014,18320000
2014,E37000021,2014,15594000
2014,E37000022,2014,2911000
2014,E37000023,2014,55485000
2014,E37000024,2014,10820000
2014,E37000025,2014,9374000
2014,E37000026,2014,432000
2014,E37000027,2014,5471000
2014,E37000029,2014,26887000
2014,E37000030,2014,9653000
2014,E37000031,2014,2982000
2014,E37000032,2014,7497000
2014,E37000034,2014,4849000
2014,E37000035,2014,1006000
2014,E37000036,2014,3000
2014,E37000037,2014,7110000
2014,E37000038,2014,250000
2014,E37000039,2014,3699000
2014,E37000040,2014,4916000
2015,E37000001,2014,6687000
2015,E37000002,2014,1400000
2015,E37000003,2014,587000
2015,E37000004,2014,6305000
2015,E37000005,2014,5000
2015,E37000006,2014,6766000
2015,E37000007,2014,87000
2015,E37000008,2014,3470000
2015,E37000009,2014,315000
2015,E37000010,2014,1555000
2015,E37000011,2014,194000
2015,E37000012,2014,6056000
2015,E37000013,2014,12990000
2015,E37000014,2014,385000
2015,E37000015,2014,6458000
2015,E37000016,2014,1934000
2015,E37000017,2014,3423000
2015,E37000018,2014,3394000
2015,E37000019,2014,11710000
2015,E37000020,2014,34916000
2015,E37000021,2014,14553000
2015,E37000022,2014,2417000
2015,E37000023,2014,55128000
2015,E37000024,2014,10341000
2015,E37000025,2014,10278000
2015,E37000026,2014,965000
2015,E37000027,2014,5794000
2015,E37000029,2014,28898000
2015,E37000030,2014,11934000
2015,E37000031,2014,2853000
2015,E37000032,2014,7865000
2015,E37000034,2014,5232000
2015,E37000035,2014,770000
2015,E37000036,2014,230000
2015,E37000037,2014,6520000
2015,E37000038,2014,934000
2015,E37000039,2014,3454000
2015,E37000040,2014,5785000
2016,E37000001,2014,5844000
2016,E37000002,2014,404000
2016,E37000003,2014,377000
2016,E37000004,2014,5693000
2016,E37000005,2014,6000
2016,E37000006,2014,4765000
2016,E37000007,2014,126000
2016,E37000008,2014,3764000
2016,E37000009,2014,303000
2016,E37000010,2014,1608000
2016,E37000011,2014,420000
2016,E37000012,2014,6204000
2016,E37000013,2014,12112000
2016,E37000014,2014,291000
2016,E37000015,2014,5290000
2016,E37000016,2014,2285000
2016,E37000017,2014,1943000
2016,E37000018,2014,3427000
2016,E37000019,2014,18767000
2016,E37000020,2014,32257000
2016,E37000021,2014,17197000
2016,E37000022,2014,3100000
2016,E37000023,2014,57020000
2016,E37000024,2014,10032000
2016,E37000025,2014,10710000
2016,E37000026,2014,2958000
2016,E37000027,2014,5349000
2016,E37000029,2014,31110000
2016,E37000030,2014,12834000
2016,E37000031,2014,5129000
2016,E37000032,2014,8547000
2016,E37000034,2014,5018000
2016,E37000035,2014,799000
2016,E37000036,2014,360000
2016,E37000037,2014,6159000
2016,E37000038,2014,831000
2016,E37000039,2014,2606000
2016,E37000040,2014,6242000
2017,E37000001,2017,948000
2017,E37000002,2017,219000
2017,E37000003,2017,660000
2017,E37000004,2017,5949000
2017,E37000005,2017,2000
2017,E37000006,2017,4435000
2017,E37000007,2017,163000
2017,E37000008,2017,4509000
2017,E37000009,2017,400000
2017,E37000010,2017,1657000
2017,E37000011,2017,344000
2017,E37000012,2017,7144000
2017,E37000014,2017,274000
2017,E37000015,2017,5962000
2017,E37000016,2017,2168000
2017,E37000017,2017,1576000
2017,E37000018,2017,3107000
2017,E37000019,2017,20984000
2017,E37000020,2017,34025000
2017,E37000021,2017,18369000
2017,E37000022,2017,3078000
2017,E37000023,2017,59838000
2017,E37000024,2017,10445000
2017,E37000025,2017,10900000
2017,E37000027,2017,5469000
2017,E37000029,2017,33215000
2017,E37000030,2017,12227000
2017,E37000032,2017,5113000
2017,E37000034,2017,3895000
2017,E37000035,2017,1489000
2017,E37000036,2017,196000
2017,E37000037,2017,4752000
2017,E37000038,2017,367000
2017,E37000039,2017,2975000
2017,E37000040,2017,5876000
2017,E37000041,2017,4795000
2017,E37000042,2017,15599000
2018,E37000001,2017,747000
2018,E37000002,2017,189000
2018,E37000003,2017,1306000
2018,E37000004,2017,6290000
2018,E37000005,2017,28000
2018,E37000006,2017,4664000
2018,E37000007,2017,288000
2018,E37000008,2017,4678000
2018,E37000009,2017,192000
2018,E37000010,2017,1404000
2018,E37000011,2017,254000
2018,E37000012,2017,7346000
2018,E37000014,2017,525000
2018,E37000015,2017,6247000
2018,E37000016,2017,3194000
2018,E37000017,2017,5934000
2018,E37000018,2017,3420000
2018,E37000019,2017,18378000
2018,E37000020,2017,32801000
2018,E37000021,2017,18676000
2018,E37000022,2017,2853000
2018,E37000023,2017,63358000
2018,E37000024,2017,10257000
2018,E37000025,2017,9133000
2018,E37000027,2017,8811000
2018,E37000029,2017,32318000
2018,E37000030,2017,13202000
2018,E37000032,2017,5616000
2018,E37000034,2017,3438000
2018,E37000035,2017,830000
2018,E37000036,2017,77000
2018,E37000037,2017,7316000
2018,E37000038,2017,477000
2018,E37000039,2017,2437000
2018,E37000040,2017,5576000
2018,E37000041,2017,3516000
2018,E37000042,2017,13734000
