year,nuts_id,nuts_year_spec,contract_research_public_third
2014,UKC1,2013,4814000.0
2014,UKC2,2013,23173000.0
2014,UKD1,2013,176000.0
2014,UKD3,2013,32383000.0
2014,UKD4,2013,7287000.0
2014,UKD6,2013,552000.0
2014,UKD7,2013,8072000.0
2014,UKE1,2013,3412000.0
2014,UKE2,2013,14232000.0
2014,UKE3,2013,25302000.0
2014,UKE4,2013,45468000.0
2014,UKF1,2013,8461000.0
2014,UKF2,2013,13206000.0
2014,UKF3,2013,1979000.0
2014,UKG1,2013,242000.0
2014,UKG2,2013,2022000.0
2014,UKG3,2013,53363000.0
2014,UKH1,2013,10462000.0
2014,UKH2,2013,7380000.0
2014,UKH3,2013,12905000.0
2014,UKI3,2013,161282000.0
2014,UKI4,2013,4091000.0
2014,UKI5,2013,7843000.0
2014,UKI6,2013,137000.0
2014,UKI7,2013,2614000.0
2014,UKJ1,2013,92864000.0
2014,UKJ2,2013,17443000.0
2014,UKJ3,2013,17116000.0
2014,UKJ4,2013,3576000.0
2014,UKK1,2013,33598000.0
2014,UKK2,2013,651000.0
2014,UKK3,2013,28000.0
2014,UKK4,2013,19766000.0
2014,UKL1,2013,9738000.0
2014,UKL2,2013,1696000.0
2014,UKM2,2013,16623000.0
2014,UKM3,2013,32162000.0
2014,UKM5,2013,3894000.0
2014,UKM6,2013,2440000.0
2014,UKN0,2013,17248000.0
2015,UKC1,2013,5278000.0
2015,UKC2,2013,24550000.0
2015,UKD1,2013,140000.0
2015,UKD3,2013,32182000.0
2015,UKD4,2013,7513000.0
2015,UKD6,2013,437000.0
2015,UKD7,2013,7535000.0
2015,UKE1,2013,2589000.0
2015,UKE2,2013,13343000.0
2015,UKE3,2013,23340000.0
2015,UKE4,2013,37469000.0
2015,UKF1,2013,17504000.0
2015,UKF2,2013,15077000.0
2015,UKF3,2013,3291000.0
2015,UKG1,2013,455000.0
2015,UKG2,2013,1596000.0
2015,UKG3,2013,53756000.0
2015,UKH1,2013,9916000.0
2015,UKH2,2013,7289000.0
2015,UKH3,2013,13590000.0
2015,UKI3,2013,165717000.0
2015,UKI4,2013,3335000.0
2015,UKI5,2013,9972000.0
2015,UKI6,2013,89000.0
2015,UKI7,2013,2685000.0
2015,UKJ1,2013,106511000.0
2015,UKJ2,2013,18217000.0
2015,UKJ3,2013,17562000.0
2015,UKJ4,2013,3302000.0
2015,UKK1,2013,39128000.0
2015,UKK2,2013,1409000.0
2015,UKK3,2013,12000.0
2015,UKK4,2013,13772000.0
2015,UKL1,2013,7467000.0
2015,UKL2,2013,1393000.0
2015,UKM2,2013,15154000.0
2015,UKM3,2013,30409000.0
2015,UKM5,2013,3002000.0
2015,UKM6,2013,2420000.0
2015,UKN0,2013,17333000.0
2016,UKC1,2016,5077000.0
2016,UKC2,2016,24093000.0
2016,UKD1,2016,221000.0
2016,UKD3,2016,30997000.0
2016,UKD4,2016,8201000.0
2016,UKD6,2016,202000.0
2016,UKD7,2016,7700000.0
2016,UKE1,2016,2774000.0
2016,UKE2,2016,14328000.0
2016,UKE3,2016,33943000.0
2016,UKE4,2016,40986000.0
2016,UKF1,2016,19700000.0
2016,UKF2,2016,14720000.0
2016,UKF3,2016,3220000.0
2016,UKG1,2016,604000.0
2016,UKG2,2016,2085000.0
2016,UKG3,2016,51009000.0
2016,UKH1,2016,8607000.0
2016,UKH2,2016,7372000.0
2016,UKH3,2016,13785000.0
2016,UKI3,2016,167842000.0
2016,UKI4,2016,3844000.0
2016,UKI5,2016,7112000.0
2016,UKI6,2016,198000.0
2016,UKI7,2016,4271000.0
2016,UKJ1,2016,115861000.0
2016,UKJ2,2016,18016000.0
2016,UKJ3,2016,19974000.0
2016,UKJ4,2016,2060000.0
2016,UKK1,2016,43760000.0
2016,UKK2,2016,632000.0
2016,UKK3,2016,3000.0
2016,UKK4,2016,13266000.0
2016,UKL1,2016,7530000.0
2016,UKL2,2016,2059000.0
2016,UKM5,2016,2503000.0
2016,UKM6,2016,2054000.0
2016,UKM7,2016,15296000.0
2016,UKM8,2016,30437000.0
2016,UKN0,2016,23394000.0
2017,UKC1,2016,3629000.0
2017,UKC2,2016,22450000.0
2017,UKD1,2016,277000.0
2017,UKD3,2016,31814000.0
2017,UKD4,2016,8313000.0
2017,UKD6,2016,30000.0
2017,UKD7,2016,8833000.0
2017,UKE1,2016,1462000.0
2017,UKE2,2016,14590000.0
2017,UKE3,2016,38099000.0
2017,UKE4,2016,45820000.0
2017,UKF1,2016,24510000.0
2017,UKF2,2016,11460000.0
2017,UKF3,2016,5061000.0
2017,UKG1,2016,280000.0
2017,UKG2,2016,1855000.0
2017,UKG3,2016,53968000.0
2017,UKH1,2016,5936000.0
2017,UKH2,2016,7220000.0
2017,UKH3,2016,14555000.0
2017,UKI3,2016,133767000.0
2017,UKI4,2016,5046000.0
2017,UKI5,2016,7706000.0
2017,UKI6,2016,500000.0
2017,UKI7,2016,4282000.0
2017,UKJ1,2016,112110000.0
2017,UKJ2,2016,20091000.0
2017,UKJ3,2016,20570000.0
2017,UKJ4,2016,3360000.0
2017,UKK1,2016,30384000.0
2017,UKK2,2016,826000.0
2017,UKK3,2016,0.0
2017,UKK4,2016,16304000.0
2017,UKL1,2016,6246000.0
2017,UKL2,2016,3086000.0
2017,UKM5,2016,1989000.0
2017,UKM6,2016,2622000.0
2017,UKM7,2016,16617000.0
2017,UKM8,2016,27878000.0
2017,UKN0,2016,32410000.0
2018,UKC1,2016,4091000.0
2018,UKC2,2016,21383000.0
2018,UKD1,2016,142000.0
2018,UKD3,2016,36963000.0
2018,UKD4,2016,8703000.0
2018,UKD6,2016,84000.0
2018,UKD7,2016,10450000.0
2018,UKE1,2016,2008000.0
2018,UKE2,2016,15259000.0
2018,UKE3,2016,27932000.0
2018,UKE4,2016,46195000.0
2018,UKF1,2016,21835000.0
2018,UKF2,2016,9619000.0
2018,UKF3,2016,6692000.0
2018,UKG1,2016,309000.0
2018,UKG2,2016,1514000.0
2018,UKG3,2016,61423000.0
2018,UKH1,2016,6062000.0
2018,UKH2,2016,6008000.0
2018,UKH3,2016,14832000.0
2018,UKI3,2016,134079000.0
2018,UKI4,2016,4328000.0
2018,UKI5,2016,6098000.0
2018,UKI6,2016,252000.0
2018,UKI7,2016,3393000.0
2018,UKJ1,2016,104724000.0
2018,UKJ2,2016,20717000.0
2018,UKJ3,2016,19876000.0
2018,UKJ4,2016,2422000.0
2018,UKK1,2016,28029000.0
2018,UKK2,2016,913000.0
2018,UKK3,2016,0.0
2018,UKK4,2016,17153000.0
2018,UKL1,2016,7847000.0
2018,UKL2,2016,4603000.0
2018,UKM5,2016,1514000.0
2018,UKM6,2016,1852000.0
2018,UKM7,2016,19037000.0
2018,UKM8,2016,27816000.0
2018,UKN0,2016,26387000.0
