year,nuts_id,nuts_year_spec,contract_research_sme
2014,UKC12,2013,181000
2014,UKC14,2013,410000
2014,UKC22,2013,635000
2014,UKC23,2013,0
2014,UKD12,2013,8000
2014,UKD33,2013,3176000
2014,UKD34,2013,194000
2014,UKD36,2013,45000
2014,UKD44,2013,262000
2014,UKD45,2013,32000
2014,UKD47,2013,0
2014,UKD63,2013,0
2014,UKD72,2013,1954000
2014,UKE11,2013,187000
2014,UKE21,2013,143000
2014,UKE32,2013,2515000
2014,UKE41,2013,300000
2014,UKE42,2013,1247000
2014,UKE44,2013,17000
2014,UKF11,2013,23000
2014,UKF14,2013,1411000
2014,UKF21,2013,837000
2014,UKF22,2013,496000
2014,UKF24,2013,10000
2014,UKF30,2013,155000
2014,UKG12,2013,111000
2014,UKG21,2013,125000
2014,UKG23,2013,4000
2014,UKG24,2013,11000
2014,UKG31,2013,2529000
2014,UKG33,2013,1661000
2014,UKG39,2013,0
2014,UKH12,2013,462000
2014,UKH14,2013,0
2014,UKH15,2013,118000
2014,UKH21,2013,148000
2014,UKH23,2013,227000
2014,UKH25,2013,1165000
2014,UKH34,2013,18000
2014,UKH36,2013,354000
2014,UKI31,2013,4164000
2014,UKI32,2013,1292000
2014,UKI33,2013,244000
2014,UKI34,2013,81000
2014,UKI41,2013,0
2014,UKI42,2013,1080000
2014,UKI43,2013,287000
2014,UKI44,2013,87000
2014,UKI51,2013,67000
2014,UKI63,2013,16000
2014,UKI71,2013,7000
2014,UKI73,2013,0
2014,UKI74,2013,927000
2014,UKI75,2013,0
2014,UKJ11,2013,298000
2014,UKJ12,2013,42000
2014,UKJ13,2013,99000
2014,UKJ14,2013,2327000
2014,UKJ21,2013,354000
2014,UKJ25,2013,460000
2014,UKJ27,2013,0
2014,UKJ31,2013,243000
2014,UKJ32,2013,1357000
2014,UKJ36,2013,3000
2014,UKJ44,2013,32000
2014,UKK11,2013,288000
2014,UKK12,2013,283000
2014,UKK13,2013,67000
2014,UKK21,2013,61000
2014,UKK30,2013,0
2014,UKK41,2013,83000
2014,UKK43,2013,250000
2014,UKL12,2013,176000
2014,UKL14,2013,425000
2014,UKL15,2013,3000
2014,UKL18,2013,0
2014,UKL22,2013,1520000
2014,UKL23,2013,22000
2014,UKM21,2013,190000
2014,UKM22,2013,408000
2014,UKM23,2013,0
2014,UKM25,2013,1354000
2014,UKM27,2013,16000
2014,UKM34,2013,1402000
2014,UKM35,2013,129000
2014,UKM50,2013,6009000
2014,UKM62,2013,623000
2014,UKN01,2013,375000
2014,UKN04,2013,152000
2015,UKC12,2013,254000
2015,UKC14,2013,378000
2015,UKC22,2013,978000
2015,UKC23,2013,0
2015,UKD12,2013,0
2015,UKD33,2013,3484000
2015,UKD34,2013,88000
2015,UKD36,2013,87000
2015,UKD44,2013,1235000
2015,UKD45,2013,86000
2015,UKD47,2013,0
2015,UKD63,2013,39000
2015,UKD72,2013,2418000
2015,UKE11,2013,116000
2015,UKE21,2013,151000
2015,UKE32,2013,3601000
2015,UKE41,2013,229000
2015,UKE42,2013,1513000
2015,UKE44,2013,284000
2015,UKF11,2013,125000
2015,UKF14,2013,2352000
2015,UKF21,2013,974000
2015,UKF22,2013,344000
2015,UKF24,2013,16000
2015,UKF30,2013,167000
2015,UKG12,2013,1000
2015,UKG21,2013,225000
2015,UKG23,2013,10000
2015,UKG24,2013,0
2015,UKG31,2013,2268000
2015,UKG33,2013,752000
2015,UKG39,2013,0
2015,UKH12,2013,830000
2015,UKH14,2013,0
2015,UKH15,2013,61000
2015,UKH21,2013,1000
2015,UKH23,2013,210000
2015,UKH25,2013,1103000
2015,UKH34,2013,17000
2015,UKH36,2013,47000
2015,UKI31,2013,3603000
2015,UKI32,2013,1841000
2015,UKI33,2013,497000
2015,UKI34,2013,194000
2015,UKI41,2013,0
2015,UKI42,2013,801000
2015,UKI43,2013,927000
2015,UKI44,2013,119000
2015,UKI51,2013,77000
2015,UKI63,2013,11000
2015,UKI71,2013,103000
2015,UKI73,2013,0
2015,UKI74,2013,125000
2015,UKI75,2013,0
2015,UKJ11,2013,589000
2015,UKJ12,2013,0
2015,UKJ13,2013,48000
2015,UKJ14,2013,2440000
2015,UKJ21,2013,378000
2015,UKJ25,2013,798000
2015,UKJ27,2013,0
2015,UKJ31,2013,296000
2015,UKJ32,2013,1755000
2015,UKJ36,2013,6000
2015,UKJ44,2013,20000
2015,UKK11,2013,345000
2015,UKK12,2013,476000
2015,UKK13,2013,135000
2015,UKK21,2013,132000
2015,UKK30,2013,5000
2015,UKK41,2013,93000
2015,UKK43,2013,421000
2015,UKL12,2013,128000
2015,UKL14,2013,642000
2015,UKL15,2013,56000
2015,UKL18,2013,0
2015,UKL22,2013,1728000
2015,UKL23,2013,39000
2015,UKM21,2013,96000
2015,UKM22,2013,535000
2015,UKM23,2013,0
2015,UKM25,2013,1245000
2015,UKM27,2013,7000
2015,UKM34,2013,1713000
2015,UKM35,2013,82000
2015,UKM50,2013,5987000
