year,nuts_id,nuts_year_spec,gbp_business_consulting
2014,UKH2,2016,12654000
2014,UKJ1,2016,12976000
2014,UKD6,2016,659000
2014,UKK3,2016,33000
2014,UKD1,2016,193000
2014,UKF1,2016,9456000
2014,UKK4,2016,5832000
2014,UKK2,2016,1225000
2014,UKH1,2016,39481000
2014,UKL2,2016,7275000
2014,UKE1,2016,5327000
2014,UKM7,2016,63006000
2014,UKH3,2016,27992000
2014,UKK1,2016,11044000
2014,UKD3,2016,11528000
2014,UKJ3,2016,32829000
2014,UKG1,2016,211000
2014,UKM6,2016,2536000
2014,UKI4,2016,24328000
2014,UKI3,2016,85046000
2014,UKJ4,2016,4251000
2014,UKD4,2016,20446000
2014,UKF2,2016,20327000
2014,UKF3,2016,658000
2014,UKD7,2016,15162000
2014,UKM5,2016,1431000
2014,UKE2,2016,8297000
2014,UKN0,2016,10053000
2014,UKC2,2016,6776000
2014,UKI5,2016,3288000
2014,UKI6,2016,314000
2014,UKI7,2016,1058000
2014,UKG2,2016,7259000
2014,UKE3,2016,9060000
2014,UKJ2,2016,7759000
2014,UKC1,2016,12972000
2014,UKM8,2016,16259000
2014,UKG3,2016,24742000
2014,UKL1,2016,7698000
2014,UKE4,2016,14705000
2015,UKH2,2016,11256000
2015,UKJ1,2016,13358000
2015,UKD6,2016,831000
2015,UKK3,2016,3000
2015,UKD1,2016,85000
2015,UKF1,2016,9660000
2015,UKK4,2016,5180000
2015,UKK2,2016,812000
2015,UKH1,2016,32380000
2015,UKL2,2016,5802000
2015,UKE1,2016,4756000
2015,UKM7,2016,70555000
2015,UKH3,2016,27087000
2015,UKK1,2016,10745000
2015,UKD3,2016,11231000
2015,UKJ3,2016,36539000
2015,UKG1,2016,136000
2015,UKM6,2016,1844000
2015,UKI4,2016,24598000
2015,UKI3,2016,91565000
2015,UKJ4,2016,5979000
2015,UKD4,2016,16463000
2015,UKF2,2016,18322000
2015,UKF3,2016,1156000
2015,UKD7,2016,13452000
2015,UKM5,2016,1515000
2015,UKE2,2016,8090000
2015,UKN0,2016,8105000
2015,UKC2,2016,6297000
2015,UKI5,2016,3018000
2015,UKI6,2016,390000
2015,UKI7,2016,1327000
2015,UKG2,2016,8215000
2015,UKE3,2016,10479000
2015,UKJ2,2016,6673000
2015,UKC1,2016,12997000
2015,UKM8,2016,20802000
2015,UKG3,2016,24168000
2015,UKL1,2016,8354000
2015,UKE4,2016,18384000
2016,UKH2,2016,10462000
2016,UKJ1,2016,14146000
2016,UKD6,2016,646000
2016,UKK3,2016,8000
2016,UKD1,2016,485000
2016,UKF1,2016,9159000
2016,UKK4,2016,5996000
2016,UKK2,2016,486000
2016,UKH1,2016,29248000
2016,UKL2,2016,6596000
2016,UKE1,2016,4642000
2016,UKM7,2016,78418000
2016,UKH3,2016,23133000
2016,UKK1,2016,10069000
2016,UKD3,2016,10587000
2016,UKJ3,2016,38503000
2016,UKG1,2016,716000
2016,UKM6,2016,2411000
2016,UKI4,2016,22935000
2016,UKI3,2016,105095000
2016,UKJ4,2016,5499000
2016,UKD4,2016,21089000
2016,UKF2,2016,21989000
2016,UKF3,2016,329000
2016,UKD7,2016,14992000
2016,UKM5,2016,1666000
2016,UKE2,2016,7750000
2016,UKN0,2016,8056000
2016,UKC2,2016,8248000
2016,UKI5,2016,3765000
2016,UKI6,2016,295000
2016,UKI7,2016,1153000
2016,UKG2,2016,10118000
2016,UKE3,2016,8023000
2016,UKJ2,2016,8216000
2016,UKC1,2016,12885000
2016,UKM8,2016,19302000
2016,UKG3,2016,21483000
2016,UKL1,2016,6275000
2016,UKE4,2016,18359000
2017,UKH2,2016,11016000
2017,UKJ1,2016,15061000
2017,UKD6,2016,947000
2017,UKK3,2016,1000
2017,UKD1,2016,350000
2017,UKF1,2016,12724000
2017,UKK4,2016,5319000
2017,UKK2,2016,665000
2017,UKH1,2016,33490000
2017,UKL2,2016,9001000
2017,UKE1,2016,3774000
2017,UKM7,2016,72988000
2017,UKH3,2016,1742000
2017,UKK1,2016,9344000
2017,UKD3,2016,9070000
2017,UKJ3,2016,39948000
2017,UKG1,2016,457000
2017,UKM6,2016,3154000
2017,UKI4,2016,23594000
2017,UKI3,2016,112223000
2017,UKJ4,2016,6146000
2017,UKD4,2016,20469000
2017,UKF2,2016,23466000
2017,UKF3,2016,375000
2017,UKD7,2016,14598000
2017,UKM5,2016,1357000
2017,UKE2,2016,9425000
2017,UKN0,2016,7469000
2017,UKC2,2016,8918000
2017,UKI5,2016,4697000
2017,UKI6,2016,68000
2017,UKI7,2016,1153000
2017,UKG2,2016,6821000
2017,UKE3,2016,7883000
2017,UKJ2,2016,8381000
2017,UKC1,2016,11838000
2017,UKM8,2016,24220000
2017,UKG3,2016,18535000
2017,UKL1,2016,6042000
2017,UKE4,2016,16460000
