year,nuts_id,nuts_year_spec,gbp_non_business_consulting
2014,UKC1,2013,9291000
2015,UKC1,2013,10088000
2016,UKC1,2016,9775000
2017,UKC1,2016,8608000
2014,UKC2,2013,2331000
2015,UKC2,2013,2743000
2016,UKC2,2016,3276000
2017,UKC2,2016,3265000
2014,UKD1,2013,75000
2015,UKD1,2013,69000
2016,UKD1,2016,105000
2017,UKD1,2016,161000
2014,UKD3,2013,3882000
2015,UKD3,2013,3340000
2016,UKD3,2016,2311000
2017,UKD3,2016,2728000
2014,UKD4,2013,11228000
2015,UKD4,2013,10656000
2016,UKD4,2016,17515000
2017,UKD4,2016,17054000
2014,UKD6,2013,410000
2015,UKD6,2013,569000
2016,UKD6,2016,366000
2017,UKD6,2016,643000
2014,UKD7,2013,2230000
2015,UKD7,2013,1670000
2016,UKD7,2016,2764000
2017,UKD7,2016,2516000
2014,UKE1,2013,4128000
2015,UKE1,2013,3376000
2016,UKE1,2016,3427000
2017,UKE1,2016,3107000
2014,UKE2,2013,2577000
2015,UKE2,2013,2526000
2016,UKE2,2016,2277000
2017,UKE2,2016,2175000
2014,UKE3,2013,3692000
2015,UKE3,2013,3950000
2016,UKE3,2016,3493000
2017,UKE3,2016,3527000
2014,UKE4,2013,6166000
2015,UKE4,2013,6792000
2016,UKE4,2016,10635000
2017,UKE4,2016,9409000
2014,UKF1,2013,3057000
2015,UKF1,2013,1293000
2016,UKF1,2016,1881000
2017,UKF1,2016,2438000
2014,UKF2,2013,11717000
2015,UKF2,2013,10157000
2016,UKF2,2016,13740000
2017,UKF2,2016,14837000
2014,UKF3,2013,403000
2015,UKF3,2013,261000
2016,UKF3,2016,183000
2017,UKF3,2016,166000
2014,UKG1,2013,175000
2015,UKG1,2013,117000
2016,UKG1,2016,518000
2017,UKG1,2016,195000
2014,UKG2,2013,6442000
2015,UKG2,2013,7180000
2016,UKG2,2016,8172000
2017,UKG2,2016,4317000
2014,UKG3,2013,16679000
2015,UKG3,2013,16816000
2016,UKG3,2016,14145000
2017,UKG3,2016,9814000
2014,UKH1,2013,22470000
2015,UKH1,2013,19061000
2016,UKH1,2016,16943000
2017,UKH1,2016,18759000
2014,UKH2,2013,4274000
2015,UKH2,2013,4248000
2016,UKH2,2016,2630000
2017,UKH2,2016,2265000
2014,UKH3,2013,1513000
2015,UKH3,2013,1491000
2016,UKH3,2016,1466000
2017,UKH3,2016,1470000
2014,UKI3,2013,27375000
2015,UKI3,2013,28378000
2016,UKI3,2016,29770000
2017,UKI3,2016,27688000
2014,UKI4,2013,17724000
2015,UKI4,2013,18573000
2016,UKI4,2016,18023000
2017,UKI4,2016,17974000
2014,UKI5,2013,1906000
2015,UKI5,2013,1424000
2016,UKI5,2016,2217000
2017,UKI5,2016,3253000
2014,UKI6,2013,194000
2015,UKI6,2013,103000
2016,UKI6,2016,28000
2017,UKI6,2016,15000
2014,UKI7,2013,538000
2015,UKI7,2013,709000
2016,UKI7,2016,398000
2017,UKI7,2016,449000
2014,UKJ1,2013,6794000
2015,UKJ1,2013,6206000
2016,UKJ1,2016,6013000
2017,UKJ1,2016,6309000
2014,UKJ2,2013,5431000
2015,UKJ2,2013,4779000
2016,UKJ2,2016,4355000
2017,UKJ2,2016,4421000
2014,UKJ3,2013,25313000
2015,UKJ3,2013,26809000
2016,UKJ3,2016,30094000
2017,UKJ3,2016,32161000
2014,UKJ4,2013,3649000
2015,UKJ4,2013,5141000
2016,UKJ4,2016,4853000
2017,UKJ4,2016,5315000
2014,UKK1,2013,5468000
2015,UKK1,2013,4537000
2016,UKK1,2016,4465000
2017,UKK1,2016,3309000
2014,UKK2,2013,405000
2015,UKK2,2013,315000
2016,UKK2,2016,303000
2017,UKK2,2016,400000
2014,UKK3,2013,4000
2015,UKK3,2013,0
2016,UKK3,2016,3000
2017,UKK3,2016,0
2014,UKK4,2013,2724000
2015,UKK4,2013,1790000
2016,UKK4,2016,2154000
2017,UKK4,2016,2013000
2014,UKL1,2013,3833000
2015,UKL1,2013,4047000
2016,UKL1,2016,3304000
2017,UKL1,2016,3016000
2014,UKL2,2013,4563000
2015,UKL2,2013,3563000
2016,UKL2,2016,4374000
2017,UKL2,2016,5168000
2014,UKM2,2013,16384000
2015,UKM2,2013,17147000
2014,UKM3,2013,5533000
2015,UKM3,2013,10467000
2014,UKM5,2013,556000
2015,UKM5,2013,628000
2016,UKM5,2016,706000
2017,UKM5,2016,282000
2014,UKM6,2013,637000
2015,UKM6,2013,445000
2016,UKM6,2016,1100000
2017,UKM6,2016,1537000
2016,UKM7,2016,16391000
2017,UKM7,2016,15738000
2016,UKM8,2016,11599000
2017,UKM8,2016,16392000
2014,UKN0,2013,4436000
2015,UKN0,2013,3340000
2016,UKN0,2016,3220000
2017,UKN0,2016,2572000
