year,nuts_id,nuts_year_spec,area_university_site
2015,UKC12,2013,40.51
2016,UKC12,2013,40.51
2017,UKC12,2013,40.51
2018,UKC12,2016,40.51
2015,UKC14,2013,200.0
2016,UKC14,2013,200.0
2017,UKC14,2013,258.0
2018,UKC14,2016,258.0
2015,UKC22,2013,680.854
2016,UKC22,2013,677.064
2017,UKC22,2013,678.223
2018,UKC22,2016,629.923
2015,UKC23,2013,29.72
2016,UKC23,2013,28.01
2017,UKC23,2013,28.7
2018,UKC23,2016,29.1
2015,UKD12,2013,37.055
2016,UKD12,2013,37.105
2017,UKD12,2013,33.918
2018,UKD12,2016,33.918
2015,UKD33,2013,202.27
2016,UKD33,2013,205.08
2017,UKD33,2013,202.27500000000003
2018,UKD33,2016,201.29000000000002
2015,UKD34,2013,50.0
2016,UKD34,2013,48.0
2017,UKD34,2013,48.0
2018,UKD34,2016,32.0
2015,UKD36,2013,10.634
2016,UKD36,2013,10.634
2017,UKD36,2013,11.872
2018,UKD36,2016,0.0
2015,UKD44,2013,155.7
2016,UKD44,2013,155.7
2017,UKD44,2013,160.8
2018,UKD44,2016,164.4
2015,UKD45,2013,58.352
2016,UKD45,2013,58.426
2017,UKD45,2013,58.337
2018,UKD45,2016,58.908
2015,UKD47,2013,51.0
2016,UKD47,2013,51.0
2017,UKD47,2013,51.0
2018,UKD47,2016,51.0
2015,UKD63,2013,76.13
2016,UKD63,2013,73.61
2017,UKD63,2013,73.61
2018,UKD63,2016,78.1
2015,UKD72,2013,287.396
2016,UKD72,2013,287.826
2017,UKD72,2013,290.716
2018,UKD72,2016,290.736
2015,UKE11,2013,116.0
2016,UKE11,2013,90.34
2017,UKE11,2013,90.34
2018,UKE11,2016,89.46
2015,UKE21,2013,229.48
2016,UKE21,2013,229.48
2017,UKE21,2013,229.48
2018,UKE21,2016,229.48
2015,UKE32,2013,143.671
2016,UKE32,2013,166.587
2017,UKE32,2013,174.81799999999998
2018,UKE32,2016,158.62
2015,UKE41,2013,50.1
2016,UKE41,2013,50.1
