year,nuts_id,nuts_year_spec,fte_research_students
2015,UKC12,2013,130.0
2016,UKC12,2013,150.0
2017,UKC12,2013,175.0
2018,UKC12,2016,185.0
2015,UKC14,2013,1225.0
2016,UKC14,2013,1185.0
2017,UKC14,2013,1185.0
2018,UKC14,2016,1180.0
2015,UKC22,2013,2200.0
2016,UKC22,2013,2270.0
2017,UKC22,2013,2245.0
2018,UKC22,2016,2230.0
2015,UKC23,2013,135.0
2016,UKC23,2013,120.0
2017,UKC23,2013,145.0
2018,UKC23,2016,140.0
2015,UKD12,2013,50.0
2016,UKD12,2013,45.0
2017,UKD12,2013,45.0
2018,UKD12,2016,30.0
2015,UKD33,2013,3470.0
2016,UKD33,2013,3655.0
2017,UKD33,2013,3830.0
2018,UKD33,2016,3855.0
2015,UKD34,2013,605.0
2016,UKD34,2013,495.0
2017,UKD34,2013,400.0
2018,UKD34,2016,340.0
2015,UKD36,2013,130.0
2016,UKD36,2013,150.0
2017,UKD36,2013,155.0
2018,UKD36,2016,195.0
2015,UKD44,2013,1195.0
2016,UKD44,2013,1170.0
2017,UKD44,2013,1195.0
2018,UKD44,2016,1185.0
2015,UKD45,2013,460.0
2016,UKD45,2013,425.0
2017,UKD45,2013,420.0
2018,UKD45,2016,335.0
2015,UKD47,2013,75.0
2016,UKD47,2013,85.0
2017,UKD47,2013,115.0
2018,UKD47,2016,125.0
2015,UKD63,2013,210.0
2016,UKD63,2013,230.0
2017,UKD63,2013,215.0
2018,UKD63,2016,225.0
2015,UKD72,2013,1980.0
2016,UKD72,2013,2090.0
2017,UKD72,2013,2100.0
2018,UKD72,2016,2100.0
2015,UKE11,2013,690.0
2016,UKE11,2013,640.0
2017,UKE11,2013,520.0
2018,UKE11,2016,490.0
2015,UKE21,2013,1245.0
2016,UKE21,2013,1240.0
2017,UKE21,2013,1240.0
2018,UKE21,2016,1250.0
2015,UKE32,2013,2600.0
2016,UKE32,2013,2515.0
2017,UKE32,2013,2445.0
2018,UKE32,2016,2490.0
2015,UKE41,2013,275.0
2016,UKE41,2013,255.0
2017,UKE41,2013,235.0
2018,UKE41,2016,225.0
2015,UKE42,2013,2515.0
2016,UKE42,2013,2530.0
2017,UKE42,2013,2510.0
2018,UKE42,2016,2585.0
2015,UKE44,2013,775.0
2016,UKE44,2013,730.0
2017,UKE44,2013,800.0
2018,UKE44,2016,765.0
2015,UKF11,2013,145.0
2016,UKF11,2013,160.0
2017,UKF11,2013,175.0
2018,UKF11,2016,170.0
2015,UKF14,2013,3070.0
2016,UKF14,2013,3040.0
2017,UKF14,2013,3055.0
2018,UKF14,2016,2985.0
2015,UKF21,2013,1495.0
2016,UKF21,2013,1365.0
2017,UKF21,2013,1290.0
2018,UKF21,2016,1275.0
2015,UKF22,2013,905.0
2016,UKF22,2013,860.0
2017,UKF22,2013,785.0
2018,UKF22,2016,895.0
2015,UKF24,2013,160.0
2016,UKF24,2013,145.0
2017,UKF24,2013,155.0
2018,UKF24,2016,155.0
2015,UKF30,2013,355.0
2016,UKF30,2013,330.0
2017,UKF30,2013,350.0
2018,UKF30,2016,360.0
2015,UKG12,2013,75.0
2016,UKG12,2013,80.0
2017,UKG12,2013,75.0
2018,UKG12,2016,90.0
2015,UKG21,2013,45.0
2016,UKG21,2013,45.0
2017,UKG21,2013,25.0
2018,UKG21,2016,35.0
2015,UKG23,2013,145.0
2016,UKG23,2013,140.0
2017,UKG23,2013,135.0
2018,UKG23,2016,130.0
2015,UKG24,2013,320.0
2016,UKG24,2013,325.0
2017,UKG24,2013,305.0
2018,UKG24,2016,290.0
2015,UKG31,2013,2715.0
2016,UKG31,2013,2700.0
2017,UKG31,2013,2740.0
2018,UKG31,2016,605.0
2015,UKG33,2013,1825.0
2016,UKG33,2013,1840.0
2017,UKG33,2013,1925.0
2018,UKG33,2016,1935.0
2015,UKG39,2013,235.0
2016,UKG39,2013,225.0
2017,UKG39,2013,215.0
2018,UKG39,2016,195.0
2015,UKH12,2013,4775.0
2016,UKH12,2013,4660.0
2017,UKH12,2013,4545.0
2018,UKH12,2016,4215.0
2015,UKH14,2013,5.0
2016,UKH14,2013,10.0
2017,UKH14,2013,10.0
2018,UKH14,2016,25.0
2015,UKH15,2013,770.0
2016,UKH15,2013,800.0
2017,UKH15,2013,840.0
2018,UKH15,2016,870.0
2015,UKH21,2013,180.0
2016,UKH21,2013,155.0
2017,UKH21,2013,145.0
2018,UKH21,2016,140.0
2015,UKH23,2013,340.0
2016,UKH23,2013,345.0
2017,UKH23,2013,375.0
2018,UKH23,2016,360.0
2015,UKH25,2013,785.0
2016,UKH25,2013,780.0
2017,UKH25,2013,750.0
2018,UKH25,2016,700.0
2015,UKH34,2013,550.0
2016,UKH34,2013,435.0
2017,UKH34,2013,475.0
2018,UKH34,2016,465.0
2015,UKH36,2013,435.0
2016,UKH36,2013,445.0
2017,UKH36,2013,430.0
2018,UKH36,2016,400.0
2015,UKI31,2013,6140.0
2016,UKI31,2013,6130.0
2017,UKI31,2013,6040.0
2018,UKI31,2016,6030.0
2015,UKI32,2013,6370.0
2016,UKI32,2013,6325.0
2017,UKI32,2013,6335.0
2018,UKI32,2016,6540.0
2015,UKI33,2013,145.0
2016,UKI33,2013,130.0
2017,UKI33,2013,140.0
2018,UKI33,2016,135.0
2015,UKI34,2013,310.0
2016,UKI34,2013,275.0
2017,UKI34,2013,305.0
2018,UKI34,2016,275.0
2015,UKI41,2013,200.0
2016,UKI41,2013,200.0
2017,UKI41,2013,150.0
2018,UKI41,2016,150.0
2015,UKI42,2013,1035.0
2016,UKI42,2013,1070.0
2017,UKI42,2013,1095.0
2018,UKI42,2016,1150.0
2015,UKI43,2013,565.0
2016,UKI43,2013,500.0
2017,UKI43,2013,435.0
2018,UKI43,2016,425.0
2015,UKI44,2013,470.0
2016,UKI44,2013,480.0
2017,UKI44,2013,495.0
2018,UKI44,2016,495.0
2015,UKI51,2013,350.0
2016,UKI51,2013,330.0
2017,UKI51,2013,295.0
2018,UKI51,2016,300.0
2015,UKI63,2013,320.0
2016,UKI63,2013,335.0
2017,UKI63,2013,300.0
2018,UKI63,2016,295.0
2015,UKI71,2013,370.0
2016,UKI71,2013,330.0
2017,UKI71,2013,285.0
2018,UKI71,2016,255.0
2015,UKI73,2013,80.0
2016,UKI73,2013,85.0
2017,UKI73,2013,80.0
2018,UKI73,2016,85.0
2015,UKI74,2013,510.0
2016,UKI74,2013,405.0
2017,UKI74,2013,375.0
2018,UKI74,2016,455.0
2015,UKI75,2013,45.0
2016,UKI75,2013,50.0
2017,UKI75,2013,60.0
2018,UKI75,2016,80.0
2015,UKJ11,2013,1030.0
2016,UKJ11,2013,945.0
2017,UKJ11,2013,865.0
2018,UKJ11,2016,910.0
2015,UKJ12,2013,215.0
2016,UKJ12,2013,260.0
2017,UKJ12,2013,280.0
2018,UKJ12,2016,275.0
2015,UKJ13,2013,25.0
2016,UKJ13,2013,20.0
2017,UKJ13,2013,15.0
2018,UKJ13,2016,15.0
2015,UKJ14,2013,4940.0
2016,UKJ14,2013,4925.0
2017,UKJ14,2013,4365.0
2018,UKJ14,2016,4480.0
2015,UKJ21,2013,1240.0
2016,UKJ21,2013,1175.0
2017,UKJ21,2013,1085.0
2018,UKJ21,2016,1085.0
2015,UKJ25,2013,1435.0
2016,UKJ25,2013,1355.0
2017,UKJ25,2013,1295.0
2018,UKJ25,2016,1335.0
2015,UKJ27,2013,50.0
2016,UKJ27,2013,50.0
2017,UKJ27,2013,55.0
2018,UKJ27,2016,55.0
2015,UKJ31,2013,400.0
2016,UKJ31,2013,445.0
2017,UKJ31,2013,450.0
2018,UKJ31,2016,480.0
2015,UKJ32,2013,2400.0
2016,UKJ32,2013,2245.0
2017,UKJ32,2013,2060.0
2018,UKJ32,2016,1945.0
2015,UKJ36,2013,90.0
2016,UKJ36,2013,105.0
2017,UKJ36,2013,100.0
2018,UKJ36,2016,105.0
2015,UKJ44,2013,1325.0
2016,UKJ44,2013,1365.0
2017,UKJ44,2013,1350.0
2018,UKJ44,2016,1365.0
2015,UKK11,2013,1755.0
2016,UKK11,2013,1740.0
2017,UKK11,2013,1745.0
2018,UKK11,2016,1745.0
2015,UKK12,2013,1185.0
2016,UKK12,2013,1315.0
2017,UKK12,2013,1415.0
2018,UKK12,2016,1355.0
2015,UKK13,2013,175.0
2016,UKK13,2013,170.0
2017,UKK13,2013,165.0
2018,UKK13,2016,150.0
2015,UKK21,2013,390.0
2016,UKK21,2013,420.0
2017,UKK21,2013,375.0
2018,UKK21,2016,360.0
2015,UKK30,2013,20.0
2016,UKK30,2013,15.0
2017,UKK30,2013,20.0
2018,UKK30,2016,25.0
2015,UKK41,2013,520.0
2016,UKK41,2013,460.0
2017,UKK41,2013,435.0
2018,UKK41,2016,385.0
2015,UKK43,2013,1125.0
2016,UKK43,2013,1165.0
2017,UKK43,2013,1245.0
2018,UKK43,2016,1305.0
2015,UKL12,2013,415.0
2016,UKL12,2013,440.0
2017,UKL12,2013,435.0
2018,UKL12,2016,460.0
2015,UKL14,2013,360.0
2016,UKL14,2013,310.0
2017,UKL14,2013,375.0
2018,UKL14,2016,345.0
2015,UKL15,2013,195.0
2016,UKL15,2013,180.0
2017,UKL15,2013,195.0
2018,UKL15,2016,215.0
2015,UKL18,2013,655.0
2016,UKL18,2013,775.0
2017,UKL18,2013,700.0
2018,UKL18,2016,765.0
2015,UKL22,2013,1575.0
2016,UKL22,2013,1600.0
2017,UKL22,2013,1620.0
2018,UKL22,2016,1665.0
2015,UKL23,2013,30.0
2016,UKL23,2013,35.0
2017,UKL23,2013,35.0
2018,UKL23,2016,40.0
2015,UKM21,2013,630.0
2016,UKM21,2013,595.0
2017,UKM21,2013,540.0
2015,UKM22,2013,890.0
2016,UKM22,2013,805.0
2017,UKM22,2013,845.0
2015,UKM23,2013,85.0
2016,UKM23,2013,85.0
2017,UKM23,2013,85.0
2015,UKM25,2013,3595.0
2016,UKM25,2013,3660.0
2017,UKM25,2013,3655.0
2015,UKM27,2013,315.0
2016,UKM27,2013,310.0
2017,UKM27,2013,330.0
2015,UKM34,2013,3685.0
2016,UKM34,2013,3770.0
2017,UKM34,2013,3860.0
2015,UKM35,2013,340.0
2016,UKM35,2013,350.0
2017,UKM35,2013,360.0
2015,UKM50,2013,1030.0
2016,UKM50,2013,1015.0
2017,UKM50,2013,1005.0
2018,UKM50,2016,975.0
2015,UKM62,2013,50.0
2016,UKM62,2013,70.0
2017,UKM62,2013,105.0
2018,UKM62,2016,120.0
2018,UKM71,2016,565.0
2018,UKM72,2016,845.0
2018,UKM73,2016,90.0
2018,UKM75,2016,3565.0
2018,UKM77,2016,325.0
2018,UKM82,2016,4000.0
2018,UKM83,2016,335.0
2015,UKN01,2013,1300.0
2016,UKN01,2013,1340.0
2017,UKN01,2013,1335.0
2015,UKN04,2013,465.0
2016,UKN04,2013,430.0
2017,UKN04,2013,485.0
2018,UKN06,2016,1310.0
2018,UKN12,2016,500.0
