year,lep_id,lep_year_spec,gbp_research_income
2015,E37000001,2014,4299000.0
2016,E37000001,2014,4474000.0
2017,E37000001,2017,6131000.0
2018,E37000001,2017,6164000.0
2015,E37000002,2014,992000.0
2016,E37000002,2014,865000.0
2017,E37000002,2017,986000.0
2018,E37000002,2017,815000.0
2015,E37000003,2014,2814000.0
2016,E37000003,2014,2216000.0
2017,E37000003,2017,3889000.0
2018,E37000003,2017,3875000.0
2015,E37000004,2014,64924000.0
2016,E37000004,2014,65931000.0
2017,E37000004,2017,66481000.0
2018,E37000004,2017,67006000.0
2015,E37000005,2014,896000.0
2016,E37000005,2014,1179000.0
2017,E37000005,2017,1303000.0
2018,E37000005,2017,1412000.0
2015,E37000006,2014,164259000.0
2016,E37000006,2014,175562000.0
2017,E37000006,2017,176095000.0
2018,E37000006,2017,190478000.0
2015,E37000007,2014,531000.0
2016,E37000007,2014,610000.0
2017,E37000007,2017,806000.0
2018,E37000007,2017,655000.0
2015,E37000008,2014,185892000.0
2016,E37000008,2014,186900000.0
2017,E37000008,2017,184596000.0
2018,E37000008,2017,187827000.0
2015,E37000009,2014,7807000.0
2016,E37000009,2014,7317000.0
2017,E37000009,2017,8314000.0
2018,E37000009,2017,9989000.0
2015,E37000010,2014,84065000.0
2016,E37000010,2014,83574000.0
2017,E37000010,2017,86122000.0
2018,E37000010,2017,93073000.0
2015,E37000011,2014,2248000.0
2016,E37000011,2014,2229000.0
2017,E37000011,2017,2274000.0
2018,E37000011,2017,2914000.0
2015,E37000012,2014,201020000.0
2016,E37000012,2014,190140000.0
2017,E37000012,2017,202810000.0
2018,E37000012,2017,28520000.0
2015,E37000013,2014,590439000.0
2016,E37000013,2014,587941000.0
2015,E37000014,2014,9490000.0
2016,E37000014,2014,12243000.0
2017,E37000014,2017,12076000.0
2018,E37000014,2017,12873000.0
2015,E37000015,2014,366059000.0
2016,E37000015,2014,356437000.0
2017,E37000015,2017,395175000.0
2018,E37000015,2017,424233000.0
2015,E37000016,2014,106993000.0
2016,E37000016,2014,116385000.0
2017,E37000016,2017,121483000.0
2018,E37000016,2017,132552000.0
2015,E37000017,2014,13319000.0
2016,E37000017,2014,14985000.0
2017,E37000017,2017,14344000.0
2018,E37000017,2017,12821000.0
2015,E37000018,2014,19625000.0
2016,E37000018,2014,18130000.0
2017,E37000018,2017,17674000.0
2018,E37000018,2017,19218000.0
2015,E37000019,2014,68615000.0
2016,E37000019,2014,69457000.0
2017,E37000019,2017,73138000.0
2018,E37000019,2017,76830000.0
2015,E37000020,2014,290564000.0
2016,E37000020,2014,297395000.0
2017,E37000020,2017,310870000.0
2018,E37000020,2017,329582000.0
2015,E37000021,2014,136008000.0
2016,E37000021,2014,140599000.0
2017,E37000021,2017,142492000.0
2018,E37000021,2017,141114000.0
2015,E37000022,2014,138197000.0
2016,E37000022,2014,139186000.0
2017,E37000022,2017,138946000.0
2018,E37000022,2017,145833000.0
2015,E37000023,2014,1966451000.0
2016,E37000023,2014,1929569000.0
2017,E37000023,2017,1988427000.0
2018,E37000023,2017,2030129000.0
2015,E37000024,2014,50039000.0
2016,E37000024,2014,51851000.0
2017,E37000024,2017,62494000.0
2018,E37000024,2017,72614000.0
2015,E37000025,2014,235612000.0
2016,E37000025,2014,235513000.0
2017,E37000025,2017,237355000.0
2018,E37000025,2017,241524000.0
2015,E37000026,2014,1583000.0
2016,E37000026,2014,2180000.0
2015,E37000027,2014,685563000.0
2016,E37000027,2014,716460000.0
2017,E37000027,2017,730884000.0
2018,E37000027,2017,781623000.0
2015,E37000029,2014,170544000.0
2016,E37000029,2014,196803000.0
2017,E37000029,2017,177830000.0
2018,E37000029,2017,185014000.0
2015,E37000030,2014,75047000.0
2016,E37000030,2014,80023000.0
2017,E37000030,2017,82844000.0
2018,E37000030,2017,86023000.0
2015,E37000031,2014,80837000.0
2016,E37000031,2014,76893000.0
2015,E37000032,2014,25967000.0
2016,E37000032,2014,27628000.0
2017,E37000032,2017,26943000.0
2018,E37000032,2017,26078000.0
2015,E37000034,2014,4372000.0
2016,E37000034,2014,3932000.0
2017,E37000034,2017,3904000.0
2018,E37000034,2017,4805000.0
2015,E37000035,2014,50166000.0
2016,E37000035,2014,53889000.0
2017,E37000035,2017,56186000.0
2018,E37000035,2017,56815000.0
2015,E37000036,2014,3588000.0
2016,E37000036,2014,3680000.0
2017,E37000036,2017,3272000.0
2018,E37000036,2017,3713000.0
2015,E37000037,2014,268020000.0
2016,E37000037,2014,278844000.0
2017,E37000037,2017,291608000.0
2018,E37000037,2017,298888000.0
2015,E37000038,2014,1957000.0
2016,E37000038,2014,2267000.0
2017,E37000038,2017,1966000.0
2018,E37000038,2017,2210000.0
2015,E37000039,2014,88137000.0
2016,E37000039,2014,89641000.0
2017,E37000039,2017,94978000.0
2018,E37000039,2017,99311000.0
2015,E37000040,2014,223692000.0
2016,E37000040,2014,211595000.0
2017,E37000040,2017,252755000.0
2018,E37000040,2017,240227000.0
2017,E37000041,2017,78830000.0
2018,E37000041,2017,88077000.0
2017,E37000042,2017,646604000.0
2018,E37000042,2017,716762000.0
