year,lep_id,lep_year_spec,total_postgraduates
2014,E37000001,2014,170.0
2015,E37000001,2014,195.0
2016,E37000001,2014,200.0
2017,E37000001,2017,175.0
2018,E37000001,2017,160.0
2014,E37000002,2014,150.0
2015,E37000002,2014,150.0
2016,E37000002,2014,145.0
2017,E37000002,2017,160.0
2018,E37000002,2017,155.0
2014,E37000003,2014,75.0
2015,E37000003,2014,85.0
2016,E37000003,2014,85.0
2017,E37000003,2017,90.0
2018,E37000003,2017,125.0
2014,E37000004,2014,1030.0
2015,E37000004,2014,1115.0
2016,E37000004,2014,1055.0
2017,E37000004,2017,980.0
2018,E37000004,2017,1025.0
2014,E37000005,2014,10.0
2015,E37000005,2014,5.0
2016,E37000005,2014,5.0
2017,E37000005,2017,10.0
2018,E37000005,2017,15.0
2014,E37000006,2014,1775.0
2015,E37000006,2014,1815.0
2016,E37000006,2014,1845.0
2017,E37000006,2017,1890.0
2018,E37000006,2017,1825.0
2014,E37000007,2014,10.0
2015,E37000007,2014,25.0
2016,E37000007,2014,15.0
2017,E37000007,2017,15.0
2018,E37000007,2017,10.0
2014,E37000008,2014,3065.0
2015,E37000008,2014,3090.0
2016,E37000008,2014,3135.0
2017,E37000008,2017,3105.0
2018,E37000008,2017,3155.0
2014,E37000009,2014,340.0
2015,E37000009,2014,335.0
2016,E37000009,2014,315.0
2017,E37000009,2017,280.0
2018,E37000009,2017,290.0
2014,E37000010,2014,1445.0
2015,E37000010,2014,1405.0
2016,E37000010,2014,1385.0
2017,E37000010,2017,1345.0
2018,E37000010,2017,1345.0
2014,E37000011,2014,120.0
2015,E37000011,2014,120.0
2016,E37000011,2014,145.0
2017,E37000011,2017,110.0
2018,E37000011,2017,90.0
2014,E37000012,2014,2490.0
2015,E37000012,2014,2500.0
2016,E37000012,2014,2500.0
2017,E37000012,2017,2550.0
2018,E37000012,2017,2805.0
2014,E37000013,2014,4705.0
2015,E37000013,2014,4710.0
2016,E37000013,2014,4610.0
2014,E37000014,2014,240.0
2015,E37000014,2014,255.0
2016,E37000014,2014,255.0
2017,E37000014,2017,260.0
2018,E37000014,2017,275.0
2014,E37000015,2014,4050.0
2015,E37000015,2014,4085.0
2016,E37000015,2014,4200.0
2017,E37000015,2017,4375.0
2018,E37000015,2017,4455.0
2014,E37000016,2014,1555.0
2015,E37000016,2014,1500.0
2016,E37000016,2014,1515.0
2017,E37000016,2017,1605.0
2018,E37000016,2017,1585.0
2014,E37000017,2014,225.0
2015,E37000017,2014,225.0
2016,E37000017,2014,215.0
2017,E37000017,2017,260.0
2018,E37000017,2017,240.0
2014,E37000018,2014,645.0
2015,E37000018,2014,635.0
2016,E37000018,2014,590.0
2017,E37000018,2017,460.0
2018,E37000018,2017,525.0
2014,E37000019,2014,1345.0
2015,E37000019,2014,1240.0
2016,E37000019,2014,1195.0
2017,E37000019,2017,1295.0
2018,E37000019,2017,1265.0
2014,E37000020,2014,4385.0
2015,E37000020,2014,4480.0
2016,E37000020,2014,4480.0
2017,E37000020,2017,4560.0
2018,E37000020,2017,4565.0
2014,E37000021,2014,2150.0
2015,E37000021,2014,2235.0
2016,E37000021,2014,2130.0
2017,E37000021,2017,2020.0
2018,E37000021,2017,2160.0
2014,E37000022,2014,1870.0
2015,E37000022,2014,2065.0
2016,E37000022,2014,2220.0
2017,E37000022,2017,2210.0
2018,E37000022,2017,2255.0
2014,E37000023,2014,15660.0
2015,E37000023,2014,15575.0
2016,E37000023,2014,15485.0
2017,E37000023,2017,15410.0
2018,E37000023,2017,15960.0
2014,E37000024,2014,815.0
2015,E37000024,2014,775.0
2016,E37000024,2014,855.0
2017,E37000024,2017,860.0
2018,E37000024,2017,950.0
2014,E37000025,2014,3315.0
2015,E37000025,2014,3310.0
2016,E37000025,2014,3395.0
2017,E37000025,2017,3365.0
2018,E37000025,2017,3350.0
2014,E37000026,2014,85.0
2015,E37000026,2014,80.0
2016,E37000026,2014,70.0
2014,E37000027,2014,4760.0
2015,E37000027,2014,5215.0
2016,E37000027,2014,5150.0
2017,E37000027,2017,4570.0
2018,E37000027,2017,4675.0
2014,E37000029,2014,2560.0
2015,E37000029,2014,2445.0
2016,E37000029,2014,2340.0
2017,E37000029,2017,2200.0
2018,E37000029,2017,2150.0
2014,E37000030,2014,2030.0
2015,E37000030,2014,2080.0
2016,E37000030,2014,1915.0
2017,E37000030,2017,1995.0
2018,E37000030,2017,2005.0
2014,E37000031,2014,1215.0
2015,E37000031,2014,1190.0
2016,E37000031,2014,1150.0
2014,E37000032,2014,415.0
2015,E37000032,2014,365.0
2016,E37000032,2014,370.0
2017,E37000032,2017,340.0
2018,E37000032,2017,340.0
2014,E37000034,2014,75.0
2015,E37000034,2014,85.0
2016,E37000034,2014,135.0
2017,E37000034,2017,145.0
2018,E37000034,2017,150.0
2014,E37000035,2014,960.0
2015,E37000035,2014,880.0
2016,E37000035,2014,765.0
2017,E37000035,2017,730.0
2018,E37000035,2017,770.0
2014,E37000036,2014,35.0
2015,E37000036,2014,45.0
2016,E37000036,2014,40.0
2017,E37000036,2017,25.0
2018,E37000036,2017,30.0
2014,E37000037,2014,2695.0
2015,E37000037,2014,2685.0
2016,E37000037,2014,2875.0
2017,E37000037,2017,2935.0
2018,E37000037,2017,2920.0
2014,E37000038,2014,35.0
2015,E37000038,2014,25.0
2016,E37000038,2014,35.0
2017,E37000038,2017,35.0
2018,E37000038,2017,50.0
2014,E37000039,2014,1275.0
2015,E37000039,2014,1270.0
2016,E37000039,2014,1270.0
2017,E37000039,2017,1255.0
2018,E37000039,2017,1280.0
2014,E37000040,2014,2560.0
2015,E37000040,2014,2560.0
2016,E37000040,2014,2480.0
2017,E37000040,2017,2435.0
2018,E37000040,2017,2480.0
2017,E37000041,2017,1185.0
2018,E37000041,2017,1160.0
2017,E37000042,2017,4555.0
2018,E37000042,2017,4205.0
