year,nuts_id,nuts_year_spec,total_stem_students
2014,UKC1,2013,9610.0
2015,UKC1,2013,9845.0
2016,UKC1,2016,10335.0
2017,UKC1,2016,10570.0
2018,UKC1,2016,11080.0
2014,UKC2,2013,15730.0
2015,UKC2,2013,15990.0
2016,UKC2,2016,16215.0
2017,UKC2,2016,16605.0
2018,UKC2,2016,17235.0
2014,UKD1,2013,700.0
2015,UKD1,2013,670.0
2016,UKD1,2016,670.0
2017,UKD1,2016,690.0
2018,UKD1,2016,670.0
2014,UKD3,2013,25580.0
2015,UKD3,2013,26720.0
2016,UKD3,2016,27470.0
2017,UKD3,2016,27465.0
2018,UKD3,2016,27505.0
2014,UKD4,2013,10410.0
2015,UKD4,2013,11070.0
2016,UKD4,2016,11490.0
2017,UKD4,2016,11665.0
2018,UKD4,2016,11660.0
2014,UKD6,2013,1945.0
2015,UKD6,2013,1970.0
2016,UKD6,2016,2225.0
2017,UKD6,2016,2300.0
2018,UKD6,2016,2240.0
2014,UKD7,2013,14100.0
2015,UKD7,2013,15015.0
2016,UKD7,2016,16135.0
2017,UKD7,2016,16995.0
2018,UKD7,2016,17105.0
2014,UKE1,2013,4475.0
2015,UKE1,2013,4770.0
2016,UKE1,2016,5105.0
2017,UKE1,2016,5105.0
2018,UKE1,2016,5085.0
2014,UKE2,2013,6175.0
2015,UKE2,2013,6280.0
2016,UKE2,2016,6755.0
2017,UKE2,2016,7070.0
2018,UKE2,2016,7395.0
2014,UKE3,2013,16670.0
2015,UKE3,2013,17660.0
2016,UKE3,2016,18445.0
2017,UKE3,2016,18275.0
2018,UKE3,2016,18125.0
2014,UKE4,2013,22075.0
2015,UKE4,2013,22455.0
2016,UKE4,2016,22595.0
2017,UKE4,2016,22815.0
2018,UKE4,2016,22615.0
2014,UKF1,2013,17135.0
2015,UKF1,2013,17810.0
2016,UKF1,2016,18900.0
2017,UKF1,2016,19930.0
2018,UKF1,2016,20865.0
2014,UKF2,2013,17595.0
2015,UKF2,2013,18465.0
2016,UKF2,2016,19470.0
2017,UKF2,2016,19685.0
2018,UKF2,2016,20305.0
2014,UKF3,2013,2355.0
2015,UKF3,2013,2800.0
2016,UKF3,2016,3125.0
2017,UKF3,2016,3540.0
2018,UKF3,2016,3880.0
2014,UKG1,2013,2155.0
2015,UKG1,2013,2290.0
2016,UKG1,2016,2355.0
2017,UKG1,2016,2465.0
2018,UKG1,2016,2260.0
2014,UKG2,2013,7115.0
2015,UKG2,2013,6910.0
2016,UKG2,2016,6815.0
2017,UKG2,2016,7070.0
2018,UKG2,2016,7125.0
2014,UKG3,2013,33625.0
2015,UKG3,2013,35425.0
2016,UKG3,2016,37125.0
2017,UKG3,2016,38465.0
2018,UKG3,2016,39600.0
2014,UKH1,2013,10650.0
2015,UKH1,2013,10675.0
2016,UKH1,2016,11140.0
2017,UKH1,2016,11650.0
2018,UKH1,2016,12160.0
2014,UKH2,2013,9210.0
2015,UKH2,2013,8775.0
2016,UKH2,2016,8785.0
2017,UKH2,2016,8435.0
2018,UKH2,2016,8440.0
2014,UKH3,2013,6085.0
2015,UKH3,2013,6330.0
2016,UKH3,2016,6450.0
2017,UKH3,2016,6895.0
2018,UKH3,2016,7005.0
2014,UKI3,2013,29585.0
2015,UKI3,2013,31365.0
2016,UKI3,2016,33430.0
2017,UKI3,2016,35690.0
2018,UKI3,2016,37610.0
2014,UKI4,2013,17885.0
2015,UKI4,2013,17410.0
2016,UKI4,2016,17945.0
2017,UKI4,2016,17920.0
2018,UKI4,2016,18485.0
2014,UKI5,2013,4310.0
2015,UKI5,2013,3915.0
2016,UKI5,2016,3620.0
2017,UKI5,2016,3325.0
2018,UKI5,2016,3350.0
2014,UKI6,2013,5550.0
2015,UKI6,2013,5550.0
2016,UKI6,2016,5005.0
2017,UKI6,2016,4905.0
2018,UKI6,2016,4650.0
2014,UKI7,2013,10005.0
2015,UKI7,2013,10465.0
2016,UKI7,2016,10155.0
2017,UKI7,2016,10870.0
2018,UKI7,2016,11435.0
2014,UKJ1,2013,13650.0
2015,UKJ1,2013,14115.0
2016,UKJ1,2016,14410.0
2017,UKJ1,2016,14745.0
2018,UKJ1,2016,14990.0
2014,UKJ2,2013,16520.0
2015,UKJ2,2013,16760.0
2016,UKJ2,2016,17695.0
2017,UKJ2,2016,18400.0
2018,UKJ2,2016,19110.0
2014,UKJ3,2013,19695.0
2015,UKJ3,2013,20180.0
2016,UKJ3,2016,20725.0
2017,UKJ3,2016,20445.0
2018,UKJ3,2016,20200.0
2014,UKJ4,2013,6805.0
2015,UKJ4,2013,7190.0
2016,UKJ4,2016,7395.0
2017,UKJ4,2016,7470.0
2018,UKJ4,2016,6990.0
2014,UKK1,2013,21825.0
2015,UKK1,2013,22705.0
2016,UKK1,2016,24040.0
2017,UKK1,2016,24930.0
2018,UKK1,2016,25220.0
2014,UKK2,2013,3320.0
2015,UKK2,2013,3480.0
2016,UKK2,2016,3985.0
2017,UKK2,2016,4060.0
2018,UKK2,2016,4150.0
2014,UKK3,2013,50.0
2015,UKK3,2013,140.0
2016,UKK3,2016,265.0
2017,UKK3,2016,360.0
2018,UKK3,2016,425.0
2014,UKK4,2013,13515.0
2015,UKK4,2013,13095.0
2016,UKK4,2016,13205.0
2017,UKK4,2016,13285.0
2018,UKK4,2016,12860.0
2014,UKL1,2013,19460.0
2015,UKL1,2013,20220.0
2016,UKL1,2016,21230.0
2017,UKL1,2016,21335.0
2018,UKL1,2016,21240.0
2014,UKL2,2013,11115.0
2015,UKL2,2013,11510.0
2016,UKL2,2016,11745.0
2017,UKL2,2016,11735.0
2018,UKL2,2016,11895.0
2014,UKM2,2013,27700.0
2015,UKM2,2013,28520.0
2014,UKM3,2013,21455.0
2015,UKM3,2013,21915.0
2014,UKM5,2013,6310.0
2015,UKM5,2013,6480.0
2016,UKM5,2016,6480.0
2017,UKM5,2016,6465.0
2018,UKM5,2016,6435.0
2014,UKM6,2013,1470.0
2015,UKM6,2013,1490.0
2016,UKM6,2016,1605.0
2017,UKM6,2016,1585.0
2018,UKM6,2016,1560.0
2016,UKM7,2016,29375.0
2017,UKM7,2016,30435.0
2018,UKM7,2016,31525.0
2016,UKM8,2016,23100.0
2017,UKM8,2016,23865.0
2018,UKM8,2016,24695.0
2014,UKN0,2013,11530.0
2015,UKN0,2013,11475.0
2016,UKN0,2016,11430.0
2017,UKN0,2016,11515.0
2018,UKN0,2016,11305.0
