year,lep_id,lep_year_spec,total_stem_students
2014,E37000001,2014,3505.0
2015,E37000001,2014,3795.0
2016,E37000001,2014,3725.0
2017,E37000001,2017,3580.0
2018,E37000001,2017,3540.0
2014,E37000002,2014,1250.0
2015,E37000002,2014,1280.0
2016,E37000002,2014,1305.0
2017,E37000002,2017,1490.0
2018,E37000002,2017,1775.0
2014,E37000003,2014,1945.0
2015,E37000003,2014,1970.0
2016,E37000003,2014,2225.0
2017,E37000003,2017,2300.0
2018,E37000003,2017,2240.0
2014,E37000004,2014,8940.0
2015,E37000004,2014,9345.0
2016,E37000004,2014,9655.0
2017,E37000004,2017,9940.0
2018,E37000004,2017,10295.0
2014,E37000005,2014,50.0
2015,E37000005,2014,140.0
2016,E37000005,2014,265.0
2017,E37000005,2017,360.0
2018,E37000005,2017,425.0
2014,E37000006,2014,13230.0
2015,E37000006,2014,14060.0
2016,E37000006,2014,15090.0
2017,E37000006,2017,16215.0
2018,E37000006,2017,16945.0
2014,E37000007,2014,700.0
2015,E37000007,2014,670.0
2016,E37000007,2014,670.0
2017,E37000007,2017,690.0
2018,E37000007,2017,670.0
2014,E37000008,2014,17135.0
2015,E37000008,2014,17810.0
2016,E37000008,2014,18900.0
2017,E37000008,2017,19930.0
2018,E37000008,2017,20865.0
2014,E37000009,2014,3320.0
2015,E37000009,2014,3480.0
2016,E37000009,2014,3985.0
2017,E37000009,2017,4060.0
2018,E37000009,2017,4150.0
2014,E37000010,2014,8205.0
2015,E37000010,2014,8040.0
2016,E37000010,2014,8765.0
2017,E37000010,2017,9295.0
2018,E37000010,2017,9690.0
2014,E37000011,2014,1805.0
2015,E37000011,2014,1785.0
2016,E37000011,2014,1890.0
2017,E37000011,2017,1955.0
2018,E37000011,2017,1885.0
2014,E37000012,2014,16890.0
2015,E37000012,2014,17570.0
2016,E37000012,2014,18310.0
2017,E37000012,2017,18670.0
2018,E37000012,2017,19115.0
2014,E37000013,2014,6860.0
2015,E37000013,2014,6845.0
2016,E37000013,2014,6955.0
2014,E37000014,2014,2355.0
2015,E37000014,2014,2800.0
2016,E37000014,2014,3125.0
2017,E37000014,2017,3540.0
2018,E37000014,2017,3880.0
2014,E37000015,2014,25580.0
2015,E37000015,2014,26720.0
2016,E37000015,2014,27470.0
2017,E37000015,2017,27465.0
2018,E37000015,2017,27505.0
2014,E37000016,2014,13515.0
2015,E37000016,2014,13095.0
2016,E37000016,2014,13205.0
2017,E37000016,2017,13285.0
2018,E37000016,2017,12860.0
2014,E37000017,2014,4505.0
2015,E37000017,2014,4605.0
2016,E37000017,2014,4530.0
2017,E37000017,2017,4405.0
2018,E37000017,2017,4405.0
2014,E37000018,2014,4475.0
2015,E37000018,2014,4770.0
2016,E37000018,2014,5105.0
2017,E37000018,2017,5105.0
2018,E37000018,2017,5085.0
2014,E37000019,2014,10410.0
2015,E37000019,2014,11070.0
2016,E37000019,2014,11490.0
2017,E37000019,2017,11665.0
2018,E37000019,2017,11660.0
2014,E37000020,2014,28250.0
2015,E37000020,2014,28735.0
2016,E37000020,2014,29350.0
2017,E37000020,2017,29885.0
2018,E37000020,2017,30010.0
2014,E37000021,2014,15770.0
2015,E37000021,2014,16595.0
2016,E37000021,2014,17395.0
2017,E37000021,2017,17770.0
2018,E37000021,2017,18450.0
2014,E37000022,2014,14100.0
2015,E37000022,2014,15015.0
2016,E37000022,2014,16135.0
2017,E37000022,2017,16995.0
2018,E37000022,2017,17105.0
