year,lep_id,lep_year_spec,total_university_buildings
2015,E37000001,2014,84.0
2016,E37000001,2014,84.0
2017,E37000001,2017,86.0
2018,E37000001,2017,88.0
2015,E37000002,2014,27.0
2016,E37000002,2014,27.0
2017,E37000002,2017,24.0
2018,E37000002,2017,26.0
2015,E37000003,2014,251.0
2016,E37000003,2014,213.0
2017,E37000003,2017,213.0
2018,E37000003,2017,216.0
2015,E37000004,2014,400.0
2016,E37000004,2014,362.0
2017,E37000004,2017,365.0
2018,E37000004,2017,328.0
2015,E37000005,2014,72.0
2016,E37000005,2014,82.0
2017,E37000005,2017,85.0
2018,E37000005,2017,83.0
2015,E37000006,2014,542.0
2016,E37000006,2014,543.0
2017,E37000006,2017,580.0
2018,E37000006,2017,563.0
2015,E37000007,2014,94.0
2016,E37000007,2014,96.0
2017,E37000007,2017,98.0
2018,E37000007,2017,90.0
2015,E37000008,2014,516.0
2016,E37000008,2014,503.0
2017,E37000008,2017,519.0
2018,E37000008,2017,527.0
2015,E37000009,2014,42.0
2016,E37000009,2014,42.0
2017,E37000009,2017,40.0
2018,E37000009,2017,41.0
2015,E37000010,2014,514.0
2016,E37000010,2014,519.0
2017,E37000010,2017,542.0
2018,E37000010,2017,553.0
2015,E37000011,2014,110.0
2016,E37000011,2014,111.0
2017,E37000011,2017,125.0
2018,E37000011,2017,126.0
2015,E37000012,2014,239.0
2016,E37000012,2014,237.0
2017,E37000012,2017,290.0
2018,E37000012,2017,89.0
2015,E37000013,2014,344.0
2016,E37000013,2014,345.0
2015,E37000014,2014,82.0
2016,E37000014,2014,86.0
2017,E37000014,2017,89.0
2018,E37000014,2017,90.0
2015,E37000015,2014,332.0
2016,E37000015,2014,321.0
2017,E37000015,2017,318.0
2018,E37000015,2017,292.0
2015,E37000016,2014,369.0
2016,E37000016,2014,368.0
2017,E37000016,2017,368.0
2018,E37000016,2017,371.0
2015,E37000017,2014,82.0
2016,E37000017,2014,84.0
2017,E37000017,2017,84.0
2018,E37000017,2017,83.0
2015,E37000018,2014,299.0
2016,E37000018,2014,187.0
2017,E37000018,2017,185.0
2018,E37000018,2017,97.0
2015,E37000019,2014,416.0
2016,E37000019,2014,412.0
2017,E37000019,2017,440.0
2018,E37000019,2017,444.0
2015,E37000020,2014,832.0
2016,E37000020,2014,839.0
2017,E37000020,2017,870.0
2018,E37000020,2017,875.0
2015,E37000021,2014,492.0
2016,E37000021,2014,482.0
2017,E37000021,2017,398.0
2018,E37000021,2017,396.0
2015,E37000022,2014,311.0
2016,E37000022,2014,304.0
2017,E37000022,2017,307.0
2018,E37000022,2017,307.0
2015,E37000023,2014,1505.0
2016,E37000023,2014,1548.0
2017,E37000023,2017,1584.0
2018,E37000023,2017,1518.0
2015,E37000024,2014,131.0
2016,E37000024,2014,128.0
2017,E37000024,2017,115.0
2018,E37000024,2017,109.0
2015,E37000025,2014,674.0
2016,E37000025,2014,660.0
2017,E37000025,2017,649.0
2018,E37000025,2017,658.0
2015,E37000026,2014,56.0
2016,E37000026,2014,56.0
2015,E37000027,2014,422.0
2016,E37000027,2014,378.0
2017,E37000027,2017,385.0
2018,E37000027,2017,389.0
2015,E37000029,2014,452.0
2016,E37000029,2014,458.0
2017,E37000029,2017,541.0
2018,E37000029,2017,449.0
2015,E37000030,2014,1000.0
2016,E37000030,2014,973.0
2017,E37000030,2017,944.0
2018,E37000030,2017,852.0
2015,E37000031,2014,475.0
2016,E37000031,2014,464.0
2015,E37000032,2014,302.0
2016,E37000032,2014,274.0
2017,E37000032,2017,246.0
2018,E37000032,2017,245.0
2015,E37000034,2014,94.0
2016,E37000034,2014,94.0
2017,E37000034,2017,94.0
2018,E37000034,2017,93.0
2015,E37000035,2014,153.0
2016,E37000035,2014,177.0
2017,E37000035,2017,181.0
2018,E37000035,2017,183.0
2015,E37000036,2014,88.0
2016,E37000036,2014,0.0
2017,E37000036,2017,112.0
2018,E37000036,2017,112.0
2015,E37000037,2014,723.0
2016,E37000037,2014,765.0
2017,E37000037,2017,782.0
2018,E37000037,2017,790.0
2015,E37000038,2014,60.0
2016,E37000038,2014,62.0
2017,E37000038,2017,64.0
2018,E37000038,2017,65.0
2015,E37000039,2014,313.0
2016,E37000039,2014,317.0
2017,E37000039,2017,373.0
2018,E37000039,2017,378.0
2015,E37000040,2014,410.0
2016,E37000040,2014,421.0
2017,E37000040,2017,413.0
2018,E37000040,2017,414.0
2017,E37000041,2017,454.0
2018,E37000041,2017,430.0
2017,E37000042,2017,369.0
2018,E37000042,2017,372.0
