year,nuts_id,nuts_year_spec,house_price_normalised
2018,UKC11,2015,4.012
2018,UKC12,2015,3.987
2018,UKC13,2015,4.017
2018,UKC14,2015,3.302
2018,UKC21,2015,4.81
2018,UKC22,2015,4.431
2018,UKC23,2015,4.023
2018,UKD11,2015,3.605
2018,UKD12,2015,6.006
2018,UKD33,2015,5.766
2018,UKD34,2015,5.783
2018,UKD35,2015,5.719
2018,UKD36,2015,4.383
2018,UKD37,2015,4.803
2018,UKD41,2015,4.212
2018,UKD42,2015,4.027
2018,UKD44,2015,4.612
2018,UKD45,2015,5.136
2018,UKD46,2015,3.314
2018,UKD47,2015,5.066
2018,UKD61,2015,5.248
2018,UKD62,2015,5.788
2018,UKD63,2015,5.705
2018,UKD71,2015,4.256
2018,UKD72,2015,4.157
2018,UKD73,2015,5.04
2018,UKD74,2015,4.922
2018,UKE11,2015,4.413
2018,UKE12,2015,inf
2018,UKE13,2015,4.385
2018,UKE21,2015,7.626
2018,UKE22,2015,7.777
2018,UKE31,2015,4.162
2018,UKE32,2015,5.203
2018,UKE41,2015,4.445
2018,UKE42,2015,5.45
2018,UKE44,2015,4.46
2018,UKE45,2015,4.92
2018,UKF11,2015,4.609
2018,UKF12,2015,5.092
2018,UKF13,2015,5.14
2018,UKF14,2015,5.086
2018,UKF15,2015,5.968
2018,UKF16,2015,5.327
2018,UKF21,2015,6.693
2018,UKF22,2015,6.6
2018,UKF24,2015,7.27
2018,UKF25,2015,6.7
2018,UKF30,2015,6.024
2018,UKG11,2015,7.551
2018,UKG12,2015,6.987
2018,UKG13,2015,6.551
2018,UKG21,2015,5.454
2018,UKG22,2015,6.278
2018,UKG23,2015,3.83
2018,UKG24,2015,5.68
2018,UKG31,2015,5.677
2018,UKG32,2015,6.733
2018,UKG33,2015,5.71
2018,UKG36,2015,5.434
2018,UKG37,2015,5.35
2018,UKG38,2015,5.764
2018,UKG39,2015,5.289
2018,UKH11,2015,6.189
2018,UKH12,2015,7.305
2018,UKH14,2015,7.025
2018,UKH15,2015,8.415
2018,UKH16,2015,7.984
2018,UKH17,2015,7.485
2018,UKH21,2015,7.629
2018,UKH23,2015,10.196
2018,UKH24,2015,8.077
2018,UKH25,2015,7.955
2018,UKH31,2015,7.151
2018,UKH32,2015,7.674
2018,UKH34,2015,6.524
2018,UKH35,2015,9.147
2018,UKH36,2015,8.228
2018,UKH37,2015,7.716
2018,UKI31,2015,12.423
2018,UKI32,2015,11.73
2018,UKI33,2015,31.584
2018,UKI34,2015,9.164
2018,UKI41,2015,11.265
2018,UKI42,2015,8.253
2018,UKI43,2015,10.191
2018,UKI44,2015,10.412
2018,UKI45,2015,10.566
2018,UKI51,2015,7.978
2018,UKI52,2015,9.468
2018,UKI53,2015,10.839
2018,UKI54,2015,10.092
2018,UKI61,2015,8.602
2018,UKI62,2015,8.824
2018,UKI63,2015,9.531
2018,UKI71,2015,11.277
2018,UKI72,2015,13.277
2018,UKI73,2015,10.378
2018,UKI74,2015,11.727
2018,UKI75,2015,11.002
2018,UKJ11,2015,8.575
2018,UKJ12,2015,7.27
2018,UKJ13,2015,8.865
2018,UKJ14,2015,8.812
2018,UKJ21,2015,8.913
2018,UKJ22,2015,8.357
2018,UKJ25,2015,9.201
2018,UKJ26,2015,10.708
2018,UKJ27,2015,8.615
2018,UKJ28,2015,9.078
2018,UKJ31,2015,6.999
2018,UKJ32,2015,7.273
2018,UKJ34,2015,7.312
2018,UKJ35,2015,7.356
2018,UKJ36,2015,13.033
2018,UKJ37,2015,7.779
2018,UKJ41,2015,6.975
2018,UKJ43,2015,7.627
2018,UKJ44,2015,7.722
2018,UKJ45,2015,7.931
2018,UKJ46,2015,8.524
2018,UKK11,2015,8.256
2018,UKK12,2015,7.833
2018,UKK13,2015,8.985
2018,UKK14,2015,6.542
2018,UKK15,2015,7.408
2018,UKK22,2015,8.553
2018,UKK23,2015,7.184
2018,UKK30,2015,8.078
2018,UKK41,2015,5.996
2018,UKK42,2015,7.088
2018,UKK43,2015,8.316
2018,UKL11,2015,5.984
2018,UKL12,2015,5.386
2018,UKL13,2015,5.54
2018,UKL14,2015,5.191
2018,UKL15,2015,3.706
2018,UKL16,2015,4.375
2018,UKL17,2015,4.35
2018,UKL18,2015,4.647
2018,UKL21,2015,6.101
2018,UKL22,2015,5.873
2018,UKL23,2015,5.177
2018,UKL24,2015,6.537
2018,UKM50,2015,4.418
2018,UKM61,2015,4.922
2018,UKM62,2015,4.909
2018,UKM63,2015,5.266
2018,UKM64,2015,3.791
2018,UKM65,2015,4.342
2018,UKM66,2015,4.275
2018,UKM71,2015,4.309
2018,UKM72,2015,4.161
2018,UKM73,2015,6.154
2018,UKM75,2015,6.3
2018,UKM76,2015,3.785
2018,UKM77,2015,4.641
2018,UKM78,2015,4.736
2018,UKM81,2015,4.69
2018,UKM82,2015,3.978
2018,UKM83,2015,4.002
2018,UKM91,2015,4.577
2018,UKM92,2015,4.249
2018,UKM93,2015,6.417
2018,UKM94,2015,3.849
2018,UKM95,2015,3.75
