year,lep_id,lep_year_spec,economic_complexity_index
2019,UKC11,2013,-0.0272
2019,UKC12,2013,-0.0348
2019,UKC13,2013,-0.04
2019,UKC14,2013,-0.049
2019,UKC21,2013,-0.0566
2019,UKC22,2013,-0.0258
2019,UKC23,2013,-0.0405
2019,UKD11,2013,-0.0644
2019,UKD12,2013,-0.0495
2019,UKD33,2013,0.1136
2019,UKD34,2013,0.1246
2019,UKD35,2013,-0.0151
2019,UKD36,2013,-0.0256
2019,UKD37,2013,-0.0072
2019,UKD41,2013,-0.0071
2019,UKD42,2013,-0.0323
2019,UKD44,2013,-0.0634
2019,UKD45,2013,-0.022
2019,UKD46,2013,-0.0344
2019,UKD47,2013,-0.0377
2019,UKD61,2013,0.0192
2019,UKD62,2013,0.0508
2019,UKD63,2013,0.014
2019,UKD71,2013,-0.0307
2019,UKD72,2013,0.0512
2019,UKD73,2013,-0.0164
2019,UKD74,2013,-0.0084
2019,UKE11,2013,-0.0488
2019,UKE12,2013,-0.044
2019,UKE13,2013,-0.0651
2019,UKE21,2013,0.0468
2019,UKE22,2013,-0.0575
2019,UKE31,2013,-0.0432
2019,UKE32,2013,-0.0161
2019,UKE41,2013,-0.0265
2019,UKE42,2013,0.0428
2019,UKE44,2013,-0.0363
2019,UKE45,2013,-0.0347
2019,UKF11,2013,-0.0285
2019,UKF12,2013,-0.0411
2019,UKF13,2013,-0.0569
2019,UKF14,2013,0.0345
2019,UKF15,2013,-0.0485
2019,UKF16,2013,0.0149
2019,UKF21,2013,0.0045
2019,UKF22,2013,-0.0008
2019,UKF24,2013,0.0089
2019,UKF25,2013,-0.046
2019,UKF30,2013,-0.069
2019,UKG11,2013,-0.0268
2019,UKG12,2013,-0.0262
2019,UKG13,2013,-0.0014
2019,UKG21,2013,-0.0528
2019,UKG22,2013,-0.0751
2019,UKG23,2013,-0.0333
2019,UKG24,2013,-0.052
2019,UKG31,2013,0.0078
2019,UKG32,2013,0.0946
2019,UKG33,2013,0.0179
2019,UKG36,2013,-0.0337
2019,UKG37,2013,-0.0366
2019,UKG38,2013,-0.0304
2019,UKG39,2013,-0.0292
2019,UKH11,2013,0.006
2019,UKH12,2013,0.0099
2019,UKH14,2013,-0.0594
2019,UKH15,2013,-0.029
2019,UKH16,2013,-0.0437
2019,UKH17,2013,-0.0599
2019,UKH21,2013,0.0475
2019,UKH23,2013,0.128
2019,UKH24,2013,0.0199
2019,UKH25,2013,-0.0067
2019,UKH31,2013,0.0541
2019,UKH32,2013,-0.0289
2019,UKH34,2013,-0.0424
2019,UKH35,2013,0.057
2019,UKH36,2013,0.019
2019,UKH37,2013,-0.0027
2019,UKI31,2013,0.1867
2019,UKI32,2013,0.1628
2019,UKI33,2013,0.1705
2019,UKI34,2013,0.2026
2019,UKI41,2013,0.1856
2019,UKI42,2013,0.1525
2019,UKI43,2013,0.1832
2019,UKI44,2013,0.1637
2019,UKI45,2013,0.1988
2019,UKI51,2013,0.1007
2019,UKI52,2013,0.0243
2019,UKI53,2013,0.1712
2019,UKI54,2013,0.1225
2019,UKI61,2013,0.1759
2019,UKI62,2013,0.1231
2019,UKI63,2013,0.1523
2019,UKI71,2013,0.1714
2019,UKI72,2013,0.1685
2019,UKI73,2013,0.1634
2019,UKI74,2013,0.1427
2019,UKI75,2013,0.2108
2019,UKJ11,2013,0.086
2019,UKJ12,2013,0.0761
2019,UKJ13,2013,0.0969
2019,UKJ14,2013,0.0536
2019,UKJ21,2013,0.1572
2019,UKJ22,2013,0.0417
2019,UKJ25,2013,0.1533
2019,UKJ26,2013,0.1174
2019,UKJ27,2013,-0.0212
2019,UKJ28,2013,0.0609
2019,UKJ31,2013,-0.004
2019,UKJ32,2013,0.0064
2019,UKJ34,2013,-0.0574
2019,UKJ35,2013,-0.021
2019,UKJ36,2013,0.0076
2019,UKJ37,2013,0.0828
2019,UKJ41,2013,-0.0425
2019,UKJ43,2013,-0.0288
2019,UKJ44,2013,-0.0168
2019,UKJ45,2013,0.0023
2019,UKJ46,2013,0.1063
2019,UKK11,2013,0.1154
2019,UKK12,2013,0.0336
2019,UKK13,2013,-0.0086
2019,UKK14,2013,0.0163
2019,UKK15,2013,0.0271
2019,UKK21,2013,0.0205
2019,UKK22,2013,-0.0427
2019,UKK23,2013,-0.0474
2019,UKK30,2013,-0.0501
2019,UKK41,2013,-0.0022
2019,UKK42,2013,-0.0233
2019,UKK43,2013,-0.0418
2019,UKL11,2013,-0.0683
2019,UKL12,2013,-0.0623
2019,UKL13,2013,-0.0526
2019,UKL14,2013,-0.0685
2019,UKL15,2013,-0.0407
2019,UKL16,2013,-0.0478
2019,UKL17,2013,-0.0497
2019,UKL18,2013,0.0051
2019,UKL21,2013,-0.0472
2019,UKL22,2013,0.0739
2019,UKL23,2013,-0.0551
2019,UKL24,2013,-0.0716
2019,UKM21,2013,-0.0678
2019,UKM22,2013,-0.0466
2019,UKM23,2013,-0.0509
2019,UKM24,2013,-0.066
2019,UKM25,2013,0.0971
2019,UKM26,2013,-0.0579
2019,UKM27,2013,-0.0592
2019,UKM28,2013,-0.0358
2019,UKM31,2013,-0.0505
2019,UKM32,2013,-0.0833
2019,UKM33,2013,-0.0533
2019,UKM34,2013,0.0492
2019,UKM35,2013,-0.0396
2019,UKM36,2013,-0.0498
2019,UKM37,2013,-0.0595
2019,UKM38,2013,-0.0525
2019,UKM50,2013,-0.0327
2019,UKM61,2013,-0.0557
2019,UKM62,2013,-0.0731
2019,UKM63,2013,-0.053
2019,UKM64,2013,-0.0307
2019,UKM65,2013,-0.0168
2019,UKM66,2013,-0.045
2019,UKN01,2013,0.0513
2019,UKN02,2013,-0.0338
2019,UKN03,2013,-0.0655
2019,UKN04,2013,-0.0693
2019,UKN05,2013,-0.0725
2018,UKC11,2013,-0.0325
2018,UKC12,2013,-0.0327
2018,UKC13,2013,-0.053
2018,UKC14,2013,-0.0461
2018,UKC21,2013,-0.0527
2018,UKC22,2013,-0.0243
2018,UKC23,2013,-0.0344
2018,UKD11,2013,-0.0602
