year,nuts_id,nuts_year_spec,employment_culture_entertainment_recreation
2016,UKM50,2013,12440
2016,UKM21,2013,7975
2016,UKI52,2013,5325
2016,UKI71,2013,5175
2016,UKE31,2013,10540
2016,UKK12,2013,12205
2016,UKH24,2013,2965
2016,UKJ11,2013,22010
2016,UKI51,2013,8050
2016,UKG31,2013,20550
2016,UKD41,2013,2270
2016,UKD42,2013,4040
2016,UKK21,2013,6455
2016,UKE41,2013,6395
2016,UKH17,2013,3995
2016,UKI72,2013,5040
2016,UKL17,2013,3575
2016,UKJ21,2013,7685
2016,UKK11,2013,8280
2016,UKI61,2013,5650
2016,UKJ13,2013,9985
2016,UKM61,2013,2160
2016,UKE44,2013,8155
2016,UKH12,2013,15700
2016,UKI31,2013,25350
2016,UKL22,2013,11120
2016,UKH25,2013,6350
2016,UKJ36,2013,12010
2016,UKL15,2013,3200
2016,UKD62,2013,6580
2016,UKD63,2013,6290
2016,UKD47,2013,3760
2016,UKM22,2013,8580
2016,UKL13,2013,3700
2016,UKK30,2013,10435
2016,UKG33,2013,5010
2016,UKI62,2013,3980
2016,UKC13,2013,1670
2016,UKF11,2013,4345
2016,UKK43,2013,13895
2016,UKK22,2013,7765
2016,UKG36,2013,3320
2016,UKM32,2013,2050
2016,UKC14,2013,7095
2016,UKI73,2013,6350
2016,UKM33,2013,4700
2016,UKD12,2013,5270
2016,UKF12,2013,2640
2016,UKM31,2013,4235
2016,UKJ44,2013,7890
2016,UKD46,2013,3995
2016,UKM23,2013,3815
2016,UKD71,2013,6815
2016,UKE12,2013,3685
2016,UKJ26,2013,7955
2016,UKJ22,2013,10070
2016,UKM25,2013,16345
2016,UKM64,2013,375
2016,UKI54,2013,3445
2016,UKH34,2013,7585
2016,UKH37,2013,4445
2016,UKM26,2013,2375
2016,UKL23,2013,3210
2016,UKM34,2013,17205
2016,UKK13,2013,11315
2016,UKD37,2013,6155
2016,UKD36,2013,7045
2016,UKD35,2013,6900
2016,UKD34,2013,12425
2016,UKL16,2013,3225
2016,UKL12,2013,2320
2016,UKI41,2013,10925
2016,UKI43,2013,16035
2016,UKI74,2013,10235
2016,UKC11,2013,4030
2016,UKH36,2013,5895
2016,UKG11,2013,3950
2016,UKH23,2013,26220
2016,UKI75,2013,17350
2016,UKM35,2013,5895
2016,UKM62,2013,6460
2016,UKL11,2013,820
2016,UKJ34,2013,2745
2016,UKI33,2013,16145
2016,UKJ43,2013,4535
2016,UKE11,2013,4295
2016,UKI45,2013,8110
2016,UKD44,2013,3305
2016,UKE42,2013,19200
2016,UKF21,2013,7110
2016,UKF22,2013,12005
2016,UKI44,2013,12530
2016,UKF30,2013,8700
2016,UKD72,2013,12950
2016,UKM63,2013,2945
2016,UKH21,2013,3880
2016,UKD33,2013,12465
2016,UKJ41,2013,4265
2016,UKI63,2013,10100
2016,UKJ45,2013,4180
2016,UKD45,2013,6015
2016,UKJ12,2013,7270
2016,UKL21,2013,4580
2016,UKJ37,2013,10340
2016,UKM36,2013,5055
2016,UKF25,2013,3905
2016,UKF15,2013,5350
2016,UKE22,2013,14145
2016,UKE13,2013,4355
2016,UKH16,2013,4495
2016,UKC21,2013,5440
2016,UKH15,2013,8455
2016,UKF14,2013,5575
2016,UKM65,2013,655
2016,UKJ14,2013,14360
2016,UKM27,2013,5490
2016,UKH11,2013,4505
2016,UKK41,2013,4425
2016,UKJ31,2013,5340
2016,UKL24,2013,2375
2016,UKI53,2013,5380
2016,UKG37,2013,9380
2016,UKM24,2013,2455
