year,nuts_id,nuts_year_spec,net_migration_rate_international
2009,UKM50,2016,7.9
2010,UKM50,2016,8.46
2011,UKM50,2016,3.87
2012,UKM50,2016,2.34
2013,UKM50,2016,3.37
2014,UKM50,2016,5.58
2015,UKM50,2016,4.61
2016,UKM50,2016,2.84
2017,UKM50,2016,1.74
2018,UKM50,2016,3.64
2009,UKM71,2016,5.63
2010,UKM71,2016,6.88
2011,UKM71,2016,2.18
2012,UKM71,2016,0.88
2013,UKM71,2016,1.06
2014,UKM71,2016,2.49
2015,UKM71,2016,3.3
2016,UKM71,2016,1.68
2017,UKM71,2016,1.96
2018,UKM71,2016,3.73
2009,UKN13,2016,-2.41
2010,UKN13,2016,-1.63
2011,UKN13,2016,-0.57
2012,UKN13,2016,-2.3
2013,UKN13,2016,-0.9
2014,UKN13,2016,0.09
2015,UKN13,2016,-0.52
2016,UKN13,2016,-0.75
2017,UKN13,2016,0.99
2018,UKN13,2016,1.41
2009,UKN09,2016,0.48
2010,UKN09,2016,-0.79
2011,UKN09,2016,0.23
2012,UKN09,2016,-0.91
2013,UKN09,2016,-0.83
2014,UKN09,2016,-0.58
2015,UKN09,2016,0.29
2016,UKN09,2016,0.44
2017,UKN09,2016,1.17
2018,UKN09,2016,0.89
2009,UKN07,2016,3.36
2010,UKN07,2016,3.07
2011,UKN07,2016,3.41
2012,UKN07,2016,2.72
2013,UKN07,2016,4.23
2014,UKN07,2016,5.23
2015,UKN07,2016,4.51
2016,UKN07,2016,3.33
2017,UKN07,2016,5.35
2018,UKN07,2016,4.59
2009,UKI52,2016,9.25
2010,UKI52,2016,7.65
2011,UKI52,2016,4.38
2012,UKI52,2016,4.11
2013,UKI52,2016,7.4
2014,UKI52,2016,8.93
2015,UKI52,2016,10.69
2016,UKI52,2016,8.35
2017,UKI52,2016,8.09
2018,UKI52,2016,6.88
2009,UKI71,2016,9.65
2010,UKI71,2016,13.93
2011,UKI71,2016,10.21
2012,UKI71,2016,8.96
2013,UKI71,2016,11.77
2014,UKI71,2016,14.96
2015,UKI71,2016,12.49
2016,UKI71,2016,10.61
2017,UKI71,2016,10.76
2018,UKI71,2016,8.78
2009,UKE31,2016,1.16
2010,UKE31,2016,1.74
2011,UKE31,2016,1.09
2012,UKE31,2016,1.33
2013,UKE31,2016,2.16
2014,UKE31,2016,3.57
2015,UKE31,2016,3.6
2016,UKE31,2016,2.54
2017,UKE31,2016,2.27
2018,UKE31,2016,1.76
2009,UKK12,2016,0.35
2010,UKK12,2016,0.74
2011,UKK12,2016,0.78
2012,UKK12,2016,0.62
2013,UKK12,2016,1.32
2014,UKK12,2016,1.44
2015,UKK12,2016,1.05
2016,UKK12,2016,0.61
2017,UKK12,2016,1.73
2018,UKK12,2016,-0.14
2009,UKH24,2016,4.93
2010,UKH24,2016,2.11
2011,UKH24,2016,1.07
2012,UKH24,2016,2.28
2013,UKH24,2016,4.12
2014,UKH24,2016,5.4
2015,UKH24,2016,3.76
2016,UKH24,2016,1.99
2017,UKH24,2016,1.31
2018,UKH24,2016,1.36
2009,UKN06,2016,1.05
2010,UKN06,2016,-4.03
2011,UKN06,2016,-1.49
2012,UKN06,2016,-3.17
2013,UKN06,2016,1.13
2014,UKN06,2016,1.84
2015,UKN06,2016,-1.71
2016,UKN06,2016,-1.64
