year,lep_id,lep_year_spec,travel_mean_time_to_road_junctions
2011,E37000001,-2014,16.38
2013,E37000001,-2014,16.85
2011,E37000002,-2014,20.15
2013,E37000002,-2014,19.97
2011,E37000003,-2014,17.65
2013,E37000003,-2014,17.76
2011,E37000004,-2014,27.67
2013,E37000004,-2014,28.79
2011,E37000005,-2014,94.98
2013,E37000005,-2014,92.79
2011,E37000006,-2014,15.76
2013,E37000006,-2014,16.6
2011,E37000007,-2014,37.62
2013,E37000007,-2014,38.66
2011,E37000008,-2014,22.08
2013,E37000008,-2014,23.94
2013,E37000009,-2014,45.42
2011,E37000009,-2014,45.83
2011,E37000010,-2014,20.05
2013,E37000010,-2014,20.26
2011,E37000011,-2014,20.48
2013,E37000011,-2014,22.89
2011,E37000012,-2014,16.17
2013,E37000012,-2014,17.17
2011,E37000013,-2014,24.06
2013,E37000013,-2014,24.94
2013,E37000014,-2014,31.66
2011,E37000014,-2014,30.27
2011,E37000015,-2014,11.61
2013,E37000015,-2014,12.3
2011,E37000016,-2014,37.61
2013,E37000016,-2014,38.13
2013,E37000017,-2014,18.53
2011,E37000017,-2014,19.07
2011,E37000018,-2014,19.85
2013,E37000018,-2014,20.91
2013,E37000019,-2014,21.15
2011,E37000019,-2014,20.27
2013,E37000020,-2014,20.12
2011,E37000020,-2014,18.64
2013,E37000021,-2014,19.14
2011,E37000021,-2014,18.63
2013,E37000022,-2014,12.2
2011,E37000022,-2014,11.77
2013,E37000023,-2014,23.97
2011,E37000023,-2014,23.19
2013,E37000024,-2014,47.6
2011,E37000024,-2014,47.56
2013,E37000025,-2014,17.82
2011,E37000025,-2014,17.84
2011,E37000026,-2014,14.72
2013,E37000026,-2014,15.12
2013,E37000027,-2014,21.3
2011,E37000027,-2014,19.43
2013,E37000029,-2014,13.43
2011,E37000029,-2014,12.35
2013,E37000030,-2014,24.65
2011,E37000030,-2014,24.4
2013,E37000031,-2014,20.98
2011,E37000031,-2014,21.13
2013,E37000032,-2014,21.6
2011,E37000032,-2014,20.46
2013,E37000033,-2014,32.63
2011,E37000033,-2014,31.41
2013,E37000034,-2014,12.45
2011,E37000034,-2014,12.61
2011,E37000035,-2014,16.22
2013,E37000035,-2014,18.18
2013,E37000036,-2014,39.83
2011,E37000036,-2014,39.12
2013,E37000037,-2014,22.81
2011,E37000037,-2014,19.16
2013,E37000038,-2014,19.4
2011,E37000038,-2014,19.93
2013,E37000039,-2014,29.64
2011,E37000039,-2014,28.01
2011,E37000040,-2014,16.51
2013,E37000040,-2014,17.79
